epoch,loss
1,1.666753
2,1.916410
3,1.314539
4,1.005990
5,1.139978
6,0.846378
7,0.444606
8,0.583526
9,0.515191
10,0.403294
11,0.379221
12,0.380402
13,0.334232
14,0.307709
15,0.298501
16,0.285201
17,0.266137
18,0.262152
19,0.246953
20,0.233338
21,0.228641
22,0.217729
23,0.206150
24,0.201529
25,0.194220
26,0.185193
27,0.182079
28,0.171884
29,0.166730
30,0.161742
31,0.157381
32,0.152209
33,0.148313
34,0.141944
35,0.142714
36,0.136061
37,0.130971
38,0.131912
39,0.126182
40,0.121083
41,0.122780
42,0.118064
43,0.114964
44,0.116517
45,0.112233
46,0.112791
47,0.107998
48,0.107226
49,0.105210
50,0.100212
51,0.100582
52,0.097907
53,0.096585
54,0.094001
55,0.094000
56,0.092399
57,0.089951
58,0.090316
59,0.087331
60,0.086246
61,0.085442
62,0.083729
63,0.084238
64,0.081611
65,0.080022
66,0.079423
67,0.078748
68,0.076939
69,0.076107
70,0.075388
71,0.074577
72,0.072709
73,0.072833
74,0.071354
75,0.071375
76,0.069464
77,0.069575
78,0.068231
79,0.067765
80,0.066765
81,0.065698
82,0.065862
83,0.064818
84,0.063699
85,0.063924
86,0.062280
87,0.062034
88,0.061067
89,0.060839
90,0.060160
91,0.059109
92,0.059428
93,0.058478
94,0.057866
95,0.057665
96,0.057269
97,0.056270
98,0.056562
99,0.055643
100,0.056138
