fault_fraction,Z_m_imag,zone1,zone2,zone3
0.0,0.0,True,True,True
0.005,0.00025,True,True,True
0.01,0.0005,True,True,True
0.015,0.00075,True,True,True
0.02,0.001,True,True,True
0.025,0.00125,True,True,True
0.03,0.0015,True,True,True
0.035,0.00175,True,True,True
0.04,0.002,True,True,True
0.045,0.00225,True,True,True
0.05,0.0025,True,True,True
0.055,0.00275,True,True,True
0.06,0.003,True,True,True
0.065,0.00325,True,True,True
0.07,0.0035,True,True,True
0.075,0.00375,True,True,True
0.08,0.004,True,True,True
0.085,0.00425,True,True,True
0.09,0.0045,True,True,True
0.095,0.00475,True,True,True
0.1,0.005,True,True,True
0.105,0.00525,True,True,True
0.11,0.0055,True,True,True
0.115,0.00575,True,True,True
0.12,0.006,True,True,True
0.125,0.00625,True,True,True
0.13,0.0065,True,True,True
0.135,0.00675,True,True,True
0.14,0.007,True,True,True
0.145,0.00725,True,True,True
0.15,0.0075,True,True,True
0.155,0.00775,True,True,True
0.16,0.008,True,True,True
0.165,0.00825,True,True,True
0.17,0.0085,True,True,True
0.175,0.00875,True,True,True
0.18,0.009,True,True,True
0.185,0.00925,True,True,True
0.19,0.0095,True,True,True
0.195,0.00975,True,True,True
0.2,0.01,True,True,True
0.205,0.01025,True,True,True
0.21,0.0105,True,True,True
0.215,0.01075,True,True,True
0.22,0.011,True,True,True
0.225,0.01125,True,True,True
0.23,0.0115,True,True,True
0.235,0.01175,True,True,True
0.24,0.012,True,True,True
0.245,0.01225,True,True,True
0.25,0.0125,True,True,True
0.255,0.01275,True,True,True
0.26,0.013,True,True,True
0.265,0.01325,True,True,True
0.27,0.0135,True,True,True
0.275,0.01375,True,True,True
0.28,0.014,True,True,True
0.285,0.01425,True,True,True
0.29,0.0145,True,True,True
0.295,0.01475,True,True,True
0.3,0.015,True,True,True
0.305,0.01525,True,True,True
0.31,0.0155,True,True,True
0.315,0.01575,True,True,True
0.32,0.016,True,True,True
0.325,0.01625,True,True,True
0.33,0.0165,True,True,True
0.335,0.01675,True,True,True
0.34,0.017,True,True,True
0.345,0.01725,True,True,True
0.35,0.0175,True,True,True
0.355,0.01775,True,True,True
0.36,0.018,True,True,True
0.365,0.01825,True,True,True
0.37,0.0185,True,True,True
0.375,0.01875,True,True,True
0.38,0.019,True,True,True
0.385,0.01925,True,True,True
0.39,0.0195,True,True,True
0.395,0.01975,True,True,True
0.4,0.02,True,True,True
0.405,0.02025,True,True,True
0.41,0.0205,True,True,True
0.415,0.02075,True,True,True
0.42,0.021,True,True,True
0.425,0.02125,True,True,True
0.43,0.0215,True,True,True
0.435,0.02175,True,True,True
0.44,0.022,True,True,True
0.445,0.02225,True,True,True
0.45,0.0225,True,True,True
0.455,0.02275,True,True,True
0.46,0.023,True,True,True
0.465,0.02325,True,True,True
0.47,0.0235,True,True,True
0.475,0.02375,True,True,True
0.48,0.024,True,True,True
0.485,0.02425,True,True,True
0.49,0.0245,True,True,True
0.495,0.02475,True,True,True
0.5,0.025,True,True,True
0.505,0.02525,True,True,True
0.51,0.0255,True,True,True
0.515,0.02575,True,True,True
0.52,0.026,True,True,True
0.525,0.02625,True,True,True
0.53,0.0265,True,True,True
0.535,0.02675,True,True,True
0.54,0.027,True,True,True
0.545,0.02725,True,True,True
0.55,0.0275,True,True,True
0.555,0.02775,True,True,True
0.56,0.028,True,True,True
0.565,0.02825,True,True,True
0.57,0.0285,True,True,True
0.575,0.02875,True,True,True
0.58,0.029,True,True,True
0.585,0.02925,True,True,True
0.59,0.0295,True,True,True
0.595,0.02975,True,True,True
0.6,0.03,True,True,True
0.605,0.03025,True,True,True
0.61,0.0305,True,True,True
0.615,0.03075,True,True,True
0.62,0.031,True,True,True
0.625,0.03125,True,True,True
0.63,0.0315,True,True,True
0.635,0.03175,True,True,True
0.64,0.032,True,True,True
0.645,0.03225,True,True,True
0.65,0.0325,True,True,True
0.655,0.03275,True,True,True
0.66,0.033,True,True,True
0.665,0.03325,True,True,True
0.67,0.0335,True,True,True
0.675,0.03375,True,True,True
0.68,0.034,True,True,True
0.685,0.03425,True,True,True
0.69,0.0345,True,True,True
0.695,0.03475,True,True,True
0.7,0.035,True,True,True
0.705,0.03525,True,True,True
0.71,0.0355,True,True,True
0.715,0.03575,True,True,True
0.72,0.036,True,True,True
0.725,0.03625,True,True,True
0.73,0.0365,True,True,True
0.735,0.03675,True,True,True
0.74,0.037,True,True,True
0.745,0.03725,True,True,True
0.75,0.0375,True,True,True
0.755,0.03775,True,True,True
0.76,0.038,True,True,True
0.765,0.03825,True,True,True
0.77,0.0385,True,True,True
0.775,0.03875,True,True,True
0.78,0.039,True,True,True
0.785,0.03925,True,True,True
0.79,0.0395,True,True,True
0.795,0.03975,True,True,True
0.8,0.04,True,True,True
0.805,0.04025,False,True,True
0.81,0.0405,False,True,True
0.815,0.04075,False,True,True
0.82,0.041,False,True,True
0.825,0.04125,False,True,True
0.83,0.0415,False,True,True
0.835,0.04175,False,True,True
0.84,0.042,False,True,True
0.845,0.04225,False,True,True
0.85,0.0425,False,True,True
0.855,0.04275,False,True,True
0.86,0.043,False,True,True
0.865,0.04325,False,True,True
0.87,0.0435,False,True,True
0.875,0.04375,False,True,True
0.88,0.044,False,True,True
0.885,0.04425,False,True,True
0.89,0.0445,False,True,True
0.895,0.04475,False,True,True
0.9,0.045,False,True,True
0.905,0.04525,False,True,True
0.91,0.0455,False,True,True
0.915,0.04575,False,True,True
0.92,0.046,False,True,True
0.925,0.04625,False,True,True
0.93,0.0465,False,True,True
0.935,0.04675,False,True,True
0.94,0.047,False,True,True
0.945,0.04725,False,True,True
0.95,0.0475,False,True,True
0.955,0.04775,False,True,True
0.96,0.048,False,True,True
0.965,0.04825,False,True,True
0.97,0.0485,False,True,True
0.975,0.04875,False,True,True
0.98,0.049,False,True,True
0.985,0.04925,False,True,True
0.99,0.0495,False,True,True
0.995,0.04975,False,True,True
1.0,0.05,False,True,True
1.005,0.05025,False,True,True
1.01,0.0505,False,True,True
1.015,0.05075,False,True,True
1.02,0.051,False,True,True
1.025,0.05125,False,True,True
1.03,0.0515,False,True,True
1.035,0.05175,False,True,True
1.04,0.052,False,True,True
1.045,0.05225,False,True,True
1.05,0.0525,False,True,True
1.055,0.05275,False,True,True
1.06,0.053,False,True,True
1.065,0.05325,False,True,True
1.07,0.0535,False,True,True
1.075,0.05375,False,True,True
1.08,0.054,False,True,True
1.085,0.05425,False,True,True
1.09,0.0545,False,True,True
1.095,0.05475,False,True,True
1.1,0.055,False,True,True
1.105,0.05525,False,True,True
1.11,0.0555,False,True,True
1.115,0.05575,False,True,True
1.12,0.056,False,True,True
1.125,0.05625,False,True,True
1.13,0.0565,False,True,True
1.135,0.05675,False,True,True
1.14,0.057,False,True,True
1.145,0.05725,False,True,True
1.15,0.0575,False,True,True
1.155,0.05775,False,True,True
1.16,0.058,False,True,True
1.165,0.05825,False,True,True
1.17,0.0585,False,True,True
1.175,0.05875,False,True,True
1.18,0.059,False,True,True
1.185,0.05925,False,True,True
1.19,0.0595,False,True,True
1.195,0.05975,False,True,True
1.2,0.06,False,True,True
1.205,0.06025,False,False,True
1.21,0.0605,False,False,True
1.215,0.06075,False,False,True
1.22,0.061,False,False,True
1.225,0.06125,False,False,True
1.23,0.0615,False,False,True
1.235,0.06175,False,False,True
1.24,0.062,False,False,True
1.245,0.06225,False,False,True
1.25,0.0625,False,False,True
1.255,0.06275,False,False,True
1.26,0.063,False,False,True
1.265,0.06325,False,False,True
1.27,0.0635,False,False,True
1.275,0.06375,False,False,True
1.28,0.064,False,False,True
1.285,0.06425,False,False,True
1.29,0.0645,False,False,True
1.295,0.06475,False,False,True
1.3,0.065,False,False,True
1.305,0.06525,False,False,True
1.31,0.0655,False,False,True
1.315,0.06575,False,False,True
1.32,0.066,False,False,True
1.325,0.06625,False,False,True
1.33,0.0665,False,False,True
1.335,0.06675,False,False,True
1.34,0.067,False,False,True
1.345,0.06725,False,False,True
1.35,0.0675,False,False,True
1.355,0.06775,False,False,True
1.36,0.068,False,False,True
1.365,0.06825,False,False,True
1.37,0.0685,False,False,True
1.375,0.06875,False,False,True
1.38,0.069,False,False,True
1.385,0.06925,False,False,True
1.39,0.0695,False,False,True
1.395,0.06975,False,False,True
1.4,0.07,False,False,True
1.405,0.07025,False,False,True
1.41,0.0705,False,False,True
1.415,0.07075,False,False,True
1.42,0.071,False,False,True
1.425,0.07125,False,False,True
1.43,0.0715,False,False,True
1.435,0.07175,False,False,True
1.44,0.072,False,False,True
1.445,0.07225,False,False,True
1.45,0.0725,False,False,True
1.455,0.07275,False,False,True
1.46,0.073,False,False,True
1.465,0.07325,False,False,True
1.47,0.0735,False,False,True
1.475,0.07375,False,False,True
1.48,0.074,False,False,True
1.485,0.07425,False,False,True
1.49,0.0745,False,False,True
1.495,0.07475,False,False,True
1.5,0.075,False,False,True
1.505,0.07525,False,False,True
1.51,0.0755,False,False,True
1.515,0.07575,False,False,True
1.52,0.076,False,False,True
1.525,0.07625,False,False,True
1.53,0.0765,False,False,True
1.535,0.07675,False,False,True
1.54,0.077,False,False,True
1.545,0.07725,False,False,True
1.55,0.0775,False,False,True
1.555,0.07775,False,False,True
1.56,0.078,False,False,True
1.565,0.07825,False,False,True
1.57,0.0785,False,False,True
1.575,0.07875,False,False,True
1.58,0.079,False,False,True
1.585,0.07925,False,False,True
1.59,0.0795,False,False,True
