key,type,year,doi,status,final_url
IurinicBretas2018IJEPES,article,2018,,no-doi,
OrozcoHenaoBretas2020EPSR,article,2020,,no-doi,
Penaloza2023EPSR,article,2023,,no-doi,
Saha2010BookFL,article,2010,,no-doi,
Lopes2023DPM,article,2023,,no-doi,
Nunes2019IJEPES,article,2019,,no-doi,
Nunes2017Proc,inproceedings,2017,,no-doi,
AucoinRussell1987TPWRD,article,1987,10.1109/TPWRD.1987.4308121,resolved:200,https://ieeexplore.ieee.org/document/4308121/
Brahma2013TPS,article,2013,,no-doi,
Mishra2019TII,article,2019,,no-doi,
Sirojan2022NCAA,article,2022,,no-doi,
Veerasamy2021Access,article,2021,,no-doi,
RGATv2_2025_arXiv,misc,2025,10.48550/arXiv.2510.03571,resolved:200,https://arxiv.org/abs/2510.03571
ErikssonSaha1985TPAS,article,1985,,no-doi,
Zeng2021EPSR,article,2021,,no-doi,
Chandran2024IETGTD,article,2024,,no-doi,
SEL_T401L_TM,misc,2023,,no-doi,
CostaLopes2015,article,2015,,no-doi,
IEEE_TPWRD_TW_2024,article,2024,,no-doi,
CuiWeng2020TSG,article,2020,,no-doi,
Shahsavari2019TSG,article,2019,,no-doi,
Farajollahi2018,inproceedings,2018,,no-doi,
ParamoBretas2023ISGT,inproceedings,2023,,no-doi,
Bretas2021MDPI,article,2021,,no-doi,
Trew2023,article,2023,,no-doi,
WangLopes2023EPSR,article,2023,,no-doi,
DarwishElkalashy2005,article,2005,,no-doi,
Wang2020DistortionArc,misc,2020,,no-doi,
Torres2022StochasticArc,article,2022,,no-doi,
Emanuel1990SandySoil,article,1990,,no-doi,
Santos2022Arc,article,2022,,no-doi,
Kay1993Vol1,book,1993,,no-doi,
NehoraiHawkes2000,article,2000,,no-doi,
Marsaglia1965Ratio,article,1965,,no-doi,
Kuruoglu2018ASCE,article,2018,,no-doi,
PlatasGarza2010,article,2010,,no-doi,
IEEE_C37_110,misc,2007,,no-doi,
IEEE_C37_118_1,misc,2011,,no-doi,
CNRS_2024_IEEE34,misc,2024,10.57745/KRYCYY,resolved:200,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi:10.57745/KRYCYY
PSRC1996D15,Working Group Report,1996,,no-doi,
NREL2023TP5R0080746,Technical Report,2023,,no-doi,
BlackSaturday2009RoyalCommission,misc,2010,,no-doi,
CampFire2018PGE,misc,2019,,no-doi,
CPUC2018SB901,misc,2018,,no-doi,
