dataset,cell,alpha,Rx,snrV,snrI,loc_err_pct,Rx_err_pct,J_final,n_iters,cpu_ms
pscad,0,0.1,100.0,20.0,20.0,21.799065317295945,1.8853254331112197,2.7188231461011725e-17,7,60.02380279824138
pscad,1,0.1,100.0,20.0,30.0,29.632068172362374,0.0,7.518539485780664e-09,3,61.84582901187241
pscad,2,0.1,100.0,20.0,40.0,23.349824356380207,0.48554121227223845,6.270106486519568e-17,9,66.81772717274725
pscad,3,0.1,100.0,20.0,inf,2.484895923477087,0.0,3.036633229987886e-11,4,53.35129518061876
pscad,4,0.1,100.0,30.0,20.0,14.71827313190252,0.0,3.876364663120935e-09,3,52.56903916597366
pscad,5,0.1,100.0,30.0,30.0,17.690740940553475,0.6771084179976583,6.679416315117815e-17,7,63.87718697078526
pscad,6,0.1,100.0,30.0,40.0,5.243595255617933,0.0,9.731169728074297e-10,4,56.14089500159025
pscad,7,0.1,100.0,30.0,inf,5.133800544473016,0.19310926770484116,4.097872962066413e-18,6,61.37512414716184
pscad,8,0.1,100.0,40.0,20.0,7.163783916584898,1.19796698725402,4.663966602056935e-17,7,56.61454307846725
pscad,9,0.1,100.0,40.0,30.0,0.1443446074231164,0.0,2.2437707692205929e-10,4,59.72144519910216
pscad,10,0.1,100.0,40.0,40.0,0.08083535075151249,0.0,1.595152919330792e-12,4,65.27383695356548
pscad,11,0.1,100.0,40.0,inf,1.9284978728626168,0.03885633012671974,4.479009619021378e-17,6,63.133321003988385
pscad,12,0.1,100.0,inf,20.0,38.464746944231436,0.0,7.33082918050474e-09,5,57.51539394259453
pscad,13,0.1,100.0,inf,30.0,1.5819158781845422,0.0,3.46803219346169e-10,3,59.35391318053007
pscad,14,0.1,100.0,inf,40.0,1.2833349315996139,0.05719883810543536,5.565949364572592e-17,6,64.93008905090392
pscad,15,0.1,100.0,inf,inf,0.5646986479328764,0.012820639649746113,7.857152316797e-17,6,55.48817105591297
pscad,16,0.1,500.0,20.0,20.0,102.04980760118194,0.09114520114975448,5.3994818911335873e-20,5,65.2789359446615
pscad,17,0.1,500.0,20.0,30.0,31.88175575652574,1.164955229025645,2.222603040158386e-20,6,59.475489892065525
pscad,18,0.1,500.0,20.0,40.0,192.97937666981355,0.6645778371702704,1.8605341097252003e-20,6,59.646026929840446
pscad,19,0.1,500.0,20.0,inf,40.55555264560656,0.7062642351424074,1.2244720922137085e-20,6,58.560220059007406
pscad,20,0.1,500.0,30.0,20.0,253.38988752249224,0.5704718224468592,1.674128070721142e-20,6,59.258163906633854
pscad,21,0.1,500.0,30.0,30.0,27.37806796985795,0.18747291809153238,1.2243719382356443e-19,5,65.8147840294987
pscad,22,0.1,500.0,30.0,40.0,0.47751757322252175,0.0074890969242005665,2.1768643006418737e-20,5,66.45606481470168
pscad,23,0.1,500.0,30.0,inf,48.3462119852941,0.15421265387802804,2.520846599714752e-20,5,67.20173615030944
pscad,24,0.1,500.0,40.0,20.0,43.90286311268584,0.9841692470354474,1.8479415878971518e-20,6,58.82455501705408
pscad,25,0.1,500.0,40.0,30.0,17.38826251112073,0.2057785655763041,4.8142487131687663e-20,5,63.932581106200814
pscad,26,0.1,500.0,40.0,40.0,3.3682553439213363,0.01750821099708446,1.2513865460769932e-20,5,59.72176184877753
pscad,27,0.1,500.0,40.0,inf,6.427991621963058,0.03179691669569138,2.571696208713437e-20,5,63.39310994371772
pscad,28,0.1,500.0,inf,20.0,120.67660639568255,1.2885628062129855,3.9076024781095604e-20,6,60.563943115994334
pscad,29,0.1,500.0,inf,30.0,8.469486255201094,0.4237570045893449,4.3160436050860486e-19,5,58.8245471008122
pscad,30,0.1,500.0,inf,40.0,14.137334958227123,0.09395689858132528,2.9091062764721257e-21,5,63.85363917797804
pscad,31,0.1,500.0,inf,inf,14.179973967836741,0.04415212785204403,7.547247645723624e-21,5,61.291348887607455
pscad,32,0.1,1000.0,20.0,20.0,50.0,1.2375058275532638,2.1809999792967531e-10,4,61.97489099577069
pscad,33,0.1,1000.0,20.0,30.0,284.8725473176209,0.5753749981100327,4.093033474744e-19,10,66.27725786529481
pscad,34,0.1,1000.0,20.0,40.0,50.0,0.6486315766098073,2.436504698960527e-11,3,59.4978251028806
pscad,35,0.1,1000.0,20.0,inf,308.26008460820304,0.622065789883095,6.050855129614814e-19,10,68.44257120974362
pscad,36,0.1,1000.0,30.0,20.0,46.878739497457076,0.7019688976910515,3.309130869060377e-19,9,70.00343780964613
pscad,37,0.1,1000.0,30.0,30.0,158.09614244444077,0.11907625932567498,3.2706285906934277e-19,8,70.32430404797196
pscad,38,0.1,1000.0,30.0,40.0,43.9962317435163,0.030552377870981216,1.1716978737660147e-19,7,73.47886287607253
pscad,39,0.1,1000.0,30.0,inf,8.801235482122665,0.4840653431482906,9.43931895328297e-20,9,61.41381780616939
pscad,40,0.1,1000.0,40.0,20.0,75.99187694820071,0.2714657722103766,7.929852732808608e-19,8,55.81471789628267
pscad,41,0.1,1000.0,40.0,30.0,6.418378111779297,0.18198646218507974,1.3235819118467618e-19,8,60.86500990204513
pscad,42,0.1,1000.0,40.0,40.0,50.367867772050346,0.17217242892794501,2.253345389967192e-19,8,59.82576496899128
pscad,43,0.1,1000.0,40.0,inf,84.03592605010205,0.17631547703741718,3.4006765779740774e-19,8,60.68962812423706
pscad,44,0.1,1000.0,inf,20.0,2.2426136825433733,1.1767577853704665,2.343113744413386e-19,9,64.35945606790483
pscad,45,0.1,1000.0,inf,30.0,50.80777092517305,0.3282020685062889,8.884563333433737e-19,8,60.524779837578535
pscad,46,0.1,1000.0,inf,40.0,29.499503036568733,0.23384479414775114,3.2636423195595e-19,8,57.379845064133406
pscad,47,0.1,1000.0,inf,inf,48.17258239505115,0.12181110306084975,1.1003964850406484e-19,8,59.84410201199353
pscad,48,0.1,2000.0,20.0,20.0,451.7190550087369,0.8390567749618981,8.7203558298071e-19,26,80.51967504434288
pscad,49,0.1,2000.0,20.0,30.0,50.0,0.3378816777121756,1.4381953960591495e-11,6,64.71455190330744
pscad,50,0.1,2000.0,20.0,40.0,518.7178289299222,1.8812844131287079,8.783482124764187e-19,32,60.91239093802869
pscad,51,0.1,2000.0,20.0,inf,50.0,0.4523732749107012,2.1416532135392273e-12,5,57.852550875395536
pscad,52,0.1,2000.0,30.0,20.0,370.3650314793755,1.042494160905892,5.231306981340143e-19,23,58.08224296197295
pscad,53,0.1,2000.0,30.0,30.0,170.92538217954973,0.7280264636853758,3.7542991295113383e-19,15,58.52254317142069
pscad,54,0.1,2000.0,30.0,40.0,200.22156049662672,0.2303586724554066,7.215272516356411e-19,14,62.582096084952354
pscad,55,0.1,2000.0,30.0,inf,142.45540997958875,0.20389251176167136,6.496111899668127e-19,12,63.50302300415933
pscad,56,0.1,2000.0,40.0,20.0,50.0,0.6574145484045288,4.1276774652654593e-11,17,63.86828306131065
pscad,57,0.1,2000.0,40.0,30.0,50.0,0.14313803947371753,1.7384969578930506e-14,3,59.09528490155935
pscad,58,0.1,2000.0,40.0,40.0,36.072629425379645,0.005774665644810284,3.277096950390792e-19,7,64.01371699757874
pscad,59,0.1,2000.0,40.0,inf,165.33873114737787,0.41212594151164694,3.9765226251869517e-19,14,58.33898996934295
pscad,60,0.1,2000.0,inf,20.0,9.250485150537779,0.8486258685588723,4.060292548988277e-19,10,67.10495497100055
pscad,61,0.1,2000.0,inf,30.0,271.2775168579601,0.7847044406591636,6.177561886438505e-19,18,72.03197595663369
pscad,62,0.1,2000.0,inf,40.0,116.54937968171787,0.2077069479028296,3.110911473393708e-19,12,64.60486492142081
pscad,63,0.1,2000.0,inf,inf,135.22416220334244,0.3198560415299198,3.291517653869968e-19,13,56.2531731557101
pscad,64,0.1,5000.0,20.0,20.0,532.042790859114,1.6288160104486087,2.3420410360136334e-12,59,68.59661894850433
pscad,65,0.1,5000.0,20.0,30.0,50.0,0.0,7.674914731813864e-12,1,59.49626979418099
pscad,66,0.1,5000.0,20.0,40.0,120.74522479319081,0.0,6.7412361681536695e-12,6,65.79122715629637
pscad,67,0.1,5000.0,20.0,inf,50.0,0.0,2.870905951323634e-11,1,67.56112701259553
pscad,68,0.1,5000.0,30.0,20.0,462.2801582459067,0.0,2.3393154684605744e-11,3,63.86243808083236
pscad,69,0.1,5000.0,30.0,30.0,41.3541184616944,0.0,1.2740578393553583e-12,4,57.93091794475913
pscad,70,0.1,5000.0,30.0,40.0,202.53475114879535,0.4642041091340798,5.82452785408914e-19,22,62.387497164309025
pscad,71,0.1,5000.0,30.0,inf,347.55465259347557,0.0,8.116702379333875e-13,3,60.98461989313364
