dataset,cell,alpha,Rx,snrV,snrI,loc_err_pct,loc_err_self_pct,delta_loc_pp,Rx_err_pct,Rx_err_self_pct,delta_Rx_pp
pscad,0,0.100,100.0,20.0,20.0,21.799065,18.796882,3.002183,1.885325,0.291788,1.593537
pscad,1,0.100,100.0,20.0,30.0,29.632068,36.957508,-7.325440,0.000000,0.077260,-0.077260
pscad,2,0.100,100.0,20.0,40.0,23.349824,3.039035,20.310790,0.485541,0.000000,0.485541
pscad,3,0.100,100.0,20.0,inf,2.484896,4.012559,-1.527663,0.000000,0.000000,0.000000
pscad,4,0.100,100.0,30.0,20.0,14.718273,29.709541,-14.991268,0.000000,0.000000,0.000000
pscad,5,0.100,100.0,30.0,30.0,17.690741,5.807792,11.882949,0.677108,0.115277,0.561831
pscad,6,0.100,100.0,30.0,40.0,5.243595,10.646492,-5.402897,0.000000,0.311657,-0.311657
pscad,7,0.100,100.0,30.0,inf,5.133801,1.164203,3.969598,0.193109,0.000000,0.193109
pscad,8,0.100,100.0,40.0,20.0,7.163784,30.507429,-23.343645,1.197967,0.000000,1.197967
pscad,9,0.100,100.0,40.0,30.0,0.144345,2.975864,-2.831520,0.000000,0.000000,0.000000
pscad,10,0.100,100.0,40.0,40.0,0.080835,1.424487,-1.343652,0.000000,0.000000,0.000000
pscad,11,0.100,100.0,40.0,inf,1.928498,0.586859,1.341639,0.038856,0.000000,0.038856
pscad,12,0.100,100.0,inf,20.0,38.464747,13.015479,25.449268,0.000000,0.000000,0.000000
pscad,13,0.100,100.0,inf,30.0,1.581916,6.473434,-4.891518,0.000000,0.319820,-0.319820
pscad,14,0.100,100.0,inf,40.0,1.283335,2.445125,-1.161790,0.057199,0.020676,0.036523
pscad,15,0.100,100.0,inf,inf,0.564699,0.000697,0.564002,0.012821,0.000099,0.012721
pscad,16,0.100,500.0,20.0,20.0,102.049808,62.865007,39.184801,0.091145,1.432848,-1.341703
pscad,17,0.100,500.0,20.0,30.0,31.881756,85.593883,-53.712127,1.164955,0.527730,0.637225
pscad,18,0.100,500.0,20.0,40.0,192.979377,37.241816,155.737561,0.664578,0.245192,0.419386
pscad,19,0.100,500.0,20.0,inf,40.555553,16.167961,24.387592,0.706264,0.611650,0.094614
pscad,20,0.100,500.0,30.0,20.0,253.389888,50.000000,203.389888,0.570472,1.311817,-0.741345
pscad,21,0.100,500.0,30.0,30.0,27.378068,14.509755,12.868313,0.187473,0.012943,0.174530
pscad,22,0.100,500.0,30.0,40.0,0.477518,49.641665,-49.164147,0.007489,0.108525,-0.101036
pscad,23,0.100,500.0,30.0,inf,48.346212,19.599894,28.746318,0.154213,0.155195,-0.000983
