cell,alpha,Rx_ohm,SNR_V_dB,SNR_I_dB,rms_V_pct,rms_I_pct,rms_max_pct,flagged
0,0.100,100.0,inf,inf,0.000000,0.000001,0.000001,0
1,0.100,500.0,inf,inf,0.000000,0.000005,0.000005,0
2,0.100,1000.0,inf,inf,0.000000,0.000009,0.000009,0
3,0.100,2000.0,inf,inf,0.000000,0.000016,0.000016,0
4,0.100,5000.0,inf,inf,0.000000,0.000023,0.000023,0
5,0.200,100.0,inf,inf,0.000000,0.000001,0.000001,0
6,0.200,500.0,inf,inf,0.000000,0.000003,0.000003,0
7,0.200,1000.0,inf,inf,0.000000,0.000006,0.000006,0
8,0.200,2000.0,inf,inf,0.000000,0.000011,0.000011,0
9,0.200,5000.0,inf,inf,0.000000,0.000017,0.000017,0
10,0.300,100.0,inf,inf,0.000000,0.000001,0.000001,0
11,0.300,500.0,inf,inf,0.000000,0.000003,0.000003,0
12,0.300,1000.0,inf,inf,0.000000,0.000005,0.000005,0
13,0.300,2000.0,inf,inf,0.000000,0.000008,0.000008,0
14,0.300,5000.0,inf,inf,0.000000,0.000012,0.000012,0
15,0.400,100.0,inf,inf,0.000000,0.000002,0.000002,0
16,0.400,500.0,inf,inf,0.000000,0.000002,0.000002,0
17,0.400,1000.0,inf,inf,0.000000,0.000004,0.000004,0
18,0.400,2000.0,inf,inf,0.000000,0.000006,0.000006,0
19,0.400,5000.0,inf,inf,0.000000,0.000009,0.000009,0
20,0.500,100.0,inf,inf,0.000000,0.000003,0.000003,0
21,0.500,500.0,inf,inf,0.000000,0.000002,0.000002,0
22,0.500,1000.0,inf,inf,0.000000,0.000003,0.000003,0
23,0.500,2000.0,inf,inf,0.000000,0.000005,0.000005,0
24,0.500,5000.0,inf,inf,0.000000,0.000008,0.000008,0
25,0.600,100.0,inf,inf,0.000000,0.000005,0.000005,0
26,0.600,500.0,inf,inf,0.000000,0.000003,0.000003,0
27,0.600,1000.0,inf,inf,0.000000,0.000004,0.000004,0
28,0.600,2000.0,inf,inf,0.000000,0.000006,0.000006,0
29,0.600,5000.0,inf,inf,0.000000,0.000009,0.000009,0
30,0.700,100.0,inf,inf,0.000000,0.000008,0.000008,0
31,0.700,500.0,inf,inf,0.000000,0.000004,0.000004,0
32,0.700,1000.0,inf,inf,0.000000,0.000005,0.000005,0
33,0.700,2000.0,inf,inf,0.000000,0.000008,0.000008,0
34,0.700,5000.0,inf,inf,0.000000,0.000012,0.000012,0
35,0.800,100.0,inf,inf,0.000000,0.000011,0.000011,0
36,0.800,500.0,inf,inf,0.000000,0.000006,0.000006,0
37,0.800,1000.0,inf,inf,0.000000,0.000008,0.000008,0
38,0.800,2000.0,inf,inf,0.000000,0.000012,0.000012,0
39,0.800,5000.0,inf,inf,0.000000,0.000017,0.000017,0
40,0.900,100.0,inf,inf,0.000000,0.000015,0.000015,0
41,0.900,500.0,inf,inf,0.000000,0.000008,0.000008,0
42,0.900,1000.0,inf,inf,0.000000,0.000011,0.000011,0
43,0.900,2000.0,inf,inf,0.000000,0.000016,0.000016,0
44,0.900,5000.0,inf,inf,0.000000,0.000023,0.000023,0
