cell,alpha,Rx_ohm,SNR_V_dB,SNR_I_dB,rms_pscad_emtp_pct,rms_pscad_ref50_pct,rms_emtp_ref50_pct,max_pct
0,0.100,100.0,20.0,20.0,14.184088,14.087548,14.917433,14.917433
1,0.100,100.0,20.0,30.0,13.607855,13.954697,12.701099,13.954697
2,0.100,100.0,20.0,40.0,14.471047,14.418942,14.820250,14.820250
3,0.100,100.0,20.0,inf,14.117406,14.544327,13.494246,14.544327
4,0.100,100.0,30.0,20.0,14.250315,14.293522,13.883993,14.293522
5,0.100,100.0,30.0,30.0,4.635000,4.419684,4.829996,4.829996
6,0.100,100.0,30.0,40.0,4.507812,4.412588,4.345744,4.507812
7,0.100,100.0,30.0,inf,4.190246,4.492029,4.325777,4.492029
8,0.100,100.0,40.0,20.0,14.091352,14.724168,13.619487,14.724168
9,0.100,100.0,40.0,30.0,4.645544,4.038622,4.102023,4.645544
10,0.100,100.0,40.0,40.0,1.420544,1.398861,1.359761,1.420544
11,0.100,100.0,40.0,inf,1.492652,1.563762,1.581697,1.581697
12,0.100,100.0,inf,20.0,14.111780,14.627650,14.740784,14.740784
13,0.100,100.0,inf,30.0,4.694414,4.385127,4.672413,4.694414
14,0.100,100.0,inf,40.0,1.428410,1.389386,1.275316,1.428410
15,0.100,100.0,inf,inf,0.000001,0.000001,0.000000,0.000001
16,0.100,500.0,20.0,20.0,13.783472,14.649077,14.175891,14.649077
17,0.100,500.0,20.0,30.0,14.150607,13.572265,14.716796,14.716796
18,0.100,500.0,20.0,40.0,14.487879,14.268148,14.291557,14.487879
19,0.100,500.0,20.0,inf,14.839536,15.161092,14.219870,15.161092
20,0.100,500.0,30.0,20.0,15.800537,14.258260,14.339973,15.800537
21,0.100,500.0,30.0,30.0,4.588949,4.552708,4.287806,4.588949
22,0.100,500.0,30.0,40.0,4.190278,4.090320,4.271342,4.271342
23,0.100,500.0,30.0,inf,4.407619,4.349802,4.600789,4.600789
24,0.100,500.0,40.0,20.0,12.966034,13.742777,13.181016,13.742777
25,0.100,500.0,40.0,30.0,3.989097,3.987843,4.280433,4.280433
26,0.100,500.0,40.0,40.0,1.477174,1.450698,1.510549,1.510549
27,0.100,500.0,40.0,inf,1.478604,1.445641,1.381075,1.478604
28,0.100,500.0,inf,20.0,13.903039,13.514919,13.688366,13.903039
29,0.100,500.0,inf,30.0,4.384831,4.405254,4.337002,4.405254
30,0.100,500.0,inf,40.0,1.453500,1.395289,1.479556,1.479556
31,0.100,500.0,inf,inf,0.000005,0.000005,0.000000,0.000005
32,0.100,1000.0,20.0,20.0,14.523899,15.887582,14.386409,15.887582
33,0.100,1000.0,20.0,30.0,14.715754,14.594937,14.316950,14.715754
34,0.100,1000.0,20.0,40.0,13.587912,14.277219,14.687557,14.687557
35,0.100,1000.0,20.0,inf,14.744015,14.103193,14.372190,14.744015
36,0.100,1000.0,30.0,20.0,14.685682,15.517074,14.510798,15.517074
37,0.100,1000.0,30.0,30.0,4.600773,4.808026,4.915611,4.915611
38,0.100,1000.0,30.0,40.0,4.244688,4.579206,4.629736,4.629736
39,0.100,1000.0,30.0,inf,4.411644,4.059364,4.516264,4.516264
40,0.100,1000.0,40.0,20.0,13.443336,14.295048,13.183549,14.295048
41,0.100,1000.0,40.0,30.0,4.287139,4.406268,4.148989,4.406268
42,0.100,1000.0,40.0,40.0,1.466417,1.387597,1.416377,1.466417
43,0.100,1000.0,40.0,inf,1.342835,1.531052,1.478400,1.531052
44,0.100,1000.0,inf,20.0,14.268940,15.512040,15.144641,15.512040
45,0.100,1000.0,inf,30.0,4.194025,4.454217,4.650877,4.650877
46,0.100,1000.0,inf,40.0,1.496684,1.517496,1.470862,1.517496
47,0.100,1000.0,inf,inf,0.000009,0.000009,0.000000,0.000009
48,0.100,2000.0,20.0,20.0,15.755742,13.995386,14.599950,15.755742
49,0.100,2000.0,20.0,30.0,13.945605,12.074918,12.965883,13.945605
50,0.100,2000.0,20.0,40.0,14.637347,13.661547,14.444935,14.637347
51,0.100,2000.0,20.0,inf,13.692709,13.627889,12.687460,13.692709
52,0.100,2000.0,30.0,20.0,13.333927,13.254701,13.785319,13.785319
53,0.100,2000.0,30.0,30.0,4.675697,4.418231,4.371412,4.675697
54,0.100,2000.0,30.0,40.0,4.567768,4.610022,4.650481,4.650481
55,0.100,2000.0,30.0,inf,4.615060,4.686704,4.821011,4.821011
56,0.100,2000.0,40.0,20.0,13.673226,14.259964,13.142027,14.259964
57,0.100,2000.0,40.0,30.0,4.509514,4.817038,4.505908,4.817038
58,0.100,2000.0,40.0,40.0,1.469616,1.442265,1.544820,1.544820
59,0.100,2000.0,40.0,inf,1.270526,1.353293,1.334042,1.353293
60,0.100,2000.0,inf,20.0,14.199154,15.036013,14.557806,15.036013
61,0.100,2000.0,inf,30.0,4.654277,4.748643,4.848832,4.848832
62,0.100,2000.0,inf,40.0,1.530788,1.449975,1.429191,1.530788
63,0.100,2000.0,inf,inf,0.000016,0.000016,0.000000,0.000016
64,0.100,5000.0,20.0,20.0,15.066247,14.367708,15.141643,15.141643
65,0.100,5000.0,20.0,30.0,13.650805,14.504068,13.523853,14.504068
66,0.100,5000.0,20.0,40.0,15.380297,15.326105,14.323561,15.380297
67,0.100,5000.0,20.0,inf,13.987332,13.883845,13.421303,13.987332
68,0.100,5000.0,30.0,20.0,12.595008,13.378488,12.677871,13.378488
69,0.100,5000.0,30.0,30.0,4.781109,4.502836,4.474669,4.781109
70,0.100,5000.0,30.0,40.0,4.732206,4.697090,4.960508,4.960508
71,0.100,5000.0,30.0,inf,3.978008,4.206018,3.962126,4.206018
72,0.100,5000.0,40.0,20.0,13.402338,13.820232,14.732261,14.732261
73,0.100,5000.0,40.0,30.0,4.503350,4.468981,4.672216,4.672216
74,0.100,5000.0,40.0,40.0,1.365958,1.390571,1.393108,1.393108
75,0.100,5000.0,40.0,inf,1.341396,1.296614,1.286853,1.341396
76,0.100,5000.0,inf,20.0,13.993395,14.769486,14.593866,14.769486
77,0.100,5000.0,inf,30.0,4.791273,4.473220,4.966943,4.966943
78,0.100,5000.0,inf,40.0,1.461624,1.546305,1.419358,1.546305
79,0.100,5000.0,inf,inf,0.000023,0.000023,0.000000,0.000023
80,0.200,100.0,20.0,20.0,14.715483,14.936114,15.220790,15.220790
81,0.200,100.0,20.0,30.0,13.648275,14.173192,13.099568,14.173192
82,0.200,100.0,20.0,40.0,14.287749,14.500666,14.235404,14.500666
83,0.200,100.0,20.0,inf,14.334772,13.976361,13.316111,14.334772
84,0.200,100.0,30.0,20.0,14.027423,13.132462,14.167106,14.167106
85,0.200,100.0,30.0,30.0,4.733810,4.511265,4.757097,4.757097
86,0.200,100.0,30.0,40.0,4.583611,4.286904,4.569875,4.583611
87,0.200,100.0,30.0,inf,4.541314,4.430699,4.639615,4.639615
88,0.200,100.0,40.0,20.0,15.457309,15.134791,13.089225,15.457309
89,0.200,100.0,40.0,30.0,4.391094,4.352592,4.433780,4.433780
90,0.200,100.0,40.0,40.0,1.476725,1.489554,1.349081,1.489554
91,0.200,100.0,40.0,inf,1.392030,1.423850,1.451559,1.451559
92,0.200,100.0,inf,20.0,14.047940,13.801167,15.409869,15.409869
93,0.200,100.0,inf,30.0,4.202022,4.709108,4.482238,4.709108
94,0.200,100.0,inf,40.0,1.281990,1.205365,1.264228,1.281990
95,0.200,100.0,inf,inf,0.000001,0.000001,0.000000,0.000001
96,0.200,500.0,20.0,20.0,13.727315,14.581925,13.967291,14.581925
97,0.200,500.0,20.0,30.0,15.600361,14.701261,13.178264,15.600361
98,0.200,500.0,20.0,40.0,14.772071,14.585524,14.442945,14.772071
99,0.200,500.0,20.0,inf,14.874953,13.965848,13.521720,14.874953
100,0.200,500.0,30.0,20.0,14.584976,13.394400,15.582098,15.582098
101,0.200,500.0,30.0,30.0,4.512594,4.751690,4.781591,4.781591
102,0.200,500.0,30.0,40.0,4.263923,4.597566,4.578545,4.597566
103,0.200,500.0,30.0,inf,4.486532,4.368667,4.692508,4.692508
104,0.200,500.0,40.0,20.0,13.984093,15.012064,13.798666,15.012064
105,0.200,500.0,40.0,30.0,4.337130,4.631743,3.922474,4.631743
106,0.200,500.0,40.0,40.0,1.440659,1.476884,1.411179,1.476884
107,0.200,500.0,40.0,inf,1.318549,1.365883,1.381018,1.381018
108,0.200,500.0,inf,20.0,14.783767,14.879725,14.366031,14.879725
109,0.200,500.0,inf,30.0,4.180339,4.457547,4.485331,4.485331
110,0.200,500.0,inf,40.0,1.372145,1.502379,1.591346,1.591346
111,0.200,500.0,inf,inf,0.000003,0.000003,0.000000,0.000003
112,0.200,1000.0,20.0,20.0,13.775920,14.034466,14.489756,14.489756
113,0.200,1000.0,20.0,30.0,13.706229,13.366602,12.054780,13.706229
114,0.200,1000.0,20.0,40.0,13.101213,13.690783,14.167058,14.167058
115,0.200,1000.0,20.0,inf,13.667626,14.333649,14.111487,14.333649
116,0.200,1000.0,30.0,20.0,15.269290,14.470269,13.796964,15.269290
117,0.200,1000.0,30.0,30.0,4.655970,4.412780,4.607312,4.655970
118,0.200,1000.0,30.0,40.0,4.619091,4.676110,4.697103,4.697103
119,0.200,1000.0,30.0,inf,4.164213,4.708512,4.317078,4.708512
120,0.200,1000.0,40.0,20.0,13.925313,13.637937,14.166738,14.166738
121,0.200,1000.0,40.0,30.0,4.887784,4.793516,4.330044,4.887784
122,0.200,1000.0,40.0,40.0,1.495070,1.452954,1.450689,1.495070
123,0.200,1000.0,40.0,inf,1.561022,1.503989,1.587914,1.587914
124,0.200,1000.0,inf,20.0,14.708907,13.789729,13.242691,14.708907
125,0.200,1000.0,inf,30.0,4.607245,4.646395,4.509226,4.646395
126,0.200,1000.0,inf,40.0,1.521877,1.467538,1.483786,1.521877
127,0.200,1000.0,inf,inf,0.000006,0.000006,0.000000,0.000006
128,0.200,2000.0,20.0,20.0,14.371176,15.050324,13.961300,15.050324
129,0.200,2000.0,20.0,30.0,14.015084,14.357316,13.740068,14.357316
130,0.200,2000.0,20.0,40.0,13.949690,14.139386,14.917575,14.917575
131,0.200,2000.0,20.0,inf,14.647244,14.034254,14.028904,14.647244
132,0.200,2000.0,30.0,20.0,14.332829,13.921035,13.685268,14.332829
133,0.200,2000.0,30.0,30.0,4.402331,4.700209,4.656493,4.700209
134,0.200,2000.0,30.0,40.0,4.341445,4.322552,4.071965,4.341445
135,0.200,2000.0,30.0,inf,4.511375,4.940362,4.511929,4.940362
136,0.200,2000.0,40.0,20.0,14.104359,13.381477,14.499347,14.499347
137,0.200,2000.0,40.0,30.0,4.622861,4.746542,4.539235,4.746542
138,0.200,2000.0,40.0,40.0,1.456945,1.523603,1.471167,1.523603
139,0.200,2000.0,40.0,inf,1.393736,1.396584,1.394886,1.396584
140,0.200,2000.0,inf,20.0,14.720901,15.121061,14.187914,15.121061
141,0.200,2000.0,inf,30.0,4.350345,4.196202,4.282962,4.350345
