dataset,cell,alpha,Rx,snrV,snrI,loc_err_p1,loc_err_p2,Rx_err_p2
pscad,0,0.100,100.0,20.0,20.0,21.799065,33.672319,7.214937
pscad,1,0.100,100.0,20.0,30.0,29.632068,13.221873,7.632199
pscad,2,0.100,100.0,20.0,40.0,23.349824,73.531449,7.427643
pscad,3,0.100,100.0,20.0,inf,2.484896,52.610432,7.511561
pscad,4,0.100,100.0,30.0,20.0,14.718273,32.701356,7.598055
pscad,5,0.100,100.0,30.0,30.0,17.690741,33.045087,7.397304
pscad,6,0.100,100.0,30.0,40.0,5.243595,52.998703,7.550296
pscad,7,0.100,100.0,30.0,inf,5.133801,53.239234,7.471257
pscad,8,0.100,100.0,40.0,20.0,7.163784,43.803692,7.317212
pscad,9,0.100,100.0,40.0,30.0,0.144345,43.668576,7.521517
pscad,10,0.100,100.0,40.0,40.0,0.080835,43.654511,7.500137
pscad,11,0.100,100.0,40.0,inf,1.928498,44.011210,7.490895
pscad,12,0.100,100.0,inf,20.0,38.464747,83.785109,7.635719
pscad,13,0.100,100.0,inf,30.0,1.581916,43.391806,7.528268
pscad,14,0.100,100.0,inf,40.0,1.283335,43.527673,7.489970
pscad,15,0.100,100.0,inf,inf,0.564699,52.333045,7.502025
pscad,16,0.100,500.0,20.0,20.0,102.049808,90.974397,0.984128
pscad,17,0.100,500.0,20.0,30.0,31.881756,20.926453,1.173687
pscad,18,0.100,500.0,20.0,40.0,192.979377,183.180251,0.857809
pscad,19,0.100,500.0,20.0,inf,40.555553,21.811740,1.091715
pscad,20,0.100,500.0,30.0,20.0,253.389888,253.502591,0.881425
pscad,21,0.100,500.0,30.0,30.0,27.378068,10.096565,0.998170
pscad,22,0.100,500.0,30.0,40.0,0.477518,20.615632,0.965669
pscad,23,0.100,500.0,30.0,inf,48.346212,30.238470,0.938149
pscad,24,0.100,500.0,40.0,20.0,43.902863,31.194127,1.141523
pscad,25,0.100,500.0,40.0,30.0,17.388263,9.282528,0.928758
pscad,26,0.100,500.0,40.0,40.0,3.368255,19.942504,0.961597
pscad,27,0.100,500.0,40.0,inf,6.427992,19.267181,0.970657
pscad,28,0.100,500.0,inf,20.0,120.676606,112.259772,1.200801
pscad,29,0.100,500.0,inf,30.0,8.469486,9.747070,1.040010
pscad,30,0.100,500.0,inf,40.0,14.137335,9.676267,0.948272
pscad,31,0.100,500.0,inf,inf,14.179974,9.571888,0.957120
pscad,32,0.100,1000.0,20.0,20.0,50.000000,250.803226,12.403998
pscad,33,0.100,1000.0,20.0,30.0,284.872547,99.900000,11.024253
pscad,34,0.100,1000.0,20.0,40.0,50.000000,99.900000,11.139519
pscad,35,0.100,1000.0,20.0,inf,308.260085,99.900000,11.021976
pscad,36,0.100,1000.0,30.0,20.0,46.878739,99.900000,10.962726
pscad,37,0.100,1000.0,30.0,30.0,158.096142,99.900000,11.065977
pscad,38,0.100,1000.0,30.0,40.0,43.996232,99.900000,11.066774
pscad,39,0.100,1000.0,30.0,inf,8.801235,99.900000,11.122725
pscad,40,0.100,1000.0,40.0,20.0,75.991877,99.900000,11.107192
pscad,41,0.100,1000.0,40.0,30.0,6.418378,99.900000,11.027309
pscad,42,0.100,1000.0,40.0,40.0,50.367868,99.900000,11.038849
pscad,43,0.100,1000.0,40.0,inf,84.035926,99.900000,11.044317
pscad,44,0.100,1000.0,inf,20.0,2.242614,399.029901,12.387205
pscad,45,0.100,1000.0,inf,30.0,50.807771,99.900000,11.110844
pscad,46,0.100,1000.0,inf,40.0,29.499503,99.900000,11.026289
pscad,47,0.100,1000.0,inf,inf,48.172582,438.959594,12.139149
pscad,48,0.100,2000.0,20.0,20.0,451.719055,476.176889,1.049527
pscad,49,0.100,2000.0,20.0,30.0,50.000000,99.900000,0.987762
pscad,50,0.100,2000.0,20.0,40.0,518.717829,393.629860,1.206083
pscad,51,0.100,2000.0,20.0,inf,50.000000,98.035208,0.900393
pscad,52,0.100,2000.0,30.0,20.0,370.365031,366.320482,1.100414
pscad,53,0.100,2000.0,30.0,30.0,170.925382,211.999256,1.079863
pscad,54,0.100,2000.0,30.0,40.0,200.221560,383.367020,0.923781
pscad,55,0.100,2000.0,30.0,inf,142.455410,271.799649,1.003953
pscad,56,0.100,2000.0,40.0,20.0,50.000000,76.999073,0.812370
pscad,57,0.100,2000.0,40.0,30.0,50.000000,59.651114,1.000096
pscad,58,0.100,2000.0,40.0,40.0,36.072629,190.332358,0.982521
pscad,59,0.100,2000.0,40.0,inf,165.338731,262.101455,1.033494
pscad,60,0.100,2000.0,inf,20.0,9.250485,29.507172,1.092868
pscad,61,0.100,2000.0,inf,30.0,271.277517,313.153178,1.077569
pscad,62,0.100,2000.0,inf,40.0,116.549380,242.000584,1.006780
pscad,63,0.100,2000.0,inf,inf,135.224162,242.495963,1.021902
pscad,64,0.100,5000.0,20.0,20.0,532.042791,99.900000,5.224305
pscad,65,0.100,5000.0,20.0,30.0,50.000000,99.900000,4.553454
pscad,66,0.100,5000.0,20.0,40.0,120.745225,99.900000,4.633800
pscad,67,0.100,5000.0,20.0,inf,50.000000,99.900000,4.391465
pscad,68,0.100,5000.0,30.0,20.0,462.280158,99.900000,4.869030
pscad,69,0.100,5000.0,30.0,30.0,41.354118,99.900000,4.713677
pscad,70,0.100,5000.0,30.0,40.0,202.534751,99.900000,4.918551
pscad,71,0.100,5000.0,30.0,inf,347.554653,99.900000,4.854407
pscad,72,0.100,5000.0,40.0,20.0,741.399141,99.900000,5.094147
pscad,73,0.100,5000.0,40.0,30.0,181.090609,99.900000,4.743528
pscad,74,0.100,5000.0,40.0,40.0,209.213871,99.900000,4.709764
pscad,75,0.100,5000.0,40.0,inf,172.113711,99.900000,4.730047
pscad,76,0.100,5000.0,inf,20.0,107.962436,99.900000,4.397677
pscad,77,0.100,5000.0,inf,30.0,60.602648,99.900000,4.750716
pscad,78,0.100,5000.0,inf,40.0,202.461303,99.900000,4.736075
pscad,79,0.100,5000.0,inf,inf,182.067482,99.900000,4.748005
pscad,80,0.200,100.0,20.0,20.0,21.933834,47.300763,7.517120
pscad,81,0.200,100.0,20.0,30.0,11.910674,11.937215,7.667117
pscad,82,0.200,100.0,20.0,40.0,8.298146,16.964822,7.485766
pscad,83,0.200,100.0,20.0,inf,25.325499,52.182577,7.494939
pscad,84,0.200,100.0,30.0,20.0,2.401310,22.239933,7.465368
pscad,85,0.200,100.0,30.0,30.0,5.090623,22.061343,7.401168
pscad,86,0.200,100.0,30.0,40.0,1.854067,27.054570,7.504043
pscad,87,0.200,100.0,30.0,inf,0.968402,22.320177,7.505535
pscad,88,0.200,100.0,40.0,20.0,4.560335,21.945245,7.455833
pscad,89,0.200,100.0,40.0,30.0,3.104204,22.016576,7.498070
pscad,90,0.200,100.0,40.0,40.0,1.032403,26.897011,7.530140
pscad,91,0.200,100.0,40.0,inf,0.921920,26.938162,7.496752
pscad,92,0.200,100.0,inf,20.0,2.971503,21.829023,7.752159
pscad,93,0.200,100.0,inf,30.0,2.242045,27.071205,7.550695
pscad,94,0.200,100.0,inf,40.0,1.064087,26.965752,7.495117
pscad,95,0.200,100.0,inf,inf,0.082911,26.790176,7.502238
pscad,96,0.200,500.0,20.0,20.0,75.000000,99.950000,0.723409
pscad,97,0.200,500.0,20.0,30.0,44.457502,41.284568,0.960338
pscad,98,0.200,500.0,20.0,40.0,11.802894,14.201219,1.310139
pscad,99,0.200,500.0,20.0,inf,75.000000,99.950000,1.085318
pscad,100,0.200,500.0,30.0,20.0,36.768623,49.891796,0.870570
pscad,101,0.200,500.0,30.0,30.0,83.245289,82.192000,0.876098
pscad,102,0.200,500.0,30.0,40.0,6.758056,0.543814,0.908872
pscad,103,0.200,500.0,30.0,inf,16.227855,10.873499,0.973740
pscad,104,0.200,500.0,40.0,20.0,75.000000,95.997938,0.792612
pscad,105,0.200,500.0,40.0,30.0,36.909350,31.528235,0.995856
pscad,106,0.200,500.0,40.0,40.0,9.415643,19.007168,0.991552
pscad,107,0.200,500.0,40.0,inf,3.658191,4.079541,0.964356
pscad,108,0.200,500.0,inf,20.0,3.022477,4.023608,1.023263
pscad,109,0.200,500.0,inf,30.0,8.986947,1.101858,0.961208
pscad,110,0.200,500.0,inf,40.0,12.981855,6.033315,0.956963
pscad,111,0.200,500.0,inf,inf,4.841289,3.881860,0.956697
pscad,112,0.200,1000.0,20.0,20.0,43.943808,99.950000,10.961310
