alpha,Rx_ohm,mag_dist,mag_ref,mag_err_pct,phase_dist_deg,phase_ref_deg,phase_err_deg
0.050,100.0,9.9756212238e-03,9.9756211906e-03,0.0000003324,1.2541736544,1.2541730315,0.0000006228
0.050,500.0,2.0339336631e-03,2.0339336158e-03,0.0000023270,10.1767043757,10.1767014598,0.0000029159
0.050,1000.0,1.0660720242e-03,1.0660719602e-03,0.0000060039,19.9643990216,19.9643939580,0.0000050636
0.050,2000.0,6.2060610188e-04,6.2060601436e-04,0.0000141028,36.0498881390,36.0498814055,0.0000067335
0.050,5000.0,4.1746983037e-04,4.1746972018e-04,0.0000263955,61.1356072130,61.1356032253,0.0000039877
0.150,100.0,9.9036277699e-03,9.9036277408e-03,0.0000002943,-0.4059531301,-0.4059536078,0.0000004777
0.150,500.0,2.0324928666e-03,2.0324928320e-03,0.0000017025,9.8227692073,9.8227671032,0.0000021042
0.150,1000.0,1.0660097190e-03,1.0660096727e-03,0.0000043488,19.7708716814,19.7708680310,0.0000036504
0.150,2000.0,6.2065826391e-04,6.2065820068e-04,0.0000101886,35.9351403479,35.9351354908,0.0000048571
0.150,5000.0,4.1745288167e-04,4.1745280208e-04,0.0000190640,61.0788413009,61.0788384232,0.0000028777
0.250,100.0,9.8225712104e-03,9.8225711743e-03,0.0000003675,-2.0371542060,-2.0371546789,0.0000004729
0.250,500.0,2.0305809453e-03,2.0305809201e-03,0.0000012413,9.4745010905,9.4744995732,0.0000015173
0.250,1000.0,1.0657549628e-03,1.0657549298e-03,0.0000031020,19.5839913312,19.5839887325,0.0000025987
0.250,2000.0,6.2063828509e-04,6.2063824020e-04,0.0000072330,35.8281278455,35.8281243982,0.0000034473
0.250,5000.0,4.1742446507e-04,4.1742440862e-04,0.0000135224,61.0278634957,61.0278614549,0.0000020408
0.350,100.0,9.7331270432e-03,9.7331269811e-03,0.0000006384,-3.6368203304,-3.6368209922,0.0000006619
0.350,500.0,2.0282023101e-03,2.0282022906e-03,0.0000009611,9.1320474172,9.1320462463,0.0000011709
0.350,1000.0,1.0653085313e-03,1.0653085070e-03,0.0000022758,19.4038191760,19.4038172552,0.0000019209
0.350,2000.0,6.2054627051e-04,6.2054623790e-04,0.0000052552,35.7288806378,35.7288781184,0.0000025194
0.350,5000.0,4.1738459780e-04,4.1738455686e-04,0.0000098069,60.9826923065,60.9826908181,0.0000014885
0.450,100.0,9.6360017702e-03,9.6360016545e-03,0.0000012003,-5.2026485449,-5.2026496346,0.0000010897
0.450,500.0,2.0253617535e-03,2.0253617357e-03,0.0000008816,8.7955555630,8.7955544846,0.0000010784
0.450,1000.0,1.0646713304e-03,1.0646713103e-03,0.0000018852,19.2304187742,19.2304171478,0.0000016264
0.450,2000.0,6.2038238388e-04,6.2038235738e-04,0.0000042707,35.6374298980,35.6374278174,0.0000020806
0.450,5000.0,4.1733331056e-04,4.1733327740e-04,0.0000079462,60.9433445266,60.9433433003,0.0000012263
0.550,100.0,9.5319198501e-03,9.5319196450e-03,0.0000021518,-6.7326465431,-6.7326483361,0.0000017930
0.550,500.0,2.0220644347e-03,2.0220644141e-03,0.0000010218,8.4651727616,8.4651715127,0.0000012489
