alpha,Rx_ohm,mag_err_pct,phase_err_deg,source_of_residual
0.050,100.0,3.3239103015e-07,6.2283867085e-07,within_target
0.050,500.0,2.3269630155e-06,2.9158982408e-06,within_target
0.050,1000.0,6.0038855508e-06,5.0635810953e-06,within_target
0.050,2000.0,1.4102787166e-05,6.7335190602e-06,within_target
0.050,5000.0,2.6395454554e-05,3.9876658375e-06,within_target
0.100,100.0,3.0456468456e-07,5.3725387708e-07,within_target
0.100,500.0,1.9970216355e-06,2.4874442932e-06,within_target
0.100,1000.0,5.1317092901e-06,4.3206337147e-06,within_target
0.100,2000.0,1.2043189645e-05,5.7496723429e-06,within_target
0.100,5000.0,2.2542555604e-05,3.4094513523e-06,within_target
0.150,100.0,2.9427086924e-07,4.7768689277e-07,within_target
0.150,500.0,1.7024771086e-06,2.1041631928e-06,within_target
0.150,1000.0,4.3487631506e-06,3.6503627497e-06,within_target
0.150,2000.0,1.0188632453e-05,4.8570790917e-06,within_target
0.150,5000.0,1.9063965803e-05,2.8777342611e-06,within_target
0.200,100.0,3.1173972277e-07,4.5361192841e-07,within_target
0.200,500.0,1.4493379479e-06,1.7788530321e-06,within_target
0.200,1000.0,3.6699557473e-06,3.0732201814e-06,within_target
0.200,2000.0,8.5793307458e-06,4.0849518299e-06,within_target
0.200,5000.0,1.6044097020e-05,2.4174825670e-06,within_target
0.250,100.0,3.6754756216e-07,4.7290888283e-07,within_target
0.250,500.0,1.2412940889e-06,1.5172870394e-06,within_target
0.250,1000.0,3.1019886893e-06,2.5987219559e-06,within_target
0.250,2000.0,7.2329609461e-06,3.4473107223e-06,within_target
0.250,5000.0,1.3522395247e-05,2.0407956215e-06,within_target
0.300,100.0,4.7250477198e-07,5.4000032545e-07,within_target
0.300,500.0,1.0770459645e-06,1.3124657729e-06,within_target
0.300,1000.0,2.6343785075e-06,2.2112541069e-06,within_target
0.300,2000.0,6.1179098812e-06,2.9205084850e-06,within_target
0.300,5000.0,1.1429041961e-05,1.7271659334e-06,within_target
0.350,100.0,6.3835672177e-07,6.6185795422e-07,within_target
0.350,500.0,9.6112157116e-07,1.1708694520e-06,within_target
0.350,1000.0,2.2758496890e-06,1.9208555877e-06,within_target
0.350,2000.0,5.2552016344e-06,2.5193902615e-06,within_target
0.350,5000.0,9.8068824334e-06,1.4884581038e-06,within_target
0.400,100.0,8.7697101647e-07,8.4398635751e-07,within_target
0.400,500.0,8.9608984484e-07,1.0947344425e-06,within_target
0.400,1000.0,2.0284524950e-06,1.7300610333e-06,within_target
0.400,2000.0,4.6478100092e-06,2.2458691999e-06,within_target
0.400,5000.0,8.6656136165e-06,1.3278358559e-06,within_target
0.450,100.0,1.2003493902e-06,1.0897145627e-06,within_target
0.450,500.0,8.8162226445e-07,1.0784363245e-06,within_target
0.450,1000.0,1.8851782988e-06,1.6264086423e-06,within_target
0.450,2000.0,4.2706553254e-06,2.0805763838e-06,within_target
0.450,5000.0,7.9461680699e-06,1.2263043064e-06,within_target
0.500,100.0,1.6211958975e-06,1.4051702812e-06,within_target
0.500,500.0,9.2347183815e-07,1.1309285075e-06,within_target
0.500,1000.0,1.8573387341e-06,1.6249295412e-06,within_target
0.500,2000.0,4.1564326450e-06,2.0474804732e-06,within_target
0.500,5000.0,7.7166269148e-06,1.2047118769e-06,within_target
0.550,100.0,2.1518418991e-06,1.7930440071e-06,within_target
0.550,500.0,1.0217750633e-06,1.2488623189e-06,within_target
0.550,1000.0,1.9396925111e-06,1.7167271780e-06,within_target
0.550,2000.0,4.2841704401e-06,2.1302726461e-06,within_target
0.550,5000.0,7.9357799378e-06,1.2512537605e-06,within_target
0.600,100.0,2.8052915115e-06,2.2578691433e-06,within_target
0.600,500.0,1.1816740807e-06,1.4383981896e-06,within_target
0.600,1000.0,2.1412894422e-06,1.9124437012e-06,within_target
0.600,2000.0,4.6771586454e-06,2.3457419056e-06,within_target
0.600,5000.0,8.6452187677e-06,1.3770040888e-06,within_target
0.650,100.0,3.5938803144e-06,2.8008790897e-06,within_target
0.650,500.0,1.4027141969e-06,1.6924938035e-06,within_target
0.650,1000.0,2.4531418953e-06,2.1976868848e-06,within_target
0.650,2000.0,5.3060187802e-06,2.6699864469e-06,within_target
0.650,5000.0,9.7851120150e-06,1.5625707910e-06,within_target
0.700,100.0,4.5306833325e-06,3.4258800829e-06,within_target
0.700,500.0,1.6901347417e-06,2.0197766890e-06,within_target
0.700,1000.0,2.8861382488e-06,2.5852149830e-06,within_target
0.700,2000.0,6.1975482760e-06,3.1239305413e-06,within_target
0.700,5000.0,1.1409212769e-05,1.8254101887e-06,within_target
0.750,100.0,5.6282749790e-06,4.1346510803e-06,within_target
0.750,500.0,2.0467054075e-06,2.4200362597e-06,within_target
0.750,1000.0,3.4409000582e-06,3.0738909890e-06,within_target
0.750,2000.0,7.3500533715e-06,3.7032567703e-06,within_target
0.750,5000.0,1.3507920750e-05,2.1614278140e-06,within_target
0.800,100.0,6.8989181768e-06,4.9280161303e-06,within_target
0.800,500.0,2.4731137924e-06,2.8895782603e-06,within_target
0.800,1000.0,4.1128363678e-06,3.6557705959e-06,within_target
0.800,2000.0,8.7440622177e-06,4.3934151586e-06,within_target
0.800,5000.0,1.6047754235e-05,2.5601727331e-06,within_target
0.850,100.0,8.3556233978e-06,5.8084400879e-06,within_target
0.850,500.0,2.9761147774e-06,3.4377136642e-06,within_target
0.850,1000.0,4.9154719907e-06,4.3461192259e-06,within_target
0.850,2000.0,1.0419126272e-05,5.2229315158e-06,within_target
0.850,5000.0,1.9099435910e-05,3.0427060829e-06,within_target
0.900,100.0,1.0010192162e-05,6.7761745716e-06,within_target
0.900,500.0,3.5565204923e-06,4.0618481057e-06,within_target
0.900,1000.0,5.8445326940e-06,5.1376068071e-06,within_target
0.900,2000.0,1.2352324961e-05,6.1724786225e-06,within_target
0.900,5000.0,2.2616123161e-05,3.5933843435e-06,within_target
0.950,100.0,1.1873437356e-05,7.8292210990e-06,within_target
0.950,500.0,4.2133780225e-06,4.7517153364e-06,within_target
0.950,1000.0,6.8883687851e-06,6.0101836032e-06,within_target
0.950,2000.0,1.4513201003e-05,7.2192679954e-06,within_target
0.950,5000.0,2.6541181189e-05,4.1937682108e-06,within_target
