dataset,cell,alpha,Rx,snrV,snrI,loc_err_p1,loc_err_p2_mean,loc_improvement_frac,loc_improvement_pct
pscad,0,0.100,100.0,20.0,20.0,21.799065,33.672319,-0.544668,-54.4668
pscad,1,0.100,100.0,20.0,30.0,29.632068,13.221873,0.553799,55.3799
pscad,2,0.100,100.0,20.0,40.0,23.349824,73.531449,-2.149122,-214.9122
pscad,3,0.100,100.0,20.0,inf,2.484896,52.610432,-20.172087,-2017.2087
pscad,4,0.100,100.0,30.0,20.0,14.718273,32.701356,-1.221820,-122.1820
pscad,5,0.100,100.0,30.0,30.0,17.690741,33.045087,-0.867931,-86.7931
pscad,6,0.100,100.0,30.0,40.0,5.243595,52.998703,-9.107321,-910.7321
pscad,7,0.100,100.0,30.0,inf,5.133801,53.239234,-9.370335,-937.0335
pscad,8,0.100,100.0,40.0,20.0,7.163784,43.803692,-5.114603,-511.4603
pscad,9,0.100,100.0,40.0,30.0,0.144345,43.668576,-301.530015,-30153.0015
pscad,10,0.100,100.0,40.0,40.0,0.080835,43.654511,-539.042332,-53904.2332
pscad,11,0.100,100.0,40.0,inf,1.928498,44.011210,-21.821498,-2182.1498
pscad,12,0.100,100.0,inf,20.0,38.464747,83.785109,-1.178231,-117.8231
pscad,13,0.100,100.0,inf,30.0,1.581916,43.391806,-26.429907,-2642.9907
pscad,14,0.100,100.0,inf,40.0,1.283335,43.527673,-32.917625,-3291.7625
pscad,15,0.100,100.0,inf,inf,0.564699,52.333045,-91.674289,-9167.4289
pscad,16,0.100,500.0,20.0,20.0,102.049808,90.974397,0.108529,10.8529
pscad,17,0.100,500.0,20.0,30.0,31.881756,20.926453,0.343623,34.3623
pscad,18,0.100,500.0,20.0,40.0,192.979377,183.180251,0.050778,5.0778
pscad,19,0.100,500.0,20.0,inf,40.555553,21.811740,0.462176,46.2176
pscad,20,0.100,500.0,30.0,20.0,253.389888,253.502591,-0.000445,-0.0445
pscad,21,0.100,500.0,30.0,30.0,27.378068,10.096565,0.631217,63.1217
pscad,22,0.100,500.0,30.0,40.0,0.477518,20.615632,-42.172510,-4217.2510
pscad,23,0.100,500.0,30.0,inf,48.346212,30.238470,0.374543,37.4543
pscad,24,0.100,500.0,40.0,20.0,43.902863,31.194127,0.289474,28.9474
pscad,25,0.100,500.0,40.0,30.0,17.388263,9.282528,0.466161,46.6161
pscad,26,0.100,500.0,40.0,40.0,3.368255,19.942504,-4.920722,-492.0722
pscad,27,0.100,500.0,40.0,inf,6.427992,19.267181,-1.997387,-199.7387
pscad,28,0.100,500.0,inf,20.0,120.676606,112.259772,0.069747,6.9747
