feeder,fault_bus,alpha,Rx,snrI,observation,n_real_obs,rmse_alpha_pct_proper,rmse_alpha_pct_dual,rmse_Rx_pct_proper,rmse_Rx_pct_dual,consistency_ratio,geary_hinkley_valid
IEEE_34,bus_01,0.5,100.0,20.0,full,18,96.02510361091969,96.02510361091969,8.959252129105545,8.959252129105543,1.0,1
IEEE_34,bus_01,0.5,100.0,20.0,upper,12,132.7395520790246,132.7395520790246,9.36839093427373,9.36839093427373,1.0,1
IEEE_34,bus_01,0.5,100.0,20.0,diagonal,6,463.38793965326107,463.38793965326096,16.240183355738264,16.24018335573826,1.0000000000000002,1
IEEE_34,bus_01,0.5,100.0,30.0,full,18,30.365803996416524,30.36580399641653,2.8331642859686443,2.8331642859686443,0.9999999999999998,1
IEEE_34,bus_01,0.5,100.0,30.0,upper,12,41.975932016025666,41.975932016025666,2.9625453363177794,2.9625453363177794,0.9999999999999999,1
IEEE_34,bus_01,0.5,100.0,30.0,diagonal,6,146.53613295569605,146.53613295569602,5.135596902288946,5.135596902288944,1.0000000000000002,1
IEEE_34,bus_01,0.5,100.0,40.0,full,18,9.602510361091968,9.602510361091968,0.8959252129105544,0.8959252129105544,1.0,1
IEEE_34,bus_01,0.5,100.0,40.0,upper,12,13.27395520790246,13.27395520790246,0.936839093427373,0.936839093427373,1.0,1
IEEE_34,bus_01,0.5,100.0,40.0,diagonal,6,46.33879396532608,46.33879396532608,1.6240183355738258,1.6240183355738258,1.0,1
IEEE_34,bus_01,0.5,100.0,50.0,full,18,3.036580399641652,3.036580399641652,0.2833164285968645,0.2833164285968645,1.0000000000000002,1
IEEE_34,bus_01,0.5,100.0,50.0,upper,12,4.197593201602567,4.197593201602567,0.2962545336317779,0.2962545336317779,1.0,1
IEEE_34,bus_01,0.5,100.0,50.0,diagonal,6,14.653613295569592,14.653613295569592,0.5135596902288943,0.5135596902288943,1.0,1
IEEE_34,bus_01,0.5,100.0,inf,full,18,7.008217345131656e-149,nan,2.570816870824316e-150,nan,nan,1
IEEE_34,bus_01,0.5,100.0,inf,upper,12,7.511803621566991e-149,nan,2.6947942125111694e-150,nan,nan,1
IEEE_34,bus_01,0.5,100.0,inf,diagonal,6,8.142401572975522e-149,nan,2.853635520525265e-150,nan,nan,1
IEEE_34,bus_01,0.5,500.0,20.0,full,18,478.9610646042798,478.96106460427967,42.573660847611315,42.57366084761131,1.0000000000000002,1
IEEE_34,bus_01,0.5,500.0,20.0,upper,12,662.626210070229,662.626210070229,44.6518999486549,44.6518999486549,1.0,1
IEEE_34,bus_01,0.5,500.0,20.0,diagonal,6,2348.2332226158514,2348.233222615852,79.88500492396305,79.88500492396305,0.9999999999999999,1
IEEE_34,bus_01,0.5,500.0,30.0,full,18,151.46078746885777,151.46078746885777,13.462973660998644,13.462973660998648,1.0,1
IEEE_34,bus_01,0.5,500.0,30.0,upper,12,209.5408061147125,209.5408061147125,14.120170569170503,14.120170569170503,1.0,1
IEEE_34,bus_01,0.5,500.0,30.0,diagonal,6,742.5765460743315,742.5765460743315,25.261856645348956,25.261856645348956,1.0,1
IEEE_34,bus_01,0.5,500.0,40.0,full,18,47.89610646042797,47.89610646042797,4.257366084761132,4.257366084761132,1.0,1
IEEE_34,bus_01,0.5,500.0,40.0,upper,12,66.2626210070229,66.2626210070229,4.465189994865491,4.465189994865491,1.0,1
IEEE_34,bus_01,0.5,500.0,40.0,diagonal,6,234.82332226158528,234.82332226158528,7.988500492396308,7.988500492396308,1.0,1
IEEE_34,bus_01,0.5,500.0,50.0,full,18,15.14607874688578,15.146078746885777,1.3462973660998645,1.3462973660998645,1.0000000000000002,1
IEEE_34,bus_01,0.5,500.0,50.0,upper,12,20.954080611471248,20.954080611471248,1.41201705691705,1.41201705691705,1.0,1
IEEE_34,bus_01,0.5,500.0,50.0,diagonal,6,74.25765460743314,74.25765460743314,2.5261856645348955,2.5261856645348955,1.0,1
IEEE_34,bus_01,0.5,500.0,inf,full,18,3.6806365936076466e-148,nan,1.3140872306315738e-149,nan,nan,1
IEEE_34,bus_01,0.5,500.0,inf,upper,12,3.976099826228909e-148,nan,1.3865123502985668e-149,nan,nan,1
IEEE_34,bus_01,0.5,500.0,inf,diagonal,6,4.3565080367917396e-148,nan,1.4820487764606134e-149,nan,nan,1
IEEE_34,bus_01,0.5,1000.0,20.0,full,18,957.6415954190969,957.6415954190969,84.60153636291754,84.60153636291754,1.0,1
IEEE_34,bus_01,0.5,1000.0,20.0,upper,12,1325.0080840911344,1325.0080840911344,88.76658422687215,88.76658422687215,1.0,1
IEEE_34,bus_01,0.5,1000.0,20.0,diagonal,6,4705.491795367323,4705.491795367323,159.47952949027868,159.47952949027868,1.0,1
