subset,truth,pred_SLG,pred_LL,pred_LLG,row_total,recall_pct
snrI_inf,SLG,500,0,0,500,100.00
snrI_inf,LL,0,500,0,500,100.00
snrI_inf,LLG,0,0,500,500,100.00
snrI_eq_30dB,SLG,338,37,125,500,67.60
snrI_eq_30dB,LL,141,206,153,500,41.20
snrI_eq_30dB,LLG,129,93,278,500,55.60
snrI_eq_40dB,SLG,385,24,91,500,77.00
snrI_eq_40dB,LL,93,293,114,500,58.60
snrI_eq_40dB,LLG,60,87,353,500,70.60
snrI_ge_30dB,SLG,1223,61,216,1500,81.53
snrI_ge_30dB,LL,234,999,267,1500,66.60
snrI_ge_30dB,LLG,189,180,1131,1500,75.40
all,SLG,1223,61,216,1500,81.53
all,LL,234,999,267,1500,66.60
all,LLG,189,180,1131,1500,75.40
snrI_inf,OVERALL,,,,1500,100.00
snrI_eq_30dB,OVERALL,,,,1500,54.80
snrI_eq_40dB,OVERALL,,,,1500,68.73
snrI_ge_30dB,OVERALL,,,,4500,74.51
all,OVERALL,,,,4500,74.51
