alpha,Rx,orc_satisfied
0.050000,100.0000,1
0.050000,108.3111,1
0.050000,117.3129,1
0.050000,127.0628,1
0.050000,137.6231,1
0.050000,149.0611,1
0.050000,161.4497,1
0.050000,174.8679,1
0.050000,189.4013,1
0.050000,205.1425,1
0.050000,222.1921,1
0.050000,240.6586,1
0.050000,260.6599,1
0.050000,282.3236,1
0.050000,305.7877,1
0.050000,331.2019,1
0.050000,358.7284,1
0.050000,388.5425,1
0.050000,420.8346,1
0.050000,455.8105,1
0.050000,493.6932,1
0.050000,534.7244,1
0.050000,579.1657,1
0.050000,627.3006,1
0.050000,679.4360,1
0.050000,735.9045,1
0.050000,797.0660,1
0.050000,863.3107,1
0.050000,935.0611,1
0.050000,1012.7747,1
0.050000,1096.9472,1
0.050000,1188.1153,1
0.050000,1286.8604,1
0.050000,1393.8123,1
0.050000,1509.6530,1
0.050000,1635.1214,1
0.050000,1771.0175,1
0.050000,1918.2081,1
0.050000,2077.6318,1
0.050000,2250.3052,1
0.050000,2437.3297,1
0.050000,2639.8980,1
0.050000,2859.3018,1
0.050000,3096.9405,1
0.050000,3354.3295,1
0.050000,3633.1102,1
0.050000,3935.0607,1
0.050000,4262.1064,1
0.050000,4616.3332,1
0.050000,5000.0000,1
0.068367,100.0000,1
0.068367,108.3111,1
0.068367,117.3129,1
0.068367,127.0628,1
0.068367,137.6231,1
0.068367,149.0611,1
0.068367,161.4497,1
0.068367,174.8679,1
0.068367,189.4013,1
0.068367,205.1425,1
0.068367,222.1921,1
0.068367,240.6586,1
0.068367,260.6599,1
0.068367,282.3236,1
0.068367,305.7877,1
0.068367,331.2019,1
0.068367,358.7284,1
0.068367,388.5425,1
0.068367,420.8346,1
0.068367,455.8105,1
0.068367,493.6932,1
0.068367,534.7244,1
0.068367,579.1657,1
0.068367,627.3006,1
0.068367,679.4360,1
0.068367,735.9045,1
0.068367,797.0660,1
0.068367,863.3107,1
0.068367,935.0611,1
0.068367,1012.7747,1
0.068367,1096.9472,1
0.068367,1188.1153,1
0.068367,1286.8604,1
0.068367,1393.8123,1
0.068367,1509.6530,1
0.068367,1635.1214,1
0.068367,1771.0175,1
0.068367,1918.2081,1
0.068367,2077.6318,1
0.068367,2250.3052,1
0.068367,2437.3297,1
0.068367,2639.8980,1
0.068367,2859.3018,1
0.068367,3096.9405,1
0.068367,3354.3295,1
0.068367,3633.1102,1
0.068367,3935.0607,1
0.068367,4262.1064,1
0.068367,4616.3332,1
0.068367,5000.0000,1
0.086735,100.0000,1
0.086735,108.3111,1
0.086735,117.3129,1
0.086735,127.0628,1
0.086735,137.6231,1
0.086735,149.0611,1
0.086735,161.4497,1
0.086735,174.8679,1
0.086735,189.4013,1
0.086735,205.1425,1
0.086735,222.1921,1
0.086735,240.6586,1
0.086735,260.6599,1
0.086735,282.3236,1
0.086735,305.7877,1
0.086735,331.2019,1
0.086735,358.7284,1
0.086735,388.5425,1
0.086735,420.8346,1
0.086735,455.8105,1
0.086735,493.6932,1
0.086735,534.7244,1
0.086735,579.1657,1
0.086735,627.3006,1
0.086735,679.4360,1
0.086735,735.9045,1
0.086735,797.0660,1
0.086735,863.3107,1
0.086735,935.0611,1
0.086735,1012.7747,1
0.086735,1096.9472,1
0.086735,1188.1153,1
0.086735,1286.8604,1
0.086735,1393.8123,1
0.086735,1509.6530,1
0.086735,1635.1214,1
0.086735,1771.0175,1
0.086735,1918.2081,1
0.086735,2077.6318,1
0.086735,2250.3052,1
0.086735,2437.3297,1
0.086735,2639.8980,1
0.086735,2859.3018,1
0.086735,3096.9405,1
0.086735,3354.3295,1
0.086735,3633.1102,1
0.086735,3935.0607,1
0.086735,4262.1064,1
0.086735,4616.3332,1
0.086735,5000.0000,1
0.105102,100.0000,1
0.105102,108.3111,1
0.105102,117.3129,1
0.105102,127.0628,1
0.105102,137.6231,1
0.105102,149.0611,1
0.105102,161.4497,1
0.105102,174.8679,1
0.105102,189.4013,1
0.105102,205.1425,1
0.105102,222.1921,1
0.105102,240.6586,1
0.105102,260.6599,1
0.105102,282.3236,1
0.105102,305.7877,1
0.105102,331.2019,1
0.105102,358.7284,1
0.105102,388.5425,1
0.105102,420.8346,1
0.105102,455.8105,1
0.105102,493.6932,1
0.105102,534.7244,1
0.105102,579.1657,1
0.105102,627.3006,1
0.105102,679.4360,1
0.105102,735.9045,1
0.105102,797.0660,1
0.105102,863.3107,1
0.105102,935.0611,1
0.105102,1012.7747,1
0.105102,1096.9472,1
0.105102,1188.1153,1
0.105102,1286.8604,1
0.105102,1393.8123,1
0.105102,1509.6530,1
0.105102,1635.1214,1
0.105102,1771.0175,1
0.105102,1918.2081,1
0.105102,2077.6318,1
0.105102,2250.3052,1
0.105102,2437.3297,1
0.105102,2639.8980,1
0.105102,2859.3018,1
0.105102,3096.9405,1
0.105102,3354.3295,1
0.105102,3633.1102,1
0.105102,3935.0607,1
0.105102,4262.1064,1
0.105102,4616.3332,1
0.105102,5000.0000,1
0.123469,100.0000,1
0.123469,108.3111,1
0.123469,117.3129,1
0.123469,127.0628,1
0.123469,137.6231,1
0.123469,149.0611,1
0.123469,161.4497,1
0.123469,174.8679,1
0.123469,189.4013,1
0.123469,205.1425,1
0.123469,222.1921,1
0.123469,240.6586,1
0.123469,260.6599,1
0.123469,282.3236,1
0.123469,305.7877,1
0.123469,331.2019,1
0.123469,358.7284,1
0.123469,388.5425,1
0.123469,420.8346,1
0.123469,455.8105,1
0.123469,493.6932,1
0.123469,534.7244,1
0.123469,579.1657,1
0.123469,627.3006,1
0.123469,679.4360,1
0.123469,735.9045,1
0.123469,797.0660,1
0.123469,863.3107,1
0.123469,935.0611,1
0.123469,1012.7747,1
0.123469,1096.9472,1
0.123469,1188.1153,1
0.123469,1286.8604,1
0.123469,1393.8123,1
0.123469,1509.6530,1
0.123469,1635.1214,1
0.123469,1771.0175,1
0.123469,1918.2081,1
0.123469,2077.6318,1
0.123469,2250.3052,1
0.123469,2437.3297,1
0.123469,2639.8980,1
0.123469,2859.3018,1
0.123469,3096.9405,1
0.123469,3354.3295,1
0.123469,3633.1102,1
0.123469,3935.0607,1
0.123469,4262.1064,1
0.123469,4616.3332,1
0.123469,5000.0000,1
0.141837,100.0000,1
0.141837,108.3111,1
0.141837,117.3129,1
0.141837,127.0628,1
0.141837,137.6231,1
0.141837,149.0611,1
0.141837,161.4497,1
0.141837,174.8679,1
0.141837,189.4013,1
0.141837,205.1425,1
0.141837,222.1921,1
0.141837,240.6586,1
