alpha,Rx,sigma_min,sigma_min_over_max,hermann_krener_rank,is_degenerate
0.050000,100.0000,9.782739e-05,3.271184e-02,2,0
0.050000,108.3111,8.352292e-05,3.273040e-02,2,0
0.050000,117.3129,7.130985e-05,3.274802e-02,2,0
0.050000,127.0628,6.088250e-05,3.276419e-02,2,0
0.050000,137.6231,5.197974e-05,3.277830e-02,2,0
0.050000,149.0611,4.437856e-05,3.278960e-02,2,0
0.050000,161.4497,3.788853e-05,3.279718e-02,2,0
0.050000,174.8679,3.234703e-05,3.279996e-02,2,0
0.050000,189.4013,2.761522e-05,3.279663e-02,2,0
0.050000,205.1425,2.357458e-05,3.278565e-02,2,0
0.050000,222.1921,2.012393e-05,3.276521e-02,2,0
0.050000,240.6586,1.717692e-05,3.273314e-02,2,0
0.050000,260.6599,1.465984e-05,3.268696e-02,2,0
0.050000,282.3236,1.250977e-05,3.262375e-02,2,0
0.050000,305.7877,1.067303e-05,3.254016e-02,2,0
0.050000,331.2019,9.103809e-06,3.243238e-02,2,0
0.050000,358.7284,7.763013e-06,3.229608e-02,2,0
0.050000,388.5425,6.617286e-06,3.212642e-02,2,0
0.050000,420.8346,5.638167e-06,3.191805e-02,2,0
0.050000,455.8105,4.801375e-06,3.166515e-02,2,0
0.050000,493.6932,4.086196e-06,3.136150e-02,2,0
0.050000,534.7244,3.474958e-06,3.100063e-02,2,0
0.050000,579.1657,2.952589e-06,3.057595e-02,2,0
0.050000,627.3006,2.506230e-06,3.008103e-02,2,0
0.050000,679.4360,2.124912e-06,2.950993e-02,2,0
0.050000,735.9045,1.799276e-06,2.885751e-02,2,0
0.050000,797.0660,1.521335e-06,2.811993e-02,2,0
0.050000,863.3107,1.284269e-06,2.729505e-02,2,0
0.050000,935.0611,1.082251e-06,2.638289e-02,2,0
0.050000,1012.7747,9.102949e-07,2.538597e-02,2,0
0.050000,1096.9472,7.641325e-07,2.430962e-02,2,0
0.050000,1188.1153,6.401003e-07,2.316199e-02,2,0
0.050000,1286.8604,5.350493e-07,2.195401e-02,2,0
0.050000,1393.8123,4.462673e-07,2.069896e-02,2,0
0.050000,1509.6530,3.714133e-07,1.941200e-02,2,0
0.050000,1635.1214,3.084637e-07,1.810938e-02,2,0
0.050000,1771.0175,2.556672e-07,1.680767e-02,2,0
0.050000,1918.2081,2.115079e-07,1.552291e-02,2,0
0.050000,2077.6318,1.746744e-07,1.426989e-02,2,0
0.050000,2250.3052,1.440342e-07,1.306154e-02,2,0
0.050000,2437.3297,1.186115e-07,1.190849e-02,2,0
0.050000,2639.8980,9.756870e-08,1.081892e-02,2,0
0.050000,2859.3018,8.018943e-08,9.798485e-03,2,1
0.050000,3096.9405,6.586394e-08,8.850476e-03,2,1
0.050000,3354.3295,5.407560e-08,7.976082e-03,2,1
0.050000,3633.1102,4.438878e-08,7.174706e-03,2,1
0.050000,3935.0607,3.643789e-08,6.444321e-03,2,1
0.050000,4262.1064,2.991743e-08,5.781818e-03,2,1
0.050000,4616.3332,2.457325e-08,5.183332e-03,2,1
0.050000,5000.0000,2.019464e-08,4.644516e-03,2,1
0.068367,100.0000,9.756131e-05,3.270712e-02,2,0
0.068367,108.3111,8.331404e-05,3.272584e-02,2,0
0.068367,117.3129,7.114579e-05,3.274373e-02,2,0
0.068367,127.0628,6.075359e-05,3.276030e-02,2,0
0.068367,137.6231,5.187844e-05,3.277498e-02,2,0
0.068367,149.0611,4.429898e-05,3.278704e-02,2,0
0.068367,161.4497,3.782606e-05,3.279562e-02,2,0
0.068367,174.8679,3.229806e-05,3.279968e-02,2,0
0.068367,189.4013,2.757692e-05,3.279798e-02,2,0
0.068367,205.1425,2.354475e-05,3.278904e-02,2,0
0.068367,222.1921,2.010083e-05,3.277110e-02,2,0
0.068367,240.6586,1.715919e-05,3.274210e-02,2,0
0.068367,260.6599,1.464639e-05,3.269964e-02,2,0
0.068367,282.3236,1.249977e-05,3.264090e-02,2,0
0.068367,305.7877,1.066580e-05,3.256265e-02,2,0
0.068367,331.2019,9.098826e-06,3.246120e-02,2,0
0.068367,358.7284,7.759847e-06,3.233233e-02,2,0
0.068367,388.5425,6.615595e-06,3.217134e-02,2,0
0.068367,420.8346,5.637674e-06,3.197301e-02,2,0
0.068367,455.8105,4.801853e-06,3.173162e-02,2,0
0.068367,493.6932,4.087458e-06,3.144104e-02,2,0
0.068367,534.7244,3.476848e-06,3.109485e-02,2,0
0.068367,579.1657,2.954972e-06,3.068647e-02,2,0
0.068367,627.3006,2.508991e-06,3.020941e-02,2,0
0.068367,679.4360,2.127950e-06,2.965756e-02,2,0
0.068367,735.9045,1.802502e-06,2.902557e-02,2,0
0.068367,797.0660,1.524670e-06,2.830922e-02,2,0
0.068367,863.3107,1.287642e-06,2.750592e-02,2,0
0.068367,935.0611,1.085600e-06,2.661511e-02,2,0
0.068367,1012.7747,9.135653e-07,2.563868e-02,2,0
0.068367,1096.9472,7.672777e-07,2.458125e-02,2,0
0.068367,1188.1153,6.430820e-07,2.345027e-02,2,0
0.068367,1286.8604,5.378376e-07,2.225602e-02,2,0
0.068367,1393.8123,4.488405e-07,2.101124e-02,2,0
0.068367,1509.6530,3.737582e-07,1.973068e-02,2,0
0.068367,1635.1214,3.105745e-07,1.843041e-02,2,0
0.068367,1771.0175,2.575452e-07,1.712699e-02,2,0
0.068367,1918.2081,2.131602e-07,1.583666e-02,2,0
0.068367,2077.6318,1.761129e-07,1.457458e-02,2,0
0.068367,2250.3052,1.452741e-07,1.335419e-02,2,0
0.068367,2437.3297,1.196704e-07,1.218670e-02,2,0
0.068367,2639.8980,9.846530e-08,1.108091e-02,2,0
0.068367,2859.3018,8.094265e-08,1.004309e-02,2,0
0.068367,3096.9405,6.649218e-08,9.077081e-03,2,1
0.068367,3354.3295,5.459621e-08,8.184575e-03,2,1
0.068367,3633.1102,4.481770e-08,7.365376e-03,2,1
0.068367,3935.0607,3.678942e-08,6.617778e-03,2,1
0.068367,4262.1064,3.020421e-08,5.938908e-03,2,1
0.068367,4616.3332,2.480625e-08,5.325057e-03,2,1
0.068367,5000.0000,2.038326e-08,4.771974e-03,2,1
0.086735,100.0000,9.728983e-05,3.270228e-02,2,0
0.086735,108.3111,8.310106e-05,3.272114e-02,2,0
0.086735,117.3129,7.097860e-05,3.273927e-02,2,0
0.086735,127.0628,6.062228e-05,3.275622e-02,2,0
0.086735,137.6231,5.177529e-05,3.277142e-02,2,0
0.086735,149.0611,4.421795e-05,3.278421e-02,2,0
0.086735,161.4497,3.776243e-05,3.279375e-02,2,0
0.086735,174.8679,3.224816e-05,3.279904e-02,2,0
0.086735,189.4013,2.753787e-05,3.279891e-02,2,0
0.086735,205.1425,2.351429e-05,3.279193e-02,2,0
0.086735,222.1921,2.007721e-05,3.277642e-02,2,0
0.086735,240.6586,1.714100e-05,3.275040e-02,2,0
0.086735,260.6599,1.463256e-05,3.271154e-02,2,0
0.086735,282.3236,1.248942e-05,3.265716e-02,2,0
0.086735,305.7877,1.065827e-05,3.258413e-02,2,0
0.086735,331.2019,9.093565e-06,3.248886e-02,2,0
0.086735,358.7284,7.756428e-06,3.236728e-02,2,0
0.086735,388.5425,6.613672e-06,3.221481e-02,2,0
0.086735,420.8346,5.636967e-06,3.202635e-02,2,0
0.086735,455.8105,4.802136e-06,3.179631e-02,2,0
0.086735,493.6932,4.088541e-06,3.151866e-02,2,0
0.086735,534.7244,3.478572e-06,3.118703e-02,2,0
0.086735,579.1657,2.957205e-06,3.079486e-02,2,0
0.086735,627.3006,2.511617e-06,3.033562e-02,2,0
0.086735,679.4360,2.130868e-06,2.980307e-02,2,0
0.086735,735.9045,1.805624e-06,2.919163e-02,2,0
0.086735,797.0660,1.527916e-06,2.849677e-02,2,0
0.086735,863.3107,1.290941e-06,2.771543e-02,2,0
0.086735,935.0611,1.088889e-06,2.684652e-02,2,0
0.086735,1012.7747,9.167905e-07,2.589127e-02,2,0
0.086735,1096.9472,7.703909e-07,2.485359e-02,2,0
0.086735,1188.1153,6.460437e-07,2.374023e-02,2,0
0.086735,1286.8604,5.406165e-07,2.256078e-02,2,0
0.086735,1393.8123,4.514136e-07,2.132739e-02,2,0
0.086735,1509.6530,3.761103e-07,2.005438e-02,2,0
0.086735,1635.1214,3.126983e-07,1.875754e-02,2,0
0.086735,1771.0175,2.594403e-07,1.745339e-02,2,0
0.086735,1918.2081,2.148322e-07,1.615833e-02,2,0
0.086735,2077.6318,1.775723e-07,1.488786e-02,2,0
0.086735,2250.3052,1.465351e-07,1.365589e-02,2,0
0.086735,2437.3297,1.207498e-07,1.247423e-02,2,0
0.086735,2639.8980,9.938112e-08,1.135230e-02,2,0
0.086735,2859.3018,8.171347e-08,1.029699e-02,2,0
0.086735,3096.9405,6.713623e-08,9.312742e-03,2,1
0.086735,3354.3295,5.513076e-08,8.401756e-03,2,1
0.086735,3633.1102,4.525871e-08,7.564279e-03,2,1
0.086735,3935.0607,3.715131e-08,6.798950e-03,2,1
0.086735,4262.1064,3.049977e-08,6.103158e-03,2,1
0.086735,4616.3332,2.504661e-08,5.473375e-03,2,1
0.086735,5000.0000,2.057802e-08,4.905462e-03,2,1
0.105102,100.0000,9.701304e-05,3.269731e-02,2,0
0.105102,108.3111,8.288406e-05,3.271629e-02,2,0
0.105102,117.3129,7.080834e-05,3.273464e-02,2,0
0.105102,127.0628,6.048861e-05,3.275193e-02,2,0
0.105102,137.6231,5.167029e-05,3.276764e-02,2,0
0.105102,149.0611,4.413547e-05,3.278111e-02,2,0
0.105102,161.4497,3.769766e-05,3.279156e-02,2,0
0.105102,174.8679,3.219733e-05,3.279804e-02,2,0
0.105102,189.4013,2.749807e-05,3.279941e-02,2,0
0.105102,205.1425,2.348321e-05,3.279432e-02,2,0
