feeder,bus,phase,V_published_pu,V_solver_pu,abs_err_pu,rel_err_pct,within_1pct
IEEE_13,650,A,1.000000,1.000000,0.000000,0.0000,1
IEEE_13,650,B,1.000000,1.000000,0.000000,0.0000,1
IEEE_13,650,C,1.000000,1.000000,0.000000,0.0000,1
IEEE_13,632,A,1.021000,0.891039,0.129961,12.7288,0
IEEE_13,632,B,1.042000,0.905100,0.136900,13.1382,0
IEEE_13,632,C,1.017400,0.885236,0.132164,12.9904,0
IEEE_13,633,A,1.018000,0.884989,0.133011,13.0659,0
IEEE_13,633,B,1.040100,0.898355,0.141745,13.6280,0
IEEE_13,633,C,1.014800,0.878032,0.136768,13.4774,0
IEEE_13,634,A,0.994000,0.884981,0.109019,10.9677,0
IEEE_13,634,B,1.021800,0.898349,0.123451,12.0817,0
IEEE_13,634,C,0.996000,0.878024,0.117976,11.8450,0
IEEE_13,645,A,n/a,0.891039,n/a,n/a,n/a
IEEE_13,645,B,1.032900,0.892078,0.140822,13.6337,0
IEEE_13,645,C,1.015500,0.875726,0.139774,13.7640,0
IEEE_13,646,A,n/a,0.891039,n/a,n/a,n/a
IEEE_13,646,B,1.031100,0.887726,0.143374,13.9049,0
IEEE_13,646,C,1.013400,0.872632,0.140768,13.8907,0
IEEE_13,671,A,0.990000,0.815067,0.174933,17.6700,0
IEEE_13,671,B,1.052900,0.840851,0.212049,20.1395,0
IEEE_13,671,C,0.977800,0.806274,0.171526,17.5421,0
IEEE_13,684,A,0.988100,0.811349,0.176751,17.8879,0
IEEE_13,684,B,n/a,0.840851,n/a,n/a,n/a
IEEE_13,684,C,0.975800,0.801187,0.174613,17.8943,0
IEEE_13,611,A,n/a,0.811349,n/a,n/a,n/a
IEEE_13,611,B,n/a,0.840851,n/a,n/a,n/a
IEEE_13,611,C,0.973800,0.798561,0.175239,17.9953,0
IEEE_13,652,A,0.982500,0.806773,0.175727,17.8857,0
IEEE_13,652,B,n/a,0.840851,n/a,n/a,n/a
IEEE_13,652,C,n/a,0.801187,n/a,n/a,n/a
IEEE_13,680,A,0.990000,0.815067,0.174933,17.6700,0
IEEE_13,680,B,1.052900,0.840851,0.212049,20.1395,0
IEEE_13,680,C,0.977800,0.806273,0.171527,17.5421,0
IEEE_13,692,A,0.990000,0.815052,0.174948,17.6715,0
IEEE_13,692,B,1.052900,0.840838,0.212062,20.1408,0
IEEE_13,692,C,0.977700,0.806257,0.171443,17.5353,0
IEEE_13,675,A,0.983500,0.806672,0.176828,17.9794,0
IEEE_13,675,B,1.055300,0.833087,0.222213,21.0569,0
IEEE_13,675,C,0.975800,0.798319,0.177481,18.1883,0
