feeder,bus,alpha,Rx,H_phase_a_mag,H_phase_b_mag,H_phase_c_mag,V_shape,I_shape,status
IEEE_13,632,0.3,100.0,0.003295145891889825,0.004936905472514028,0.0016581974550174971,"(3, 200)","(3, 200)",skeleton
IEEE_13,632,0.3,1000.0,0.0004957624172886201,0.0006667137675986614,0.00033702946101949355,"(3, 200)","(3, 200)",skeleton
IEEE_13,632,0.3,5000.0,0.00037337688860822425,0.00045277986042863486,0.0002950446284512487,"(3, 200)","(3, 200)",skeleton
IEEE_13,632,0.5,100.0,0.003250126713335804,0.00487295897545526,0.0016321942775754667,"(3, 200)","(3, 200)",skeleton
IEEE_13,632,0.5,1000.0,0.0004948451054145367,0.0006654852890953729,0.00033649024877358387,"(3, 200)","(3, 200)",skeleton
IEEE_13,632,0.5,5000.0,0.000373324359707044,0.0004527050235886307,0.00029501643557206875,"(3, 200)","(3, 200)",skeleton
IEEE_13,632,0.7,100.0,0.0032016215560689096,0.004803690418644561,0.0016045386485613296,"(3, 200)","(3, 200)",skeleton
IEEE_13,632,0.7,1000.0,0.0004938758448291956,0.0006641634301899939,0.00033593634606316993,"(3, 200)","(3, 200)",skeleton
IEEE_13,632,0.7,5000.0,0.000373273101773341,0.0004526307280256152,0.00029498957443316516,"(3, 200)","(3, 200)",skeleton
IEEE_13,645,0.3,100.0,0.003295145891889825,0.004936905472514028,0.0016581974550174971,"(3, 200)","(3, 200)",skeleton
IEEE_13,645,0.3,1000.0,0.0004957624172886201,0.0006667137675986614,0.00033702946101949355,"(3, 200)","(3, 200)",skeleton
IEEE_13,645,0.3,5000.0,0.00037337688860822425,0.00045277986042863486,0.0002950446284512487,"(3, 200)","(3, 200)",skeleton
IEEE_13,645,0.5,100.0,0.003250126713335804,0.00487295897545526,0.0016321942775754667,"(3, 200)","(3, 200)",skeleton
IEEE_13,645,0.5,1000.0,0.0004948451054145367,0.0006654852890953729,0.00033649024877358387,"(3, 200)","(3, 200)",skeleton
IEEE_13,645,0.5,5000.0,0.000373324359707044,0.0004527050235886307,0.00029501643557206875,"(3, 200)","(3, 200)",skeleton
IEEE_13,645,0.7,100.0,0.0032016215560689096,0.004803690418644561,0.0016045386485613296,"(3, 200)","(3, 200)",skeleton
IEEE_13,645,0.7,1000.0,0.0004938758448291956,0.0006641634301899939,0.00033593634606316993,"(3, 200)","(3, 200)",skeleton
IEEE_13,645,0.7,5000.0,0.000373273101773341,0.0004526307280256152,0.00029498957443316516,"(3, 200)","(3, 200)",skeleton
IEEE_13,671,0.3,100.0,0.003295145891889825,0.004936905472514028,0.0016581974550174971,"(3, 200)","(3, 200)",skeleton
IEEE_13,671,0.3,1000.0,0.0004957624172886201,0.0006667137675986614,0.00033702946101949355,"(3, 200)","(3, 200)",skeleton
IEEE_13,671,0.3,5000.0,0.00037337688860822425,0.00045277986042863486,0.0002950446284512487,"(3, 200)","(3, 200)",skeleton
IEEE_13,671,0.5,100.0,0.003250126713335804,0.00487295897545526,0.0016321942775754667,"(3, 200)","(3, 200)",skeleton
IEEE_13,671,0.5,1000.0,0.0004948451054145367,0.0006654852890953729,0.00033649024877358387,"(3, 200)","(3, 200)",skeleton
IEEE_13,671,0.5,5000.0,0.000373324359707044,0.0004527050235886307,0.00029501643557206875,"(3, 200)","(3, 200)",skeleton
IEEE_13,671,0.7,100.0,0.0032016215560689096,0.004803690418644561,0.0016045386485613296,"(3, 200)","(3, 200)",skeleton
IEEE_13,671,0.7,1000.0,0.0004938758448291956,0.0006641634301899939,0.00033593634606316993,"(3, 200)","(3, 200)",skeleton
IEEE_13,671,0.7,5000.0,0.000373273101773341,0.0004526307280256152,0.00029498957443316516,"(3, 200)","(3, 200)",skeleton
