trial,alpha_true,Rx_true,snr_i_db,distortion_index,H_true_real,H_true_imag,H_dft_real,H_dft_imag,H_tft_real,H_tft_imag,bias_dft_pct,bias_tft_pct
0,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005274509911176647,0.0004108986499453462,0.00048361281267916514,0.00036159041084135184,8.858821170772819,3.349083859733758
1,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005252070125016992,0.0004073118736801386,0.00047979981890724984,0.00035480370936156824,8.18255221267864,4.08768110487521
2,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005281699012287789,0.0004081666869687062,0.0004811688247683748,0.00035304961760977704,8.51269483667248,3.9567960928432857
3,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005251193289253596,0.0004091944358538089,0.00047991576246692253,0.0003583362169238642,8.454639537587099,3.9677019706906527
4,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005262661039085688,0.0004076978469435923,0.0004788359404489428,0.00036138153091517893,8.310386961640557,4.118374734534766
5,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005245256999255004,0.0004087016012512446,0.00048112446044915334,0.00036055106669780155,8.344003581842236,3.749816979679674
6,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005281389943463449,0.00040895849630913594,0.00048344842664687667,0.0003569248031212881,8.624634807754035,3.4385992997837387
7,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005261566561481186,0.00040882159808808537,0.00047950269720683185,0.0003559529886466278,8.46743162950185,4.093105778413627
8,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005288264412678974,0.0004096073173749145,0.0004828112676221142,0.0003564538818603846,8.767737695737907,3.5544307775694484
9,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005290763791294282,0.00040696118944592147,0.00048207308554802604,0.00035508346509489203,8.407866795605363,3.721617702060523
10,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005250049321481514,0.000408478398358881,0.0004753165320113887,0.00035619784987576703,8.341367923992307,4.749655204353371
11,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005305501408360314,0.00040651135563959413,0.0004815292208639606,0.0003538450211920511,8.460021438882933,3.8615190471020515
12,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005265847410191567,0.0004096544103412539,0.0004811545010574179,0.0003556197077593842,8.618230743340764,3.844378154224947
13,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005254606892387915,0.0004106353667941166,0.0004782963905617447,0.0003603538120806795,8.689868710050499,4.206372474913316
14,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.000527645717069112,0.00041122110236265,0.0004793619950067943,0.0003599695126320819,8.919186231680303,4.036781381053813
15,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005261361829224647,0.00040695213191832417,0.0004837265724332825,0.00035333203284881377,8.19270842111392,3.5531998716027102
16,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005300122031826165,0.00040852727604260864,0.0004831665112682832,0.00035691073901635673,8.701702009965198,3.483642703476529
17,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.000528221983086407,0.0004102355300175482,0.00047966622099743873,0.0003552229977565158,8.81539626775818,4.092578167067615
18,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005257070451914594,0.000410474378367516,0.00047856748853232717,0.0003596127999553114,8.68164193110883,4.167513204347219
19,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005270365202370112,0.00040969548486510516,0.00048403645068457313,0.0003556972713758266,8.654743441528788,3.3903069836132804
20,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005259142630106228,0.0004070932443083324,0.0004803758601825574,0.0003550197871671735,8.198057411967847,3.9891171893949333
21,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005298427426498921,0.00040943003398773766,0.00048656950914116636,0.0003607255818820675,8.817300317651396,2.871595995220873
22,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005251368570249358,0.000408754222500278,0.00047572461214501536,0.00035527798856970714,8.390628817362057,4.711689639472884
23,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005242133377221851,0.00040730493440574927,0.00047359888395878024,0.0003546879230642883,8.117096431473025,5.06648202107798
24,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005282638904030763,0.0004108161702716254,0.0004871939650441865,0.00036084150835694897,8.902651981014285,2.770670643608409
25,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005278230744575286,0.000410288656890446,0.0004838975948413242,0.00035695515904325844,8.795276493820564,3.3666084283517814
26,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.000526747891533799,0.0004085841933915068,0.00048252780661230425,0.00036287976932958277,8.472748070642746,3.5354047880573094
27,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005275481733513584,0.00040752525053125,0.0004819773064609719,0.0003530029762578595,8.375321787327133,3.8362968102677724
28,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005297550718023792,0.00040860945497229984,0.0004817738948405422,0.00036129216024250664,8.693778988333754,3.6445746250724422
29,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.000528810247400906,0.0004093012281191449,0.0004806925933537164,0.00036091718348920374,8.722506515796416,3.818694890581735
30,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005274780561664179,0.0004103020636306979,0.00048087911998141887,0.0003601811339313512,8.773473595857915,3.791042194827593
31,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005267582959697799,0.00040775466659474964,0.0004814112653623943,0.00035648379760230896,8.35265013475396,3.7745776574699743
32,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005267778210192617,0.0004095370091314235,0.00048000179180751786,0.0003568170947861035,8.614020470404002,3.9882355143619312
33,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005271532356104745,0.0004089899665339178,0.00048231803817740414,0.00035694550235146897,8.559817168790742,3.6169961481038224
34,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.000527342051678987,0.00040937254075005435,0.0004801101489271752,0.00035679245482261515,8.628590550558133,3.9717034563847085
35,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005274701430418036,0.0004085042743453219,0.00048449993374194113,0.00036313528373477173,8.51137280400375,3.222788470503249
36,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005261110527408802,0.0004075955448693199,0.0004800202990176084,0.0003560624184878098,8.284855211337403,4.0078160779255345
37,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005275381505519172,0.00040930059017658347,0.00048057054586101035,0.00035358095597378184,8.63174234006731,4.021733239431392
38,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005253935110811343,0.0004079006319706267,0.00047536878021147447,0.00035914580862616587,8.281457393392037,4.686790290986878
39,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005324947372291833,0.0004092500531301746,0.00048468852803242697,0.00035988672482631747,8.999224336730299,3.179762076580228
40,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005264124705799984,0.0004114030442280107,0.00048423578944677164,0.0003630351483523552,8.864275919233123,3.2634994576713963
41,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005265218542495465,0.0004095502076538071,0.00048050602268953825,0.0003552580653284061,8.59873801931315,3.9595628893728527
42,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.000526737544885124,0.0004095786025647417,0.00048092015416643957,0.0003638557515153638,8.617390718292182,3.809338032836492
43,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005289484484763179,0.0004079590887960118,0.0004846502800869356,0.0003550433742439569,8.54031686090872,3.3237330166906776
44,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005268017659264938,0.0004093297800285749,0.00048032592362178743,0.00035717355851993903,8.585324877889974,3.927249062387276
45,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005273679618231061,0.000408751845708454,0.00048046616656285143,0.0003578274023863721,8.540121287507532,3.8895422043261805
46,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005262555145709224,0.000411196223777698,0.00048192487750600336,0.0003611352129096175,8.823591959904917,3.620026074706686
47,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005247000461317641,0.0004115944726434095,0.0004790597446779235,0.00036424379896616443,8.785923438171253,4.114686364138995
48,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005289287494501706,0.0004086439124511296,0.00048435675177515154,0.00036131337803035267,8.636825720836386,3.228247441103517
49,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005259555432623116,0.0004083285398550279,0.0004807116324607487,0.00035776048796524204,8.381653245272718,3.8517825133144106
50,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005270034760615424,0.00040937548778097974,0.00048109114232217955,0.00035999620122518974,8.605742242603684,3.7580845088515975
51,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005286041030153076,0.0004065498944423387,0.0004840318886266847,0.00035456197447008696,8.313483775866498,3.4419651656701094
52,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005273702047582293,0.0004077177359014237,0.0004779157098420331,0.0003567701898433529,8.390393361869487,4.321217355647162
53,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005259060890253685,0.0004114674373734567,0.00047994768587706846,0.0003565105240568924,8.841424074230451,4.0055231618342235
54,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005291350394972195,0.0004093931294933335,0.00048004412564224563,0.0003557500874036446,8.759463085268221,4.014423468860117
55,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005292390827448332,0.00040761354786394624,0.0004887300736898661,0.00035895829712585424,8.51296226725778,2.544833368415233
56,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005260576667431108,0.0004120577408709834,0.00048239753157328666,0.0003649830244637321,8.938558588706226,3.6006824011706393
57,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005252303910229537,0.00040890991408604654,0.00047799448798184046,0.00036398101585685715,8.419661675991792,4.28019365355713
58,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005257996991556935,0.0004084919817969748,0.0004762023925242241,0.00035698301055435075,8.395267177190693,4.589137145325684
59,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005278082971935866,0.0004057363604295747,0.0004835681357322474,0.0003612527540073967,8.137591106847369,3.3552554328533777
60,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005261615845657445,0.00041018889709717847,0.0004802642031833566,0.00035534143247115726,8.668826826387779,3.994361691470509
61,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005280471180895742,0.0004092296538731257,0.00048307350308359875,0.000359237442718329,8.65728501118058,3.4469175431537025
62,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005262431394670044,0.00040726188268793686,0.00048065298795683654,0.0003562929275075836,8.245222372513787,3.900479765544241
63,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.000526907449800165,0.0004098696345001968,0.00048203600337699343,0.0003576955267809758,8.671468164076584,3.6419226314644364
64,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005248149914435363,0.0004082858936764213,0.00048199249888209226,0.0003571409503496653,8.300712466270008,3.6630930486074798
65,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005306923607545992,0.00040802554480167975,0.0004875069826876267,0.0003590701910060936,8.683642865786535,2.73830001494969
66,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.000525811414679973,0.00040942242932568064,0.000481618224682408,0.00036278487420808396,8.53298138425584,3.680335243100638
67,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005261030435272236,0.00040871633071735616,0.0004810342641713787,0.00035531314765622953,8.448404294038763,3.874714328011824
68,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005248152127355006,0.0004089657666828476,0.0004769064590228603,0.00035404567743503205,8.401443653970206,4.569874903654907
69,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.000526080462054073,0.00040960766076307537,0.0004784881643720446,0.0003538941677999055,8.577895179926118,4.3296127863516745
70,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005268202564688141,0.00041063167778524753,0.0004806127525761055,0.00036223531363803387,8.7773751120429,3.8364631466888945
71,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005277064742850106,0.00040552847393548997,0.0004824269114321821,0.0003532432007713752,8.100285416138123,3.7550161690169337
72,0.5,2000.0,30.0,0.5,0.0005043786873599078,0.0003610282863529149,0.0005264234481302748,0.00040827124292088814,0.0004848377440801155,0.0003600928365417703,8.404868980631914,3.1539827670050613
