method,dataset,mean_loc_err_pct,p95_loc_err_pct,mean_Rx_err_pct,mean_cpu_ms,comm_infrastructure,training_data_required,snr_floor_for_5pct_loc_err
cuiweng2020,ieee34_emanuel,93.954,96.0,45.24430807545419,0.41265562574456754,two-ended (mu-PMU + virtual-DT VR),none (DT-bootstrapped),nan
cuiweng2020,ieee34_torres2022,93.476,96.0,86.62931420126208,0.41402896837098524,two-ended (mu-PMU + virtual-DT VR),none (DT-bootstrapped),nan
cuiweng2020,ieee34_wang2020,93.85,96.0,39.96011014012206,0.4132294552982785,two-ended (mu-PMU + virtual-DT VR),none (DT-bootstrapped),nan
iurinic2018,ieee34_emanuel,34.605,96.0,45.24430807545419,1.0765632076072507,single-ended (3rd-harmonic),none,nan
iurinic2018,ieee34_torres2022,36.63166666666667,96.0,85.73437326999603,1.0897828731685877,single-ended (3rd-harmonic),none,nan
iurinic2018,ieee34_wang2020,34.60666666666667,96.0,34.44430857421788,1.0875263621953006,single-ended (3rd-harmonic),none,nan
paramo2023,ieee34_emanuel,96.0,96.0,45.24430807545419,5.28849363841194,single-ended PMU,none,nan
paramo2023,ieee34_torres2022,96.0,96.0,86.62931420126208,5.317128561243105,single-ended PMU,none,nan
paramo2023,ieee34_wang2020,96.0,96.0,40.048569155932064,5.364035395614337,single-ended PMU,none,nan
proposed,ieee34_emanuel,92.91888507597623,99.98,35.01829890637175,70.62047424619475,single-ended (substation-only),none (training-free),nan
proposed,ieee34_torres2022,89.2954411654873,99.98,50.821172065564376,74.13365162152331,single-ended (substation-only),none (training-free),nan
proposed,ieee34_wang2020,87.76454332737643,99.98,29.76471741626996,74.19844055111753,single-ended (substation-only),none (training-free),nan
zeng2021,ieee34_emanuel,95.89240200321733,96.0,45.24430807545419,0.4908339705434628,two-ended damping-rate,calibration table from line params,nan
zeng2021,ieee34_torres2022,95.99412311132049,96.0,86.62931420126208,0.490459875727538,two-ended damping-rate,calibration table from line params,nan
zeng2021,ieee34_wang2020,95.25559608700746,96.0,40.01880610893528,0.49432671211737517,two-ended damping-rate,calibration table from line params,nan
