scenario_id,alpha_true,Rx_true,fault_type,arc_profile,alpha_est,Rx_est,loc_err_pct,Rx_err_pct,latency_ms_max,latency_ms_mean,n_cycles
1,0.1,200.0,SLG,wang2020_default,0.7271737707631423,280.26742773033834,627.1737707631422,40.13371386516917,69.60222194902599,63.688857620581985,5
2,0.1,500.0,SLG,wang2020_default,0.9999,655.1285568595509,899.9000000000001,31.025711371910187,65.09190308861434,51.62135218270123,5
3,0.1,1000.0,SLG,wang2020_default,0.9999,1151.395399326447,899.9000000000001,15.139539932644697,53.33214392885566,47.39614897407591,5
4,0.1,2000.0,SLG,wang2020_default,0.9999,1589.9062215889755,899.9000000000001,20.504688920551224,66.66686106473207,63.19079836830497,5
5,0.1,5000.0,SLG,wang2020_default,0.9999,2164.499476284181,899.9000000000001,56.71001047431638,78.21992295794189,68.08304782025516,5
6,0.3,200.0,SLG,wang2020_default,0.7271737707631423,280.26742773033834,142.39125692104744,40.13371386516917,85.70835995487869,76.57851940020919,5
7,0.3,500.0,SLG,wang2020_default,0.9999,655.1285568595509,233.29999999999998,31.025711371910187,60.459463857114315,49.87721177749336,5
8,0.3,1000.0,SLG,wang2020_default,0.9999,1151.395399326447,233.29999999999998,15.139539932644697,46.69643589295447,45.63997620716691,5
9,0.3,2000.0,SLG,wang2020_default,0.9999,1589.9062215889755,233.29999999999998,20.504688920551224,68.77962406724691,65.59354034252465,5
10,0.3,5000.0,SLG,wang2020_default,0.9999,2164.499476284181,233.29999999999998,56.71001047431638,71.94950804114342,64.98993104323745,5
11,0.5,200.0,SLG,wang2020_default,0.7271737707631423,280.26742773033834,45.43475415262846,40.13371386516917,74.12340585142374,63.70211620815098,5
12,0.5,500.0,SLG,wang2020_default,0.9999,655.1285568595509,99.98,31.025711371910187,70.76317700557411,52.01746802777052,5
13,0.5,1000.0,SLG,wang2020_default,0.9999,1151.395399326447,99.98,15.139539932644697,53.16513404250145,48.34162564948201,5
14,0.5,2000.0,SLG,wang2020_default,0.9999,1589.9062215889755,99.98,20.504688920551224,63.54065611958504,62.90448824875057,5
15,0.5,5000.0,SLG,wang2020_default,0.9999,2164.499476284181,99.98,56.71001047431638,72.81187199987471,66.09974061138928,5
16,0.7,200.0,SLG,wang2020_default,0.7271737707631423,280.26742773033834,3.8819672518774735,40.13371386516917,68.49642097949982,67.44178282096982,5
17,0.7,500.0,SLG,wang2020_default,0.9999,655.1285568595509,42.842857142857156,31.025711371910187,72.04165612347424,55.09025063365698,5
18,0.7,1000.0,SLG,wang2020_default,0.9999,1151.395399326447,42.842857142857156,15.139539932644697,58.127057971432805,54.90837530232966,5
19,0.7,2000.0,SLG,wang2020_default,0.9999,1589.9062215889755,42.842857142857156,20.504688920551224,73.00408813171089,65.90417576953769,5
20,0.7,5000.0,SLG,wang2020_default,0.9999,2164.499476284181,42.842857142857156,56.71001047431638,65.13761496171355,64.35491456650198,5
21,0.9,200.0,SLG,wang2020_default,0.7271737707631423,280.26742773033834,19.202914359650862,40.13371386516917,62.47882801108062,60.72218404151499,5
22,0.9,500.0,SLG,wang2020_default,0.9999,655.1285568595509,11.099999999999998,31.025711371910187,56.23258696869016,48.25698626227677,5
23,0.9,1000.0,SLG,wang2020_default,0.9999,1151.395399326447,11.099999999999998,15.139539932644697,46.53831687755883,44.194278586655855,5
24,0.9,2000.0,SLG,wang2020_default,0.9999,1589.9062215889755,11.099999999999998,20.504688920551224,67.97251687385142,63.62633095122874,5
25,0.9,5000.0,SLG,wang2020_default,0.9999,2164.499476284181,11.099999999999998,56.71001047431638,68.4369399677962,64.72739824093878,5
26,0.1,200.0,SLG,torres_tree,0.9999,284.26526171776464,899.9000000000001,42.13263085888232,76.88338402658701,67.34166038222611,5
27,0.3,500.0,SLG,torres_tree,0.9999,665.4747114232052,233.29999999999998,33.09494228464104,69.76711889728904,64.07059985212982,5
28,0.5,1000.0,SLG,torres_tree,0.9999,1180.7161157200962,99.98,18.071611572009623,80.13918716460466,59.671730408445,5
29,0.7,2000.0,SLG,torres_tree,0.9999,2023.5896477251576,42.842857142857156,1.1794823862578823,67.8908450063318,52.93120634742081,5
30,0.9,5000.0,SLG,torres_tree,0.9999,2174.400703937582,11.099999999999998,56.51198592124836,63.687931979075074,56.15343041718006,5
