id,label,mode,expected,decision,pass,kappa_n,omega_true,omega_hat,delta_omega,cusum_latency_ms,I_fund_hat,residual_norm
S1,"No crowbar, healthy",no_crowbar,RESTRAIN,RESTRAIN,True,inf,0.0,-114.99999999999999,114.99999999999999,,4.6575688444911756e-35,0.05495527912636115
S2,"No crowbar, Int 3PH",no_crowbar,TRIP,TRIP,True,inf,0.0,-114.99999999999999,114.99999999999999,,2.0531241011512975e-38,0.23510489253215022
S3,"No crowbar, Int SLG",no_crowbar,TRIP,TRIP,True,inf,0.0,-114.99999999999999,114.99999999999999,,8.828363087038553e-31,0.11641554748796663
S4,"No crowbar, External",external,RESTRAIN,RESTRAIN,True,4.294913459263371,0.0,114.99999999999999,,,0.0008772153617261758,0.00499141198068109
S5,"Crowbar s=6%, Int 3PH",crowbar,TRIP,TRIP,True,inf,18.84955592153876,44.28881651939426,25.4392605978555,,9.905848223784525e-38,0.2492608532276161
S6,"Crowbar s=6%, Int SLG",crowbar,TRIP,TRIP,True,inf,18.84955592153876,40.49884457249719,21.649288650958432,,5.611511741663545e-40,0.15884970099855825
S7,"Crowbar s=15%, Int 3PH",crowbar,TRIP,TRIP,True,inf,47.1238898038469,2.8379274153099074,44.285962388536994,,3.9114357986992e-38,0.23886229065368253
S8,"Crowbar s=15%, External",external,RESTRAIN,RESTRAIN,True,1327389.510851233,0.0,8.068669370431797,,,0.00018944353806625382,0.004978707711302853
S9,Crowbar s=3% (min slip),crowbar,TRIP,TRIP,True,inf,9.42477796076938,36.744760143483916,27.319982182714536,,9.76623487844121e-38,0.24689826788781638
S10,Crowbar s=35% (max slip),crowbar,TRIP,TRIP,True,inf,109.95574287564276,-97.52628738399915,207.4820302596419,,2.2466225579518498e-38,0.2428228311827396
