topology,fault_loc,line_kind,alpha,label,I_rest,I_thresh,87L_trip,87L_Ifund,87L_fint,correct
T1_NORM,bb1,none,0.0,,0.0,0.08,False,0.0,0.0,True
T1_NORM,bb2,none,0.0,,0.0,0.08,False,0.0,0.0,True
T1_NORM,bc_internal,none,0.0,,0.0,0.08,False,0.0,0.0,True
T1_NORM,load_external,none,0.0,,0.0,0.08,False,0.0,0.0,True
T1_NORM,line_external,3ph,1.0,,0.0,0.08,True,6.667,1.0,True
T1_NORM,line_external,ag,1.0,,0.0,0.08,True,8.6313,1.0,True
T1_NORM,line_external,ag,0.05,HIF,0.0,0.08,True,0.4316,1.0,True
T2_TIP,bb1,none,0.0,,0.0,0.08,False,0.0,0.0,True
T2_TIP,bb2,none,0.0,,0.0,0.08,False,0.0,0.0,True
T2_TIP,bc_internal,none,0.0,,0.0,0.08,False,0.0,0.0,True
T2_TIP,load_external,none,0.0,,0.0,0.08,False,0.0,0.0,True
T2_TIP,line_external,3ph,1.0,,0.0,0.08,True,6.667,1.0,True
T2_TIP,line_external,ag,1.0,,0.0,0.08,True,8.6313,1.0,True
T2_TIP,line_external,ag,0.05,HIF,0.0,0.08,True,0.4316,1.0,True
T3_POST,bb1,none,0.0,,0.0,0.08,False,0.0,0.0,True
T3_POST,bb2,none,0.0,,0.0,0.08,False,0.0,0.0,True
T3_POST,bc_internal,none,0.0,,0.0,0.08,False,0.0,0.0,True
T3_POST,load_external,none,0.0,,0.0,0.08,False,0.0,0.0,True
T3_POST,line_external,3ph,1.0,,0.0,0.08,True,6.667,1.0,True
T3_POST,line_external,ag,1.0,,0.0,0.08,True,8.6313,1.0,True
T3_POST,line_external,ag,0.05,HIF,0.0,0.08,True,0.4316,1.0,True
T4_SPLIT,bb1,none,0.0,,0.0,0.08,False,0.0,0.0,True
T4_SPLIT,bb2,none,0.0,,0.0,0.08,False,0.0,0.0,True
T4_SPLIT,bc_internal,none,0.0,,0.0,0.08,False,0.0,0.0,True
T4_SPLIT,load_external,none,0.0,,0.0,0.08,False,0.0,0.0,True
T4_SPLIT,line_external,3ph,1.0,,0.0,0.08,True,6.667,1.0,True
T4_SPLIT,line_external,ag,1.0,,0.0,0.08,True,8.6313,1.0,True
T4_SPLIT,line_external,ag,0.05,HIF,0.0,0.08,True,0.4316,1.0,True
