I_rest,config,I_thresh,margin
0.0,fixed,0.08,inf
0.0,k10,0.08,inf
0.0,k15,0.08,inf
0.0,k20,0.08,inf
0.25,fixed,0.08,64.0
0.25,k10,0.08,64.0
0.25,k15,0.08,64.0
0.25,k20,0.08,64.0
0.5,fixed,0.08,32.0
0.5,k10,0.08,32.0
0.5,k15,0.08,32.0
0.5,k20,0.1,40.0
0.75,fixed,0.08,21.33
0.75,k10,0.08,21.33
0.75,k15,0.1125,30.0
0.75,k20,0.15,40.0
1.0,fixed,0.08,16.0
1.0,k10,0.1,20.0
1.0,k15,0.15,30.0
1.0,k20,0.2,40.0
1.5,fixed,0.08,10.67
1.5,k10,0.15,20.0
1.5,k15,0.225,30.0
1.5,k20,0.3,40.0
2.0,fixed,0.08,8.0
2.0,k10,0.2,20.0
2.0,k15,0.3,30.0
2.0,k20,0.4,40.0
3.0,fixed,0.08,5.33
3.0,k10,0.3,20.0
3.0,k15,0.45,30.0
3.0,k20,0.6,40.0
4.0,fixed,0.08,4.0
4.0,k10,0.4,20.0
4.0,k15,0.6,30.0
4.0,k20,0.8,40.0
