scenario,stable_gt,delta_max_deg,delta_LB_deg,true_cuep_deg,conserv_gap_deg,blinder_std_deg,blinder_prop_deg,eta_at_cl,oos_time_s,std_trip,prop_trip,pass_std,pass_prop
S01,1,95.297,153.612,153.612,0.000,153.612,148.612,0.5478,,0,0,1,1
S02,0,14204.486,153.612,153.612,0.000,153.612,148.612,-6.6637,0.5855,1,1,1,1
S03,1,91.575,153.612,180.000,26.388,153.612,148.612,0.4560,,0,0,1,1
S04,0,354.257,153.612,180.000,26.388,153.612,148.612,-40.5473,0.6022,1,1,1,1
S05,0,13562.162,151.124,151.124,0.000,153.612,146.124,-1.6885,0.6401,1,1,1,1
S06,0,13562.162,151.124,151.124,0.000,153.612,146.124,-1.6885,0.6401,1,1,1,1
S07,0,12483.665,147.687,147.687,0.000,153.612,142.687,-0.4656,0.7803,1,1,1,1
S08,0,154.674,153.371,180.000,26.629,153.612,148.371,-2.0400,,1,1,1,1
S09,1,137.789,153.612,153.612,0.000,153.612,148.612,0.1125,,0,0,1,1
S10,0,12994.362,149.858,149.858,0.000,153.612,144.858,-7.1682,0.7642,1,1,1,1
