case_name,fault_type,fault_R_pu,source,I_sub_pu,tau_ac_s,tau_dc_s,I_ss_pu,confidence,lm_success,lm_cost,rmse_phaseA,fixed_trip_ms,adaptive_trip_ms,trip_speedup_ms,pickup_adapt,tms_adapt,V_pre_pu,I_peak_pu
tr59_3ph_R001,3PH,0.01,andes,0.5,0.005,0.01,4.68383,0.499608,True,76.9137,0.398227,1011,1011,0,1.2,0.05,1.02177,4.70138
tr59_3ph_R005,3PH,0.05,andes,0.5,0.0119355,0.01,3.90252,0.531913,True,79.4074,0.404631,1015.7,1015.7,0,1.2,0.05,1.02177,3.91359
tr59_3ph_R010,3PH,0.1,andes,0.5,0.0170788,0.01,3.10279,0.547644,True,52.1678,0.327967,,,,1.2,0.05,1.02177,3.09162
tr59_3ph_R050,3PH,0.5,andes,1.15291,0.00508597,0.0163989,0.740704,0.58217,True,1.80821,0.0615695,,,,1.2,0.05,1.02177,0.757924
tr59_slg_R001,SLG,0.01,andes,0.5,0.005,0.01,4.64142,0.50786,True,61.0703,0.479559,1011,1011,0,1.2,0.05,1.02177,4.70138
tr59_slg_R005,SLG,0.05,andes,0.5,0.005,0.01,3.86501,0.546723,True,27.4188,0.357472,1015.7,1015.7,0,1.2,0.05,1.02177,3.91359
tr59_slg_R015,SLG,0.15,andes,0.5,0.0298144,0.01,2.51827,0.542952,True,10.2598,0.210397,,,,1.2,0.05,1.02177,2.45446
tr59_slg_R050,SLG,0.5,andes,1.12816,0.00624836,0.0157623,0.747998,0.565604,True,2.51923,0.0653565,,,,1.2,0.05,1.02177,0.757924
tr59_ll_R001,LL,0.01,andes,0.5,0.005,0.01,4.64142,0.50786,True,61.0703,0.479559,1011,1011,0,1.2,0.05,1.02177,4.70138
tr59_ll_R005,LL,0.05,andes,0.5,0.005,0.01,3.86501,0.546723,True,27.4188,0.357472,1015.7,1015.7,0,1.2,0.05,1.02177,3.91359
