case_name,fault_type,fault_R_pu,confidence,fixed_trip_time,adaptive_trip_time,trip_time_delta,fixed_tripped,adaptive_tripped,speed_improvement,pickup_proposed,tms_proposed
hif_3ph_R050,3PH,0.5,0.8734,0.1053,0.1053,0.0,True,True,False,1.3697,0.05
hif_3ph_R075,3PH,0.75,0.8734,0.1053,0.1053,0.0,True,True,False,1.3697,0.05
hif_3ph_R100,3PH,1.0,0.8734,0.1053,0.1053,0.0,True,True,False,1.3697,0.05
hif_3ph_R125,3PH,1.25,0.8734,0.1053,0.1053,0.0,True,True,False,1.3697,0.05
hif_3ph_R150,3PH,1.5,0.8734,0.1053,0.1053,0.0,True,True,False,1.3697,0.05
hif_slg_R050,SLG,0.5,0.9236,0.1109,0.1109,0.0,True,True,False,1.1,0.05
hif_slg_R075,SLG,0.75,0.9236,0.1109,0.1109,0.0,True,True,False,1.1,0.05
hif_slg_R100,SLG,1.0,0.9236,0.1109,0.1109,0.0,True,True,False,1.1,0.05
hif_slg_R125,SLG,1.25,0.9236,0.1109,0.1109,0.0,True,True,False,1.1,0.05
hif_slg_R150,SLG,1.5,0.9236,0.1109,0.1109,0.0,True,True,False,1.1,0.05
