t,ia,ib,ic,va,vb,vc,i_rms
0,-1.1453571,2.0661259,-0.92076882,-0.93701289,0.77404779,0.1629651,2.0661259
0.0001,-1.1451554,2.0661966,-0.92104112,-0.93712381,0.77419758,0.16292623,2.0661612
0.0002,-1.1449538,2.0662672,-0.92131342,-0.93723473,0.77434737,0.16288736,2.0661966
0.0003,-1.1447522,2.0663379,-0.92158571,-0.93734565,0.77449716,0.16284849,2.0662319
0.0004,-1.1445505,2.0664085,-0.92185801,-0.93745656,0.77464695,0.16280961,2.0662672
0.0005,-1.1443489,2.0664792,-0.9221303,-0.93756748,0.77479674,0.16277074,2.0663025
0.0006,-1.1441472,2.0665498,-0.9224026,-0.9376784,0.77494653,0.16273187,2.0663379
0.0007,-1.1439456,2.0666205,-0.92267489,-0.93778932,0.77509632,0.162693,2.0663732
0.0008,-1.143744,2.0666911,-0.92294719,-0.93790023,0.7752461,0.16265413,2.0664085
0.0009,-1.1435423,2.0667618,-0.92321949,-0.93801115,0.77539589,0.16261526,2.0664439
0.001,-1.1433407,2.0668324,-0.92349178,-0.93812207,0.77554568,0.16257639,2.0664792
0.0011,-1.1431252,2.0668993,-0.92377403,-0.93823506,0.77570305,0.16253202,2.0665142
0.0012,-1.1429098,2.0669661,-0.92405627,-0.93834806,0.77586041,0.16248765,2.066549
0.0013,-1.1426944,2.0670329,-0.92433852,-0.93846106,0.77601777,0.16244328,2.0665835
0.0014,-1.142479,2.0670997,-0.92462076,-0.93857405,0.77617514,0.16239891,2.066618
0.0015,-1.1422635,2.0671665,-0.92490301,-0.93868705,0.7763325,0.16235455,2.0666522
0.0016,-1.1420481,2.0672334,-0.92518525,-0.93880005,0.77648987,0.16231018,2.0666864
0.0017,-1.1418327,2.0673002,-0.9254675,-0.93891304,0.77664723,0.16226581,2.0667205
0.0018,-1.1416172,2.067367,-0.92574974,-0.93902604,0.7768046,0.16222144,2.0667546
0.0019,-1.1414018,2.0674338,-0.92603199,-0.93913904,0.77696196,0.16217707,2.0667885
0.002,-1.1411864,2.0675006,-0.92631423,-0.93925203,0.77711933,0.16213271,2.0668224
0.0021,-1.1409546,2.0675644,-0.92660981,-0.93936847,0.77728614,0.16208233,2.0668562
0.0022,-1.1407229,2.0676282,-0.92690538,-0.93948491,0.77745295,0.16203196,2.0668897
0.0023,-1.1404911,2.0676921,-0.92720095,-0.93960135,0.77761976,0.16198158,2.0669232
0.0024,-1.1402593,2.0677559,-0.92749653,-0.93971779,0.77778658,0.16193121,2.0669565
0.0025,-1.1400276,2.0678197,-0.9277921,-0.93983422,0.77795339,0.16188083,2.0669897
0.0026,-1.1397958,2.0678835,-0.92808768,-0.93995066,0.7781202,0.16183046,2.0670228
0.0027,-1.1395641,2.0679473,-0.92838325,-0.9400671,0.77828702,0.16178008,2.0670558
0.0028,-1.1393323,2.0680111,-0.92867882,-0.94018354,0.77845383,0.16172971,2.0670888
0.0029,-1.1391005,2.0680749,-0.9289744,-0.94029998,0.77862064,0.16167933,2.0671217
0.003,-1.1388688,2.0681387,-0.92926997,-0.94041641,0.77878746,0.16162896,2.0671545
0.0031,-1.1386185,2.0682003,-0.92958175,-0.94053745,0.77896532,0.16157213,2.0671872
0.0032,-1.1383682,2.0682618,-0.92989354,-0.94065849,0.77914318,0.1615153,2.0672197
0.0033,-1.1381179,2.0683233,-0.93020532,-0.94077952,0.77932105,0.16145848,2.0672522
0.0034,-1.1378677,2.0683848,-0.9305171,-0.94090056,0.77949891,0.16140165,2.0672846
0.0035,-1.1376174,2.0684463,-0.93082888,-0.9410216,0.77967677,0.16134482,2.0673169
0.0036,-1.1373671,2.0685078,-0.93114066,-0.94114263,0.77985464,0.161288,2.067349
0.0037,-1.1371168,2.0685693,-0.93145245,-0.94126367,0.7800325,0.16123117,2.0673812
0.0038,-1.1368665,2.0686308,-0.93176423,-0.94138471,0.78021036,0.16117434,2.0674132
0.0039,-1.1366163,2.0686923,-0.93207601,-0.94150574,0.78038823,0.16111752,2.0674452
0.004,-1.136366,2.0687538,-0.93238779,-0.94162678,0.78056609,0.16106069,2.0674771
0.0041,-1.1360953,2.0688135,-0.9327182,-0.94175338,0.78075635,0.16099703,2.067509
0.0042,-1.1358247,2.0688733,-0.9330486,-0.94187998,0.78094662,0.16093336,2.0675407
0.0043,-1.135554,2.068933,-0.93337901,-0.94200658,0.78113688,0.1608697,2.0675724
0.0044,-1.1352834,2.0689928,-0.93370941,-0.94213318,0.78132714,0.16080604,2.0676039
0.0045,-1.1350127,2.0690526,-0.93403981,-0.94225978,0.7815174,0.16074238,2.0676354
0.0046,-1.1347421,2.0691123,-0.93437022,-0.94238638,0.78170766,0.16067871,2.0676669
0.0047,-1.1344715,2.0691721,-0.93470062,-0.94251298,0.78189792,0.16061505,2.0676982
0.0048,-1.1342008,2.0692318,-0.93503103,-0.94263958,0.78208819,0.16055139,2.0677295
0.0049,-1.1339302,2.0692916,-0.93536143,-0.94276617,0.78227845,0.16048773,2.0677608
0.005,-1.1336595,2.0693513,-0.93569183,-0.94289277,0.78246871,0.16042406,2.067792
0.0051,-1.133367,2.0694098,-0.93604283,-0.94302572,0.78267248,0.16035324,2.0678231
0.0052,-1.1330744,2.0694682,-0.93639383,-0.94315866,0.78287625,0.16028241,2.0678542
0.0053,-1.1327819,2.0695267,-0.93674483,-0.9432916,0.78308002,0.16021159,2.0678852
0.0054,-1.1324893,2.0695852,-0.93709583,-0.94342455,0.78328378,0.16014076,2.0679161
0.0055,-1.1321968,2.0696436,-0.93744683,-0.94355749,0.78348755,0.16006994,2.0679469
0.0056,-1.1319042,2.0697021,-0.93779783,-0.94369043,0.78369132,0.15999911,2.0679777
0.0057,-1.1316117,2.0697605,-0.93814882,-0.94382338,0.78389509,0.15992829,2.0680085
0.0058,-1.1313191,2.069819,-0.93849982,-0.94395632,0.78409886,0.15985746,2.0680392
0.0059,-1.1310266,2.0698774,-0.93885082,-0.94408926,0.78430263,0.15978664,2.0680698
0.006,-1.130734,2.0699359,-0.93920182,-0.94422221,0.7845064,0.15971581,2.0681004
0.0061,-1.1304184,2.0699933,-0.93957497,-0.94436211,0.78472455,0.15963755,2.068131
0.0062,-1.1301027,2.0700508,-0.93994812,-0.944502,0.78494271,0.15955929,2.0681615
0.0063,-1.129787,2.0701083,-0.94032127,-0.9446419,0.78516087,0.15948103,2.0681919
0.0064,-1.1294713,2.0701657,-0.94069442,-0.9447818,0.78537903,0.15940277,2.0682223
0.0065,-1.1291556,2.0702232,-0.94106757,-0.94492169,0.78559719,0.15932451,2.0682526
0.0066,-1.12884,2.0702807,-0.94144072,-0.94506159,0.78581535,0.15924624,2.0682829
0.0067,-1.1285243,2.0703382,-0.94181388,-0.94520149,0.78603351,0.15916798,2.0683131
0.0068,-1.1282086,2.0703956,-0.94218703,-0.94534139,0.78625166,0.15908972,2.0683433
0.0069,-1.1278929,2.0704531,-0.94256018,-0.94548128,0.78646982,0.15901146,2.0683735
0.007,-1.1275772,2.0705106,-0.94293333,-0.94562118,0.78668798,0.1589332,2.0684036
0.0071,-1.1272375,2.0705673,-0.9433298,-0.94576848,0.7869212,0.15884728,2.0684337
0.0072,-1.1268977,2.070624,-0.94372626,-0.94591578,0.78715442,0.15876136,2.0684637
0.0073,-1.1265579,2.0706807,-0.94412273,-0.94606307,0.78738764,0.15867544,2.0684937
0.0074,-1.1262182,2.0707374,-0.9445192,-0.94621037,0.78762086,0.15858952,2.0685236
0.0075,-1.1258784,2.0707941,-0.94491567,-0.94635767,0.78785408,0.1585036,2.0685535
0.0076,-1.1255386,2.0708508,-0.94531213,-0.94650497,0.78808729,0.15841767,2.0685833
0.0077,-1.1251989,2.0709075,-0.9457086,-0.94665227,0.78832051,0.15833175,2.0686132
0.0078,-1.1248591,2.0709642,-0.94610507,-0.94679956,0.78855373,0.15824583,2.0686429
0.0079,-1.1245193,2.0710209,-0.94650154,-0.94694686,0.78878695,0.15815991,2.0686727
0.008,-1.1241796,2.0710776,-0.946898,-0.94709416,0.78902017,0.15807399,2.0687024
0.0081,-1.123815,2.0711336,-0.94731858,-0.94724915,0.78926892,0.15798023,2.0687321
0.0082,-1.1234505,2.0711896,-0.94773915,-0.94740414,0.78951766,0.15788648,2.0687617
0.0083,-1.123086,2.0712457,-0.94815973,-0.94755913,0.78976641,0.15779272,2.0687913
0.0084,-1.1227214,2.0713017,-0.94858031,-0.94771412,0.79001516,0.15769896,2.0688208
0.0085,-1.1223569,2.0713578,-0.94900088,-0.94786911,0.7902639,0.15760521,2.0688503
0.0086,-1.1219923,2.0714138,-0.94942146,-0.9480241,0.79051265,0.15751145,2.0688798
0.0087,-1.1216278,2.0714698,-0.94984203,-0.94817909,0.7907614,0.15741769,2.0689093
0.0088,-1.1212633,2.0715259,-0.95026261,-0.94833408,0.79101015,0.15732394,2.0689387
0.0089,-1.1208987,2.0715819,-0.95068319,-0.94848907,0.79125889,0.15723018,2.0689681
0.009,-1.1205342,2.0716379,-0.95110376,-0.94864406,0.79150764,0.15713642,2.0689974
0.0091,-1.1201444,2.0716933,-0.95154888,-0.94880689,0.79177219,0.1570347,2.0690268
0.0092,-1.1197547,2.0717487,-0.95199401,-0.94896972,0.79203674,0.15693298,2.069056
0.0093,-1.119365,2.0718041,-0.95243913,-0.94913255,0.79230129,0.15683125,2.0690853
0.0094,-1.1189752,2.0718595,-0.95288425,-0.94929537,0.79256585,0.15672953,2.0691145
0.0095,-1.1185855,2.0719148,-0.95332937,-0.9494582,0.7928304,0.1566278,2.0691437
0.0096,-1.1181957,2.0719702,-0.95377449,-0.94962103,0.79309495,0.15652608,2.0691729
0.0097,-1.117806,2.0720256,-0.95421962,-0.94978386,0.7933595,0.15642436,2.069202
0.0098,-1.1174162,2.072081,-0.95466474,-0.94994669,0.79362405,0.15632263,2.0692311
0.0099,-1.1170265,2.0721364,-0.95510986,-0.95010951,0.7938886,0.15622091,2.0692602
0.01,-1.1166367,2.0721917,-0.95555498,-0.95027234,0.79415316,0.15611919,2.0692892
0.0101,-1.1162216,2.0722464,-0.95602475,-0.95044301,0.7944336,0.15600941,2.0693182
0.0102,-1.1158065,2.072301,-0.95649452,-0.95061368,0.79471405,0.15589963,2.0693472
0.0103,-1.1153913,2.0723556,-0.95696429,-0.95078435,0.7949945,0.15578985,2.0693762
0.0104,-1.1149762,2.0724102,-0.95743405,-0.95095502,0.79527495,0.15568007,2.0694051
0.0105,-1.1145611,2.0724649,-0.95790382,-0.95112569,0.7955554,0.15557029,2.069434
0.0106,-1.1141459,2.0725195,-0.95837359,-0.95129636,0.79583585,0.15546051,2.0694628
0.0107,-1.1137308,2.0725741,-0.95884336,-0.95146703,0.7961163,0.15535073,2.0694916
0.0108,-1.1133156,2.0726288,-0.95931313,-0.9516377,0.79639675,0.15524095,2.0695204
0.0109,-1.1129005,2.0726834,-0.9597829,-0.95180837,0.7966772,0.15513117,2.0695492
0.011,-1.1124854,2.072738,-0.96025266,-0.95197904,0.79695765,0.15502139,2.069578
0.0111,-1.1120449,2.0727917,-0.96074686,-0.95215742,0.79725392,0.1549035,2.0696067
0.0112,-1.1116044,2.0728454,-0.96124105,-0.95233581,0.79755019,0.15478562,2.0696354
0.0113,-1.1111639,2.0728991,-0.96173525,-0.95251419,0.79784646,0.15466773,2.069664
0.0114,-1.1107234,2.0729528,-0.96222944,-0.95269258,0.79814272,0.15454985,2.0696926
0.0115,-1.1102829,2.0730065,-0.96272364,-0.95287096,0.79843899,0.15443197,2.0697212
0.0116,-1.1098424,2.0730602,-0.96321783,-0.95304934,0.79873526,0.15431408,2.0697498
0.0117,-1.1094019,2.0731139,-0.96371203,-0.95322773,0.79903153,0.1541962,2.0697783
0.0118,-1.1089614,2.0731676,-0.96420622,-0.95340611,0.7993278,0.15407831,2.0698068
0.0119,-1.1085209,2.0732213,-0.96470042,-0.95358449,0.79962406,0.15396043,2.0698353
0.012,-1.1080804,2.073275,-0.96519461,-0.95376288,0.79992033,0.15384255,2.0698638
0.0121,-1.1076148,2.0733275,-0.96571271,-0.95394872,0.80023217,0.15371655,2.0698922
0.0122,-1.1071492,2.07338,-0.96623081,-0.95413456,0.80054402,0.15359055,2.0699206
0.0123,-1.1066836,2.0734325,-0.9667489,-0.95432041,0.80085586,0.15346455,2.0699489
0.0124,-1.106218,2.073485,-0.967267,-0.95450625,0.8011677,0.15333855,2.0699772
0.0125,-1.1057524,2.0735375,-0.9677851,-0.95469209,0.80147954,0.15321255,2.0700055
0.0126,-1.1052868,2.0735899,-0.96830319,-0.95487794,0.80179138,0.15308656,2.0700337
0.0127,-1.1048212,2.0736424,-0.96882129,-0.95506378,0.80210322,0.15296056,2.070062
0.0128,-1.1043556,2.0736949,-0.96933938,-0.95524962,0.80241506,0.15283456,2.0700901
0.0129,-1.10389,2.0737474,-0.96985748,-0.95543546,0.8027269,0.15270856,2.0701183
0.013,-1.1034244,2.0737999,-0.97037558,-0.95562131,0.80303874,0.15258256,2.0701464
0.0131,-1.1029341,2.0738509,-0.97091676,-0.95581423,0.80336576,0.15244848,2.0701745
0.0132,-1.1024439,2.0739018,-0.97145794,-0.95600716,0.80369277,0.15231439,2.0702026
0.0133,-1.1019536,2.0739527,-0.97199912,-0.95620009,0.80401978,0.15218031,2.0702306
0.0134,-1.1014634,2.0740037,-0.97254031,-0.95639301,0.80434679,0.15204622,2.0702586
0.0135,-1.1009731,2.0740546,-0.97308149,-0.95658594,0.8046738,0.15191214,2.0702865
0.0136,-1.1004829,2.0741056,-0.97362267,-0.95677887,0.80500082,0.15177805,2.0703144
0.0137,-1.0999927,2.0741565,-0.97416385,-0.95697179,0.80532783,0.15164397,2.0703423
0.0138,-1.0995024,2.0742075,-0.97470504,-0.95716472,0.80565484,0.15150988,2.0703701
0.0139,-1.0990122,2.0742584,-0.97524622,-0.95735765,0.80598185,0.1513758,2.0703979
0.014,-1.0985219,2.0743093,-0.9757874,-0.95755057,0.80630886,0.15124171,2.0704257
0.0141,-1.0980077,2.0743583,-0.97635058,-0.95775009,0.80665049,0.1510996,2.0704534
0.0142,-1.0974935,2.0744072,-0.97691375,-0.95794962,0.80699212,0.15095749,2.0704811
0.0143,-1.0969793,2.0744562,-0.97747693,-0.95814914,0.80733375,0.15081538,2.0705087
0.0144,-1.0964651,2.0745052,-0.97804011,-0.95834866,0.80767538,0.15067327,2.0705363
0.0145,-1.0959508,2.0745541,-0.97860329,-0.95854818,0.80801701,0.15053116,2.0705638
0.0146,-1.0954366,2.0746031,-0.97916646,-0.9587477,0.80835864,0.15038906,2.0705913
0.0147,-1.0949224,2.074652,-0.97972964,-0.95894722,0.80870027,0.15024695,2.0706188
0.0148,-1.0944082,2.074701,-0.98029282,-0.95914674,0.8090419,0.15010484,2.0706462
0.0149,-1.0938939,2.0747499,-0.98085599,-0.95934626,0.80938353,0.14996273,2.0706736
0.015,-1.0933797,2.0747989,-0.98141917,-0.95954578,0.80972516,0.14982062,2.070701
0.0151,-1.0928424,2.0748454,-0.98200299,-0.9597513,0.81008072,0.14967058,2.0707282
0.0152,-1.092305,2.0748918,-0.98258681,-0.95995682,0.81043627,0.14952054,2.0707555
0.0153,-1.0917677,2.0749383,-0.98317063,-0.96016233,0.81079183,0.14937051,2.0707827
0.0154,-1.0912303,2.0749848,-0.98375445,-0.96036785,0.81114738,0.14922047,2.0708098
0.0155,-1.090693,2.0750312,-0.98433827,-0.96057337,0.81150293,0.14907043,2.0708369
0.0156,-1.0901556,2.0750777,-0.98492209,-0.96077889,0.81185849,0.1489204,2.0708639
0.0157,-1.0896183,2.0751242,-0.98550591,-0.9609844,0.81221404,0.14877036,2.0708909
0.0158,-1.0890809,2.0751707,-0.98608973,-0.96118992,0.8125696,0.14862032,2.0709179
0.0159,-1.0885436,2.0752171,-0.98667355,-0.96139544,0.81292515,0.14847029,2.0709448
0.016,-1.0880062,2.0752636,-0.98725737,-0.96160096,0.81328071,0.14832025,2.0709716
0.0161,-1.0874468,2.075307,-0.98786023,-0.96181177,0.81364936,0.14816241,2.0709984
0.0162,-1.0868873,2.0753504,-0.98846309,-0.96202258,0.81401801,0.14800458,2.0710251
0.0163,-1.0863279,2.0753938,-0.98906595,-0.9622334,0.81438666,0.14784674,2.0710518
0.0164,-1.0857684,2.0754373,-0.98966882,-0.96244421,0.8147553,0.14768891,2.0710784
0.0165,-1.085209,2.0754807,-0.99027168,-0.96265503,0.81512395,0.14753107,2.071105
0.0166,-1.0846495,2.0755241,-0.99087454,-0.96286584,0.8154926,0.14737324,2.0711315
0.0167,-1.0840901,2.0755675,-0.9914774,-0.96307666,0.81586125,0.1472154,2.0711579
0.0168,-1.0835306,2.0756109,-0.99208027,-0.96328747,0.8162299,0.14705757,2.0711843
0.0169,-1.0829712,2.0756543,-0.99268313,-0.96349828,0.81659855,0.14689973,2.0712106
0.017,-1.0824117,2.0756977,-0.99328599,-0.9637091,0.8169672,0.1467419,2.0712369
0.0171,-1.0818314,2.0757374,-0.99390607,-0.96392442,0.81734799,0.14657642,2.071263
0.0172,-1.081251,2.0757772,-0.99452614,-0.96413973,0.81772878,0.14641095,2.0712892
0.0173,-1.0806707,2.0758169,-0.99514621,-0.96435505,0.81810957,0.14624548,2.0713152
0.0174,-1.0800903,2.0758566,-0.99576628,-0.96457036,0.81849036,0.14608,2.0713412
0.0175,-1.07951,2.0758963,-0.99638636,-0.96478568,0.81887115,0.14591453,2.0713671
0.0176,-1.0789296,2.075936,-0.99700643,-0.96500099,0.81925194,0.14574906,2.0713929
0.0177,-1.0783493,2.0759758,-0.9976265,-0.96521631,0.81963273,0.14558358,2.0714187
0.0178,-1.0777689,2.0760155,-0.99824658,-0.96543163,0.82001352,0.14541811,2.0714444
0.0179,-1.0771886,2.0760552,-0.99886665,-0.96564694,0.82039431,0.14525264,2.0714701
0.018,-1.0766082,2.0760949,-0.99948672,-0.96586226,0.8207751,0.14508716,2.0714957
0.0181,-1.0760083,2.0761303,-1.000122,-0.96608119,0.82116695,0.14491424,2.0715211
0.0182,-1.0754084,2.0761656,-1.0007572,-0.96630012,0.8215588,0.14474132,2.0715466
0.0183,-1.0748085,2.0762009,-1.0013924,-0.96651906,0.82195066,0.1445684,2.0715719
0.0184,-1.0742086,2.0762363,-1.0020277,-0.96673799,0.82234251,0.14439548,2.0715971
0.0185,-1.0736087,2.0762716,-1.0026629,-0.96695692,0.82273436,0.14422256,2.0716223
0.0186,-1.0730088,2.0763069,-1.0032981,-0.96717585,0.82312622,0.14404964,2.0716474
0.0187,-1.0724089,2.0763423,-1.0039334,-0.96739479,0.82351807,0.14387672,2.0716724
