trial_id,fault_loc,fault_type,delta_I,delta_dc,delta_tau,delta_phi,OC_conv,OC_sambp,OC_veto,87B_A_conv,87B_A_sambp,87B_A_veto,87L_conv,87L_sambp,87L_veto,87B_B_conv,87B_B_sambp,87B_B_veto,87T_conv,87T_sambp,87T_veto
0,bus_A,3ph,-0.12843,0.08395,-0.01309,-0.20342,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
1,bus_A,3ph,-0.05803,0.17431,0.16206,-0.50681,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
2,bus_A,3ph,0.06111,-0.12102,0.18678,0.6595,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
3,bus_A,3ph,0.05435,0.15164,0.00606,0.51192,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
4,bus_A,3ph,-0.02065,-0.09671,-0.08884,-0.42988,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
5,bus_A,3ph,0.01033,-0.04145,0.06527,-0.76523,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
6,bus_A,3ph,-0.02092,-0.08089,-0.12184,0.14901,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
7,bus_A,3ph,-0.02587,-0.12001,-0.11623,0.58846,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
8,bus_A,3ph,0.11898,0.06403,-0.06196,0.70186,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
9,bus_A,3ph,0.02535,-0.04034,0.16018,-0.28378,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
10,bus_A,3ph,0.0784,-0.11171,-0.09538,0.31548,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
11,bus_A,3ph,-0.10884,-0.00413,0.03201,-0.48866,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
12,bus_A,3ph,0.0925,0.02909,0.0486,-0.20084,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
13,bus_A,3ph,-0.03192,-0.0031,-0.01201,0.27589,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
14,bus_A,3ph,0.03087,-0.05024,-0.19928,0.46186,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
15,bus_A,3ph,0.00775,-0.10407,-2e-05,-0.63861,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
16,bus_A,3ph,0.16188,0.29384,-0.17651,-0.22269,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
17,bus_A,3ph,0.09203,-0.11146,0.02682,-0.13105,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
18,bus_A,3ph,0.10968,0.27508,0.15536,0.18996,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
19,bus_A,3ph,-0.13589,0.26824,-0.19055,-0.31776,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
20,bus_A,3ph,-0.08735,0.1031,-0.00505,-0.63949,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
21,bus_A,3ph,-0.19486,0.06259,-0.00341,0.15925,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
22,bus_A,3ph,0.02561,0.23428,0.16736,-0.48968,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
23,bus_A,3ph,0.17685,0.17264,0.05561,0.25071,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
24,bus_A,3ph,0.01842,0.25036,-0.10669,0.15601,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
25,bus_A,3ph,0.1257,-0.21914,0.0462,-0.15263,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
26,bus_A,3ph,0.10641,-0.25937,0.04273,0.5609,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
27,bus_A,3ph,0.05134,-0.1072,0.06232,-0.25423,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
28,bus_A,3ph,0.06744,-0.22299,-0.088,-0.734,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
29,bus_A,3ph,-0.16644,0.03286,-0.10732,0.02526,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
30,bus_A,3ph,0.06383,0.22871,-0.05798,-0.28482,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
31,bus_A,3ph,-0.07453,-0.22929,0.06527,0.50211,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
32,bus_A,3ph,-0.0108,0.03498,0.18339,0.31246,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
33,bus_A,3ph,0.09801,0.2337,-0.11368,0.23588,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
34,bus_A,3ph,0.08696,0.20534,-0.06249,0.29656,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
35,bus_A,3ph,0.04176,-0.05438,-0.15933,-0.23083,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
36,bus_A,3ph,0.18539,-0.17009,-0.15454,-0.20785,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
37,bus_A,3ph,-0.15961,-0.13968,0.16578,-0.28466,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
38,bus_A,3ph,0.03436,-0.15675,0.06719,-0.58488,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
39,bus_A,3ph,0.11592,-0.04623,-0.12654,0.40566,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
40,bus_A,3ph,0.02171,-0.03711,-0.10375,0.44197,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
41,bus_A,3ph,-0.05389,-0.27415,0.18615,-0.73754,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
42,bus_A,3ph,-0.15181,-0.02051,-0.11686,-0.25897,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
43,bus_A,3ph,0.02703,0.27471,0.17452,-0.66932,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
44,bus_A,3ph,0.14133,-0.19931,0.12457,-0.3199,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
45,bus_A,3ph,0.08713,0.13128,0.14022,0.75339,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
46,bus_A,3ph,-0.08981,0.07699,0.0957,-0.66032,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
47,bus_A,3ph,0.06518,-0.10709,-0.13541,0.07771,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
