scenario,primary,secondary,n_trials,P_D,P_XFA,xfa_count,target_met
87T_int_fault,87T,87B,1000,1.0000,0.0000,0,1
87T_int_fault,87T,87L,1000,1.0000,0.0000,0,1
87L_int_fault,87L,87T,1000,1.0000,0.0000,0,1
87L_int_fault,87L,87B,1000,1.0000,0.0000,0,1
87B_int_fault,87B,87T,1000,1.0000,0.0000,0,1
87B_int_fault,87B,87L,1000,1.0000,0.0000,0,1
87G_gen_fault,87G,87B,1000,1.0000,0.0000,0,1
87G_gen_fault,87G,87L,1000,1.0000,0.0000,0,1
87G_gen_fault,87G,87T,1000,1.0000,0.0000,0,1
OOS_relay78,21,87T,1000,1.0000,0.0000,0,1
OOS_relay78,21,87B,1000,1.0000,0.0000,0,1
OOS_relay78,21,87L,1000,1.0000,0.0000,0,1
CT_sat_87T,87T_VETO,87B,1000,0.0820,0.0000,0,1
CT_sat_87T,87T_VETO,87L,1000,0.0820,0.0000,0,1
channel_loss_87L,87L_VETO,87T,1000,0.0000,0.0000,0,1
channel_loss_87L,87L_VETO,87B,1000,0.0000,0.0000,0,1
SLG_CT_sat_87T,87T_VETO,87B,1000,0.0840,0.0000,0,1
SLG_CT_sat_87T,87T_VETO,87L,1000,0.0840,0.0000,0,1
