scenario,expected,got,correct,I_51G,trip_87G,I_op_87G,trip_87B,I_op_87B,I_rst_87B,kn_87B,trip_87L,I_op_87L,kn_87L,I2_diff,I0_diff,TDCS_ind,trip_87T,I_op_87T,kn_87T,zone_21,Zm_21_pu
normal_load,none,none,1,0.0000,0,0.0000,0,0.0382,0.0191,4.44,0,0.0200,2.93,0.0000,0.0000,0.00,0,0.0389,4.39,0,14.14214
bus39_3ph,87B,87B,1,0.0000,0,0.0000,1,48.3667,24.1833,4.44,0,0.0200,2.93,0.0000,0.0000,0.00,0,0.0389,4.39,0,0.07275
bus39_ag,87B,87B,1,0.0000,0,0.0000,1,16.8835,8.4418,4.44,0,0.0200,2.93,0.0000,0.0000,0.00,0,0.0389,4.39,0,0.07275
gen_stator_3ph,"51G,87G","51G,87G",1,32.4634,1,32.4634,0,0.0240,0.0120,4.44,0,0.0200,2.93,0.0000,0.0000,0.00,0,0.0389,4.39,0,0.07275
line9_39_3ph,"87L,TDCS","87L,TDCS",1,0.0000,0,0.0000,0,0.0463,39.6404,4.44,1,78.8463,2.93,0.0000,0.0000,2463.07,0,0.0389,4.39,0,0.09093
line9_39_ag,"87L,87LN,87LN0,TDCS","87L,87LN,87LN0,TDCS",1,0.0000,0,0.0000,0,1.1907,11.1844,4.44,1,23.3471,2.93,4.8800,4.8800,1494.18,0,0.0389,4.39,0,0.09093
line9_39_ibr,TDCS,TDCS,1,0.0000,0,0.0000,0,0.0382,0.0191,4.44,0,0.2525,2.93,0.0000,0.0000,8.08,0,0.0389,4.39,0,7.07107
bus9_ext_3ph,none,none,1,0.0000,0,0.0000,0,0.0000,18.5185,4.44,0,0.0200,2.93,0.0000,0.0000,0.00,0,0.0389,4.39,2,0.03637
line8_9_z1,21,21,1,0.0000,0,0.0000,0,0.0382,0.0191,4.44,0,0.0200,2.93,0.0000,0.0000,0.00,0,0.0389,4.39,1,0.01455
line8_9_ext,none,none,1,0.0000,0,0.0000,0,0.0382,0.0191,4.44,0,0.0200,2.93,0.0000,0.0000,0.00,0,0.0389,4.39,0,0.04728
trafo_int_3ph,87T,87T,1,0.0000,0,0.0000,0,0.0382,0.0191,4.44,0,0.0200,2.93,0.0000,0.0000,0.00,1,41.1911,4.41,0,0.10912
trafo_ext_3ph,none,none,1,0.0000,0,0.0000,0,0.0382,0.0191,4.44,0,0.0200,2.93,0.0000,0.0000,0.00,0,0.0000,4.41,0,0.10912
