decision,cycle,t_ms
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,2,40.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,2,40.0
CTALARM,1,20.0
CTALARM,2,40.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,2,40.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,2,40.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
CTALARM,1,20.0
