fault_type,Rf_ohm,inception_deg,loading_pu,M,Iss,fHIF,Keff,TMS_star,regime,t_fixed_s,t_adapt_s,delta_t_pct,gamma,accepted,tripped_fixed,tripped_adapt
3PH,10,0,0.8,2.7877,0.5121,0.9986,0.12,0.0995,Inst.,0.02,0.02,0.0,0.9472,1,1,1
3PH,10,0,1.0,2.7877,0.5121,0.9986,0.12,0.0995,Inst.,0.02,0.02,0.0,0.9715,1,1,1
3PH,10,90,0.8,2.7877,0.5121,0.9986,0.12,0.0995,Inst.,0.02,0.02,0.0,0.9046,1,1,1
3PH,10,90,1.0,2.7877,0.5121,0.9986,0.12,0.0995,Inst.,0.02,0.02,0.0,0.9278,1,1,1
3PH,10,180,0.8,2.7877,0.5121,0.9986,0.12,0.0995,Inst.,0.02,0.02,0.0,0.9397,1,1,1
3PH,10,180,1.0,2.7877,0.5121,0.9986,0.12,0.0995,Inst.,0.02,0.02,0.0,0.9637,1,1,1
SLG,10,0,0.8,1.6715,0.5121,0.9986,0.12,0.0995,Inv-time,2.412,2.0,17.1,0.9109,1,1,1
SLG,10,0,1.0,1.6715,0.5121,0.9986,0.12,0.0995,Inv-time,2.412,2.0,17.1,0.9343,1,1,1
SLG,10,90,0.8,1.6715,0.5121,0.9986,0.12,0.0995,Inv-time,2.412,2.0,17.1,0.8699,1,1,1
SLG,10,90,1.0,1.6715,0.5121,0.9986,0.12,0.0995,Inv-time,2.412,2.0,17.1,0.8922,1,1,1
SLG,10,180,0.8,1.6715,0.5121,0.9986,0.12,0.0995,Inv-time,2.412,2.0,17.1,0.9036,1,1,1
SLG,10,180,1.0,1.6715,0.5121,0.9986,0.12,0.0995,Inv-time,2.412,2.0,17.1,0.9268,1,1,1
3PH,20,0,0.8,2.5068,0.5105,0.9955,0.12,0.0992,Inst.,0.02,0.02,0.0,0.9243,1,1,1
3PH,20,0,1.0,2.5068,0.5105,0.9955,0.12,0.0992,Inst.,0.02,0.02,0.0,0.948,1,1,1
3PH,20,90,0.8,2.5068,0.5105,0.9955,0.12,0.0992,Inst.,0.02,0.02,0.0,0.8827,1,1,1
3PH,20,90,1.0,2.5068,0.5105,0.9955,0.12,0.0992,Inst.,0.02,0.02,0.0,0.9053,1,1,1
3PH,20,180,0.8,2.5068,0.5105,0.9955,0.12,0.0992,Inst.,0.02,0.02,0.0,0.9169,1,1,1
3PH,20,180,1.0,2.5068,0.5105,0.9955,0.12,0.0992,Inst.,0.02,0.02,0.0,0.9404,1,1,1
SLG,20,0,0.8,1.5031,0.5105,0.9955,0.12,0.0992,Inv-time,3.22,2.661,17.4,0.8831,1,1,1
SLG,20,0,1.0,1.5031,0.5105,0.9955,0.12,0.0992,Inv-time,3.22,2.661,17.4,0.9057,1,1,1
SLG,20,90,0.8,1.5031,0.5105,0.9955,0.12,0.0992,Inv-time,3.22,2.661,17.4,0.8433,1,1,1
SLG,20,90,1.0,1.5031,0.5105,0.9955,0.12,0.0992,Inv-time,3.22,2.661,17.4,0.8649,1,1,1
SLG,20,180,0.8,1.5031,0.5105,0.9955,0.12,0.0992,Inv-time,3.22,2.661,17.4,0.876,1,1,1
SLG,20,180,1.0,1.5031,0.5105,0.9955,0.12,0.0992,Inv-time,3.22,2.661,17.4,0.8985,1,1,1
3PH,30,0,0.8,2.1975,0.508,0.9907,0.12,0.0987,Inst.,0.02,0.02,0.0,0.9047,1,1,1
3PH,30,0,1.0,2.1975,0.508,0.9907,0.12,0.0987,Inst.,0.02,0.02,0.0,0.9279,1,1,1
3PH,30,90,0.8,2.1975,0.508,0.9907,0.12,0.0987,Inst.,0.02,0.02,0.0,0.864,1,1,1
3PH,30,90,1.0,2.1975,0.508,0.9907,0.12,0.0987,Inst.,0.02,0.02,0.0,0.8862,1,1,1
3PH,30,180,0.8,2.1975,0.508,0.9907,0.12,0.0987,Inst.,0.02,0.02,0.0,0.8975,1,1,1
3PH,30,180,1.0,2.1975,0.508,0.9907,0.12,0.0987,Inst.,0.02,0.02,0.0,0.9205,1,1,1
SLG,30,0,0.8,1.3177,0.508,0.9907,0.12,0.0987,Inv-time,5.1,4.193,17.8,0.8598,1,1,1
SLG,30,0,1.0,1.3177,0.508,0.9907,0.12,0.0987,Inv-time,5.1,4.193,17.8,0.8818,1,1,1
SLG,30,90,0.8,1.3177,0.508,0.9907,0.12,0.0987,Inv-time,5.1,4.193,17.8,0.8211,1,1,1
SLG,30,90,1.0,1.3177,0.508,0.9907,0.12,0.0987,Inv-time,5.1,4.193,17.8,0.8421,1,1,1
SLG,30,180,0.8,1.3177,0.508,0.9907,0.12,0.0987,Inv-time,5.1,4.193,17.8,0.8529,1,1,1
SLG,30,180,1.0,1.3177,0.508,0.9907,0.12,0.0987,Inv-time,5.1,4.193,17.8,0.8748,1,1,1
3PH,46,0,0.8,1.7673,0.5024,0.9796,0.12,0.0976,Inv-time,2.111,1.717,18.7,0.8783,1,1,1
3PH,46,0,1.0,1.7673,0.5024,0.9796,0.12,0.0976,Inv-time,2.111,1.717,18.7,0.9008,1,1,1
3PH,46,90,0.8,1.7673,0.5024,0.9796,0.12,0.0976,Inv-time,2.111,1.717,18.7,0.8388,1,1,1
3PH,46,90,1.0,1.7673,0.5024,0.9796,0.12,0.0976,Inv-time,2.111,1.717,18.7,0.8603,1,1,1
3PH,46,180,0.8,1.7673,0.5024,0.9796,0.12,0.0976,Inv-time,2.111,1.717,18.7,0.8713,1,1,1
3PH,46,180,1.0,1.7673,0.5024,0.9796,0.12,0.0976,Inv-time,2.111,1.717,18.7,0.8936,1,1,1
SLG,46,0,0.8,1.0597,0.5024,0.9796,0.12,0.0976,Inv-time,27.127,22.056,18.7,0.8285,1,1,1
SLG,46,0,1.0,1.0597,0.5024,0.9796,0.12,0.0976,Inv-time,27.127,22.056,18.7,0.8498,1,1,1
SLG,46,90,0.8,1.0597,0.5024,0.9796,0.12,0.0976,Inv-time,27.127,22.056,18.7,0.7912,0,1,1
SLG,46,90,1.0,1.0597,0.5024,0.9796,0.12,0.0976,Inv-time,27.127,22.056,18.7,0.8115,1,1,1
SLG,46,180,0.8,1.0597,0.5024,0.9796,0.12,0.0976,Inv-time,27.127,22.056,18.7,0.8219,1,1,1
SLG,46,180,1.0,1.0597,0.5024,0.9796,0.12,0.0976,Inv-time,27.127,22.056,18.7,0.843,1,1,1
3PH,60,0,0.8,1.4812,0.4958,0.9667,0.12,0.0963,Inv-time,3.367,2.701,19.8,0.8584,1,1,1
3PH,60,0,1.0,1.4812,0.4958,0.9667,0.12,0.0963,Inv-time,3.367,2.701,19.8,0.8804,1,1,1
3PH,60,90,0.8,1.4812,0.4958,0.9667,0.12,0.0963,Inv-time,3.367,2.701,19.8,0.8198,1,1,1
3PH,60,90,1.0,1.4812,0.4958,0.9667,0.12,0.0963,Inv-time,3.367,2.701,19.8,0.8408,1,1,1
3PH,60,180,0.8,1.4812,0.4958,0.9667,0.12,0.0963,Inv-time,3.367,2.701,19.8,0.8515,1,1,1
3PH,60,180,1.0,1.4812,0.4958,0.9667,0.12,0.0963,Inv-time,3.367,2.701,19.8,0.8734,1,1,1
SLG,60,0,0.8,0.8881,0.4958,0.9667,0.12,0.0963,No-trip,9999,9999,nan,0.8051,1,0,0
SLG,60,0,1.0,0.8881,0.4958,0.9667,0.12,0.0963,No-trip,9999,9999,nan,0.8257,1,0,0
SLG,60,90,0.8,0.8881,0.4958,0.9667,0.12,0.0963,No-trip,9999,9999,nan,0.7689,0,0,0
SLG,60,90,1.0,0.8881,0.4958,0.9667,0.12,0.0963,No-trip,9999,9999,nan,0.7886,0,0,0
SLG,60,180,0.8,0.8881,0.4958,0.9667,0.12,0.0963,No-trip,9999,9999,nan,0.7986,0,0,0
SLG,60,180,1.0,0.8881,0.4958,0.9667,0.12,0.0963,No-trip,9999,9999,nan,0.8191,1,0,0
3PH,72,0,0.8,1.2917,0.4891,0.9537,0.12,0.095,Inv-time,5.554,4.396,20.8,0.843,1,1,1
3PH,72,0,1.0,1.2917,0.4891,0.9537,0.12,0.095,Inv-time,5.554,4.396,20.8,0.8647,1,1,1
