topology,fault_loc,fault_type,label,87B_decision,87B_selective,87L_trip,87L_Ifund,87L_fint,87L_correct,coordinated
T1_NORM,bb1,3ph,,BB1,True,False,0.0,0.0,True,True
T1_NORM,bb2,3ph,,BB2,True,False,0.0,0.0,True,True
T1_NORM,bc_internal,3ph,,BC,True,False,0.0,0.0,True,True
T1_NORM,load_external,3ph,,no_trip,True,False,0.0,0.0,True,True
T1_NORM,line_external,3ph,,no_trip,True,True,6.6667,1.0,True,True
T1_NORM,line_external,ag,,no_trip,True,True,8.6307,1.0,True,True
T1_NORM,line_external,ag,HIF,no_trip,True,True,0.4315,1.0,True,True
T2_TIP,bb1,3ph,,BB1,True,False,0.0,0.0,True,True
T2_TIP,bb2,3ph,,BB2,True,False,0.0,0.0,True,True
T2_TIP,bc_internal,3ph,,BC,True,False,0.0,0.0,True,True
T2_TIP,load_external,3ph,,no_trip,True,False,0.0,0.0,True,True
T2_TIP,line_external,3ph,,no_trip,True,True,6.6667,1.0,True,True
T2_TIP,line_external,ag,,no_trip,True,True,8.6307,1.0,True,True
T2_TIP,line_external,ag,HIF,no_trip,True,True,0.4315,1.0,True,True
T3_POST,bb1,3ph,,BB1,True,False,0.0,0.0,True,True
T3_POST,bb2,3ph,,BB2,True,False,0.0,0.0,True,True
T3_POST,bc_internal,3ph,,BC,True,False,0.0,0.0,True,True
T3_POST,load_external,3ph,,no_trip,True,False,0.0,0.0,True,True
T3_POST,line_external,3ph,,no_trip,True,True,6.6667,1.0,True,True
T3_POST,line_external,ag,,no_trip,True,True,8.6307,1.0,True,True
T3_POST,line_external,ag,HIF,no_trip,True,True,0.4315,1.0,True,True
T4_SPLIT,bb1,3ph,,BB1,True,False,0.0,0.0,True,True
T4_SPLIT,bb2,3ph,,no_trip,True,False,0.0,0.0,True,True
T4_SPLIT,bc_internal,3ph,,no_trip,True,False,0.0,0.0,True,True
T4_SPLIT,load_external,3ph,,no_trip,True,False,0.0,0.0,True,True
T4_SPLIT,line_external,3ph,,no_trip,True,True,6.6667,1.0,True,True
T4_SPLIT,line_external,ag,,no_trip,True,True,8.6307,1.0,True,True
T4_SPLIT,line_external,ag,HIF,no_trip,True,True,0.4315,1.0,True,True
