state,fault_loc,fault_type,I_diff_Z1,I_diff_Z2,I_diff_CK,trip_Z1,trip_Z2,trip_CK,expected,trip_decision,correct
S0_NORM,bb1,3ph,10.0,0.0,10.0,True,False,True,BB1,BB1,True
S0_NORM,bb1,ag,6.0,0.0,6.0,True,False,True,BB1,BB1,True
S0_NORM,bb2,3ph,0.0,4.5455,0.0,False,True,False,BB2,BB2,True
S0_NORM,bb2,ag,0.0,2.7273,0.0,False,True,False,BB2,BB2,True
S0_NORM,bc_internal,3ph,9.5238,0.0,9.5238,True,False,True,BC,BC,True
S0_NORM,bc_internal,ag,5.7143,0.0,5.7143,True,False,True,BC,BC,True
S0_NORM,load_external,3ph,0.0,0.0,0.0,False,False,False,no_trip,no_trip,True
S0_NORM,load_external,ag,0.0,0.0,0.0,False,False,False,no_trip,no_trip,True
S0_NORM,line_external,3ph,0.0,0.0,0.0,False,False,False,no_trip,no_trip,True
S0_NORM,line_external,ag,0.0,0.0,0.0,False,False,False,no_trip,no_trip,True
S1_STALE,bb1,3ph,10.0,0.0,10.0,True,False,True,BB1,BB1,True
S1_STALE,bb1,ag,6.0,0.0,6.0,True,False,True,BB1,BB1,True
S1_STALE,bb2,3ph,0.0,4.5455,0.0,False,True,False,BB2,BB2,True
S1_STALE,bb2,ag,0.0,2.7273,0.0,False,True,False,BB2,BB2,True
S1_STALE,bc_internal,3ph,9.5238,0.0,9.5238,True,False,True,BC,BC,True
S1_STALE,bc_internal,ag,5.7143,0.0,5.7143,True,False,True,BC,BC,True
S1_STALE,load_external,3ph,0.0,0.0,0.0,False,False,False,no_trip,no_trip,True
S1_STALE,load_external,ag,0.0,0.0,0.0,False,False,False,no_trip,no_trip,True
S1_STALE,line_external,3ph,0.0,0.0,0.0,False,False,False,no_trip,no_trip,True
S1_STALE,line_external,ag,0.0,0.0,0.0,False,False,False,no_trip,no_trip,True
S1a_GEN_OK,bb1,3ph,5.0,0.0,5.0,True,False,True,BB1,BB1,True
S1a_GEN_OK,bb1,ag,3.0,0.0,3.0,True,False,True,BB1,BB1,True
S1a_GEN_OK,bb2,3ph,0.0,6.8182,0.0,False,True,False,BB2,BB2,True
S1a_GEN_OK,bb2,ag,0.0,4.0909,0.0,False,True,False,BB2,BB2,True
S1a_GEN_OK,bc_internal,3ph,4.7619,0.0,9.5238,True,False,True,BC,BC,True
S1a_GEN_OK,bc_internal,ag,2.8571,0.0,5.7143,True,False,True,BC,BC,True
S1a_GEN_OK,load_external,3ph,0.0,0.0,0.0,False,False,False,no_trip,no_trip,True
S1a_GEN_OK,load_external,ag,0.0,0.0,0.0,False,False,False,no_trip,no_trip,True
S1a_GEN_OK,line_external,3ph,0.0,0.0,0.0,False,False,False,no_trip,no_trip,True
S1a_GEN_OK,line_external,ag,0.0,0.0,0.0,False,False,False,no_trip,no_trip,True
S1b_LINE_OK,bb1,3ph,10.0,0.0,10.0,True,False,True,BB1,BB1,True
S1b_LINE_OK,bb1,ag,6.0,0.0,6.0,True,False,True,BB1,BB1,True
S1b_LINE_OK,bb2,3ph,0.0,4.5455,0.0,False,True,False,BB2,BB2,True
S1b_LINE_OK,bb2,ag,0.0,2.7273,0.0,False,True,False,BB2,BB2,True
S1b_LINE_OK,bc_internal,3ph,9.5238,0.0,9.5238,True,False,True,BC,BC,True
S1b_LINE_OK,bc_internal,ag,5.7143,0.0,5.7143,True,False,True,BC,BC,True
S1b_LINE_OK,load_external,3ph,0.0,0.0,0.0,False,False,False,no_trip,no_trip,True
S1b_LINE_OK,load_external,ag,0.0,0.0,0.0,False,False,False,no_trip,no_trip,True
S1b_LINE_OK,line_external,3ph,0.0,0.0,0.0,False,False,False,no_trip,no_trip,True
S1b_LINE_OK,line_external,ag,0.0,0.0,0.0,False,False,False,no_trip,no_trip,True
S2_BOTH_OK,bb1,3ph,9.0909,0.0,9.0909,True,False,True,BB1,BB1,True
S2_BOTH_OK,bb1,ag,5.4545,0.0,5.4545,True,False,True,BB1,BB1,True
S2_BOTH_OK,bb2,3ph,0.0,9.0909,0.0,False,True,False,BB2,BB2,True
S2_BOTH_OK,bb2,ag,0.0,5.4545,0.0,False,True,False,BB2,BB2,True
S2_BOTH_OK,bc_internal,3ph,0.0,0.0,9.5238,False,False,True,BC,BC,True
S2_BOTH_OK,bc_internal,ag,0.0,0.0,5.7143,False,False,True,BC,BC,True
S2_BOTH_OK,load_external,3ph,0.0,0.0,0.0,False,False,False,no_trip,no_trip,True
S2_BOTH_OK,load_external,ag,0.0,0.0,0.0,False,False,False,no_trip,no_trip,True
S2_BOTH_OK,line_external,3ph,0.0,0.0,0.0,False,False,False,no_trip,no_trip,True
S2_BOTH_OK,line_external,ag,0.0,0.0,0.0,False,False,False,no_trip,no_trip,True
