topology,fault_loc,fault_type,I_fault_pu,Z1_trip,Z2_trip,CK_trip,BB1_trip,BB2_trip,BC_trip,no_trip,selective,Z1_kn,Z1_fint,Z2_kn,Z2_fint,CK_kn,CK_fint
T1_NORM,bb1,3ph,10.000,1,0,1,1,0,0,0,1,4.3,1.000,4.3,1.000,4.3,1.000
T1_NORM,bb1,ag,6.000,1,0,1,1,0,0,0,1,4.3,1.000,4.3,1.000,4.3,1.000
T1_NORM,bb2,3ph,9.091,0,1,1,0,1,0,0,1,4.3,1.000,4.3,1.000,4.3,1.000
T1_NORM,bb2,ag,5.455,0,1,1,0,1,0,0,1,4.3,1.000,4.3,1.000,4.3,1.000
T1_NORM,bc_internal,3ph,9.524,0,0,1,0,0,1,0,1,4.3,1.000,4.3,1.000,4.3,1.000
T1_NORM,bc_internal,ag,5.714,0,0,1,0,0,1,0,1,4.3,1.000,4.3,1.000,4.3,1.000
T1_NORM,line_external,3ph,6.667,0,0,0,0,0,0,1,1,4.3,1.000,4.3,1.000,4.3,1.000
T1_NORM,line_external,ag,4.000,0,0,0,0,0,0,1,1,4.3,1.000,4.3,1.000,4.3,1.000
T1_NORM,load_external,3ph,5.263,0,0,0,0,0,0,1,1,4.3,1.000,4.3,1.000,4.3,1.000
T1_NORM,load_external,ag,3.158,0,0,0,0,0,0,1,1,4.3,1.000,4.3,1.000,4.3,1.000
T2_TIP,bb1,3ph,10.000,1,0,1,1,0,0,0,1,4.3,1.000,4.3,1.000,4.3,1.000
T2_TIP,bb1,ag,6.000,1,0,1,1,0,0,0,1,4.3,1.000,4.3,1.000,4.3,1.000
T2_TIP,bb2,3ph,9.091,0,1,1,0,1,0,0,1,4.3,1.000,4.3,1.000,4.3,1.000
T2_TIP,bb2,ag,5.455,0,1,1,0,1,0,0,1,4.3,1.000,4.3,1.000,4.3,1.000
T2_TIP,bc_internal,3ph,9.524,0,0,1,0,0,1,0,1,4.3,1.000,4.3,1.000,4.3,1.000
T2_TIP,bc_internal,ag,5.714,0,0,1,0,0,1,0,1,4.3,1.000,4.3,1.000,4.3,1.000
T2_TIP,line_external,3ph,6.667,0,0,0,0,0,0,1,1,4.3,1.000,4.3,1.000,4.3,1.000
T2_TIP,line_external,ag,4.000,0,0,0,0,0,0,1,1,4.3,1.000,4.3,1.000,4.3,1.000
T2_TIP,load_external,3ph,5.263,0,0,0,0,0,0,1,1,4.3,1.000,4.3,1.000,4.3,1.000
T2_TIP,load_external,ag,3.158,0,0,0,0,0,0,1,1,4.3,1.000,4.3,1.000,4.3,1.000
T3_POST,bb1,3ph,9.091,1,0,1,1,0,0,0,1,4.3,1.000,4.3,1.000,4.3,1.000
T3_POST,bb1,ag,5.455,1,0,1,1,0,0,0,1,4.3,1.000,4.3,1.000,4.3,1.000
T3_POST,bb2,3ph,10.000,0,1,1,0,1,0,0,1,4.3,1.000,4.3,1.000,4.3,1.000
T3_POST,bb2,ag,6.000,0,1,1,0,1,0,0,1,4.3,1.000,4.3,1.000,4.3,1.000
T3_POST,bc_internal,3ph,9.524,0,0,1,0,0,1,0,1,4.3,1.000,4.3,1.000,4.3,1.000
T3_POST,bc_internal,ag,5.714,0,0,1,0,0,1,0,1,4.3,1.000,4.3,1.000,4.3,1.000
