channel,fault,mode,conv_trip,final_trip,source,kappa_n,confidence,f_int,I_eps,is_sync_error,I_op_max,I_rst_max,theta_I_fund,theta_I_DC
healthy_ch,healthy,healthy,0,0,model_veto,2.45,0.954,0.000,0.0000,0,0.020,1.000,0.0200,0.0026
healthy_ch,external_fault,healthy,0,0,model_veto,2.45,0.954,0.000,0.0000,0,0.020,4.000,0.0200,0.0026
healthy_ch,internal_ag,healthy,1,1,conventional,2.45,0.008,1.000,0.2000,0,5.472,2.736,2.9322,0.2045
healthy_ch,internal_3ph,healthy,1,1,conventional,2.45,0.001,1.000,0.2000,0,7.476,3.739,4.0011,0.2803
degraded_ch,healthy,healthy,1,1,conventional,2.45,0.336,0.511,0.2000,0,1.653,0.901,0.6086,0.0000
degraded_ch,external_fault,healthy,1,1,conventional,2.45,0.037,1.000,0.2000,0,4.428,3.604,1.9699,0.0000
degraded_ch,internal_ag,healthy,1,1,conventional,2.45,0.011,1.000,0.2000,0,5.242,2.618,2.4501,0.1605
degraded_ch,internal_3ph,healthy,1,1,conventional,2.45,0.003,1.000,0.2000,0,7.077,3.536,3.3412,0.2969
loss_ch,healthy,loss,1,0,no_trip,2.45,0.419,0.359,0.2000,0,1.000,1.000,0.4869,0.0509
loss_ch,external_fault,loss,1,1,single_end_oc,2.45,0.092,1.000,0.2000,0,4.000,4.000,1.2336,0.0885
loss_ch,internal_ag,loss,1,0,no_trip,2.45,0.012,1.000,0.2000,0,5.472,2.736,2.6443,0.2294
loss_ch,internal_3ph,loss,1,1,single_end_oc,2.45,0.003,1.000,0.2000,0,7.476,3.739,3.4803,0.2935
