config,fault_type,alpha,TPR_sambp,TPR_conv,charge_rms_mean,charge_rms_p95,I_fund_mean,f_int_mean
B_prefault,ag,0.01,0.0,0.07,0.000946817680753331,0.0011604022094307913,0.055392337311352915,0.0
B_prefault,ag,0.02,0.0,1.0,0.0009217065312411204,0.001233914731653456,0.11087683083220287,0.0
B_prefault,ag,0.03,0.0,1.0,0.0009188638793785415,0.0011624387962475152,0.166110381026617,0.19212658761090412
B_prefault,ag,0.05,1.0,1.0,0.0009191206886257166,0.0011858817502934105,0.2772825054414932,0.6553437726728883
B_prefault,ag,0.07,1.0,1.0,0.0009372082172167745,0.0012326552417691974,0.3879953971632781,1.0
B_prefault,ag,0.1,1.0,1.0,0.0009202318436050957,0.001217848053206963,0.5539572385170739,1.0
B_prefault,ag,0.15,1.0,1.0,0.0009188450432370196,0.001176849218521944,0.8307073393679398,1.0
B_prefault,ag,0.2,1.0,1.0,0.0009308081228249172,0.0012062925969703953,1.1085766139345494,1.0
B_prefault,ag,0.3,1.0,1.0,0.0009542935015662184,0.001180548252844735,1.6619821773215315,1.0
B_prefault,ag,0.5,1.0,1.0,0.0009501993479517698,0.001159416637967364,2.7662179686897623,1.0
B_prefault,3ph,0.01,0.0,1.0,0.0009413486311911512,0.0012114060022100342,0.07502156859394822,0.0
B_prefault,3ph,0.02,0.0,1.0,0.0009164157967776829,0.0011945172835380062,0.14994515806834996,0.12477149195145815
B_prefault,3ph,0.03,0.0,1.0,0.0009317142204900036,0.0011896465132127162,0.22424782580895108,0.4343659408706295
B_prefault,3ph,0.05,1.0,1.0,0.0009369621257957068,0.001227940247764952,0.3745363267689126,0.9998318299938519
B_prefault,3ph,0.07,1.0,1.0,0.0009514525738377189,0.0012161557980089723,0.5238393178810405,1.0
B_prefault,3ph,0.1,1.0,1.0,0.0009128331590172026,0.0011426021225587743,0.7497050324423263,1.0
B_prefault,3ph,0.15,1.0,1.0,0.0009571718633984089,0.0012237634889250366,1.1238657953975448,1.0
