I_rest,config,I_thresh,alpha50_ag,alpha50_3ph
0.0,fixed,0.08,0.03,0.02
0.0,k15,0.08,0.03,0.02
0.25,fixed,0.08,0.03,0.02
0.25,k15,0.08,0.03,0.02
0.5,fixed,0.08,0.03,0.02
0.5,k15,0.08,0.03,0.02
0.75,fixed,0.08,0.03,0.02
0.75,k15,0.1125,0.0422,0.0281
1.0,fixed,0.08,0.03,0.02
1.0,k15,0.15,0.0563,0.0375
1.5,fixed,0.08,0.03,0.02
1.5,k15,0.225,0.0844,0.0562
2.0,fixed,0.08,0.03,0.02
2.0,k15,0.3,0.1125,0.075
3.0,fixed,0.08,0.03,0.02
3.0,k15,0.45,0.1687,0.1125
4.0,fixed,0.08,0.03,0.02
4.0,k15,0.6,0.225,0.15
