f_actual,f_est,scenario,peak_fixed,peak_adapt,trip_fixed,trip_adapt,correct_fixed,correct_adapt
47.0,47.0,int_fault,0.15193032591826647,0.14999991775330418,True,True,True,True
48.0,48.0000202161507,int_fault,0.15092784730419007,0.14999869277131705,True,True,True,True
49.0,49.00000334761834,int_fault,0.1502146476583916,0.14999991760832182,True,True,True,True
50.0,50.0,int_fault,0.15,0.15,True,True,True,True
51.0,51.00008319758069,int_fault,0.15015837156455308,0.1499996689489826,True,True,True,True
52.0,52.00000409844312,int_fault,0.15072131131564162,0.15000000016722542,True,True,True,True
53.0,53.0,int_fault,0.15134709562142434,0.1499998149449555,True,True,True,True
47.0,47.0,ext_fault,0.00996535523454467,0.0,False,False,True,True
48.0,48.0000202161507,ext_fault,0.0052934137986934415,5.3506225561328336e-08,False,False,True,True
49.0,49.00000334761834,ext_fault,0.002240915635923879,7.501730264758422e-09,False,False,True,True
50.0,50.0,ext_fault,0.0,0.0,False,False,True,True
51.0,51.00008319758069,ext_fault,0.001663031842559587,1.3836022591529051e-07,False,False,True,True
52.0,52.00000409844312,ext_fault,0.003493076938422379,7.158088580205835e-09,False,False,True,True
53.0,53.0,ext_fault,0.005398127557810439,0.0,False,False,True,True
