scenario,k_ibr,I1_set,I2_set,I1_meas,I2_meas,trip_87L,trip_87LN,trip_combined,expect_trip,correct_baseline,correct_tr22,recovered
slg,0.08,0.08,0.12,0.07999999999999996,0.11999999999999997,False,True,True,True,False,True,True
slg,0.09,0.09,0.12,0.08999999999999997,0.11999999999999997,False,True,True,True,False,True,True
slg,0.1,0.1,0.12,0.09999999999999995,0.11999999999999995,False,True,True,True,False,True,True
slg,0.11,0.11,0.12,0.10999999999999995,0.11999999999999995,False,True,True,True,False,True,True
slg,0.12,0.12,0.12,0.11999999999999995,0.11999999999999995,False,True,True,True,False,True,True
slg,0.15,0.15,0.12,0.14999999999999997,0.11999999999999995,True,True,True,True,True,True,False
slg,0.2,0.2,0.12,0.19999999999999996,0.11999999999999991,True,True,True,True,True,True,False
3ph,0.08,0.08,0.0,0.07999999999999999,2.3129646346357426e-17,False,False,False,True,False,False,False
3ph,0.09,0.09,0.0,0.08999999999999998,2.5859730762992426e-17,False,False,False,True,False,False,False
3ph,0.1,0.1,0.0,0.09999999999999999,3.0068540250264654e-17,False,False,False,True,False,False,False
3ph,0.11,0.11,0.0,0.10999999999999999,2.7755575615628914e-17,False,False,False,True,False,False,False
3ph,0.12,0.12,0.0,0.12,3.9591577166301e-17,True,False,True,True,True,True,False
3ph,0.15,0.15,0.0,0.14999999999999997,4.264896055434086e-17,True,False,True,True,True,True,False
3ph,0.2,0.2,0.0,0.19999999999999998,6.013708050052931e-17,True,False,True,True,True,True,False
healthy,0.08,0.003,0.005,0.0029999999999999983,0.004999999999999999,False,False,False,False,True,True,False
healthy,0.09,0.003,0.005,0.0029999999999999983,0.004999999999999999,False,False,False,False,True,True,False
healthy,0.1,0.003,0.005,0.0029999999999999983,0.004999999999999999,False,False,False,False,True,True,False
healthy,0.11,0.003,0.005,0.0029999999999999983,0.004999999999999999,False,False,False,False,True,True,False
healthy,0.12,0.003,0.005,0.0029999999999999983,0.004999999999999999,False,False,False,False,True,True,False
healthy,0.15,0.003,0.005,0.0029999999999999983,0.004999999999999999,False,False,False,False,True,True,False
healthy,0.2,0.003,0.005,0.0029999999999999983,0.004999999999999999,False,False,False,False,True,True,False
