id,label,k_ibr,phi_deg,Br,expected,decision,pass,conv_trip,highset,sprt_dec,f_int,trip_ms,I_op_fund,H2_ratio
S01,Internal 3PH k_ibr=0.0 φ=0°  Br=0.0,0.0,0.0,0.0,TRIP,TRIP,True,True,False,TRIP,0.9096833727984828,160.0,4.992437737051157,0.03137728049350627
S02,Internal 3PH k_ibr=0.0 φ=90° Br=0.0,0.0,90.0,0.0,TRIP,TRIP,True,True,False,TRIP,0.9166666666666663,20.0,5.0,8.629718459177215e-17
S03,Internal 3PH k_ibr=0.0 φ=0°  Br=0.7,0.0,0.0,0.7,TRIP,TRIP,True,False,False,TRIP,0.8883825839922562,160.0,4.7896208849755055,0.535624195988931
S04,Internal 3PH k_ibr=0.0 φ=90° Br=0.7,0.0,90.0,0.7,TRIP,TRIP,True,False,True,TRIP,0.7204647753483503,20.0,5.012785028720446,0.48054721994250327
S05,Internal 3PH k_ibr=0.5 φ=0°  Br=0.0,0.5,0.0,0.0,TRIP,TRIP,True,True,False,TRIP,0.9093117556397019,140.0,2.8608301224995536,0.027378263041524586
S06,Internal 3PH k_ibr=0.5 φ=90° Br=0.0,0.5,90.0,0.0,TRIP,TRIP,True,True,False,TRIP,0.9166666666666663,20.0,2.7950849718747377,6.746168382880381e-17
S07,Internal 3PH k_ibr=0.5 φ=0°  Br=0.7,0.5,0.0,0.7,TRIP,TRIP,True,False,False,TRIP,0.8114706906873218,100.0,2.689753165048359,0.9246784997792892
S08,Internal 3PH k_ibr=0.5 φ=90° Br=0.7,0.5,90.0,0.7,TRIP,TRIP,True,False,False,TRIP,0.785648327107798,80.0,2.899452745129813,0.8308050247644794
S09,Internal 3PH k_ibr=1.0 φ=0°  Br=0.0,1.0,0.0,0.0,TRIP,TRIP,True,True,False,TRIP,0.9166666666666663,20.0,5.0,9.212778096670423e-17
S10,Internal 3PH k_ibr=1.0 φ=90° Br=0.0,1.0,90.0,0.0,TRIP,TRIP,True,True,False,TRIP,0.9166666666666665,20.0,5.0,2.6124350567780204e-17
S11,Internal 3PH k_ibr=1.0 φ=0°  Br=0.7,1.0,0.0,0.7,TRIP,TRIP,True,False,True,TRIP,0.7204647753483504,20.0,5.012785028720446,0.48054721994250327
S12,Internal 3PH k_ibr=1.0 φ=90° Br=0.7,1.0,90.0,0.7,TRIP,TRIP,True,False,True,TRIP,0.7222870604569778,20.0,5.203812647605033,0.4629067325914699
S13,Inrush φ=0°  Br=0.0,-1.0,0.0,0.0,RESTRAIN,RESTRAIN,True,False,False,RESTRAIN,0.21081213436929125,300.0,4.475881312817768,0.34752198885292007
S14,Inrush φ=90° Br=0.0,-1.0,90.0,0.0,RESTRAIN,RESTRAIN,True,False,False,RESTRAIN,0.2079912553602279,300.0,4.383736104809177,0.3523789418391916
S15,Inrush φ=0°  Br=0.7,-1.0,0.0,0.7,RESTRAIN,RESTRAIN,True,False,False,RESTRAIN,0.20767859544914968,300.0,4.587177676220816,0.4466528181562665
S16,Inrush φ=90° Br=0.7,-1.0,90.0,0.7,RESTRAIN,RESTRAIN,True,False,False,RESTRAIN,0.12066231663690496,300.0,4.393502571528995,0.6324140187859935
