Simulation_ID,R_Ohms,X_Ohms,Relay_Action
1,6.77,14.85,TRIP
2,9.23,3.03,BLOCK
3,5.69,5.15,TRIP
4,5.14,10.23,TRIP
5,10.98,5.7,BLOCK
6,12.98,2.96,BLOCK
7,19.65,7.89,BLOCK
8,17.36,7.29,BLOCK
9,19.75,4.23,BLOCK
10,2.57,12.67,TRIP
11,19.82,4.03,BLOCK
12,15.69,2.51,BLOCK
13,19.97,7.8,BLOCK
14,8.03,0.69,BLOCK
15,11.67,11.53,TRIP
16,6.99,4.12,TRIP
17,13.53,4.4,BLOCK
18,9.48,6.79,TRIP
19,3.47,7.69,TRIP
20,8.25,0.82,BLOCK
21,19.35,6.52,BLOCK
22,17.34,5.86,BLOCK
23,18.26,1.51,BLOCK
24,4.75,14.23,TRIP
25,3.6,5.16,TRIP
26,17.37,1.69,BLOCK
27,17.32,9.84,BLOCK
28,10.18,13.03,TRIP
29,3.67,1.49,TRIP
30,9.64,0.97,BLOCK
31,13.52,3.18,BLOCK
32,14.94,14.28,TRIP
33,2.65,7.25,TRIP
34,6.92,13.15,TRIP
35,12.72,9.57,TRIP
36,9.92,10.91,TRIP
37,10.51,3.92,BLOCK
38,4.83,2.65,TRIP
39,17.66,3.77,BLOCK
40,17.08,6.0,BLOCK
41,9.23,5.57,TRIP
42,17.42,10.28,TRIP
43,6.4,14.33,TRIP
44,14.15,1.54,BLOCK
45,8.27,1.86,BLOCK
46,17.23,8.68,BLOCK
47,10.58,5.93,BLOCK
48,17.44,6.94,BLOCK
49,19.69,6.95,BLOCK
50,9.03,11.9,TRIP
51,2.31,14.76,TRIP
52,18.42,2.95,BLOCK
53,17.61,2.81,BLOCK
54,4.75,14.74,TRIP
55,12.42,3.54,BLOCK
56,11.32,10.75,TRIP
57,15.8,14.9,TRIP
58,10.53,4.41,BLOCK
59,9.25,0.79,BLOCK
60,19.33,14.87,TRIP
61,17.28,10.28,TRIP
62,15.85,7.68,BLOCK
63,10.71,0.75,BLOCK
64,2.51,3.71,TRIP
65,9.15,10.34,TRIP
66,5.67,1.1,BLOCK
67,17.92,10.68,TRIP
68,19.13,13.59,TRIP
69,17.88,9.8,BLOCK
70,19.05,13.68,TRIP
71,12.18,7.39,TRIP
72,15.52,13.56,TRIP
73,13.53,5.97,BLOCK
74,3.74,7.18,TRIP
75,6.31,2.48,BLOCK
76,5.85,5.98,TRIP
77,14.88,5.96,BLOCK
78,11.19,5.98,BLOCK
79,14.93,9.41,TRIP
80,4.34,11.53,TRIP
81,4.41,6.66,TRIP
82,9.34,10.24,TRIP
83,10.26,0.54,BLOCK
84,16.0,2.22,BLOCK
85,7.9,12.58,TRIP
86,5.29,4.99,TRIP
87,6.03,2.56,BLOCK
88,14.34,5.05,BLOCK
89,6.08,2.59,BLOCK
90,4.37,3.4,TRIP
91,6.95,3.95,BLOCK
92,13.56,7.47,BLOCK
93,8.11,3.07,BLOCK
94,14.12,5.09,BLOCK
95,4.86,4.91,TRIP
96,17.01,13.11,TRIP
97,6.97,8.19,TRIP
98,4.84,8.52,TRIP
99,9.38,14.84,TRIP
100,7.79,5.72,TRIP
