case_id,filename,filepath,family,fault_type,scr,noise_std,fs_Hz,f0_Hz,t_start_s,t_end_s,t_event_s,base_mag_pu,tau_decay_s,f_transient_Hz,K_base,tau1_s,tau2_s,f1_Hz,gate_time_s,K1,K2,tau_rise_s,tau_fall_s,f_ctrl_Hz,K
1,case_00001_induction_machine_like_3ph_scr2.0_n0.002_r1.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00001_induction_machine_like_3ph_scr2.0_n0.002_r1.csv,induction_machine_like,3ph,2.0,0.002,10000,50.0,5.98,6.04,5.999821868145667,1.0351102751801642,0.01,866.6666666666666,0.33,,,,,,,,,,
2,case_00002_induction_machine_like_3ph_scr2.0_n0.002_r2.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00002_induction_machine_like_3ph_scr2.0_n0.002_r2.csv,induction_machine_like,3ph,2.0,0.002,10000,50.0,5.98,6.04,6.00035685772265,1.0492108471990738,0.01,866.6666666666666,0.33,,,,,,,,,,
3,case_00003_induction_machine_like_3ph_scr2.0_n0.002_r3.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00003_induction_machine_like_3ph_scr2.0_n0.002_r3.csv,induction_machine_like,3ph,2.0,0.002,10000,50.0,5.98,6.04,6.000334990483682,1.005016366992254,0.01,866.6666666666666,0.33,,,,,,,,,,
4,case_00004_induction_machine_like_3ph_scr2.0_n0.002_r4.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00004_induction_machine_like_3ph_scr2.0_n0.002_r4.csv,induction_machine_like,3ph,2.0,0.002,10000,50.0,5.98,6.04,5.998343037452704,1.0177476291798933,0.01,866.6666666666666,0.33,,,,,,,,,,
5,case_00005_induction_machine_like_3ph_scr2.0_n0.002_r5.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00005_induction_machine_like_3ph_scr2.0_n0.002_r5.csv,induction_machine_like,3ph,2.0,0.002,10000,50.0,5.98,6.04,5.998632885896995,1.042819168472366,0.01,866.6666666666666,0.33,,,,,,,,,,
6,case_00006_induction_machine_like_3ph_scr2.0_n0.002_r6.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00006_induction_machine_like_3ph_scr2.0_n0.002_r6.csv,induction_machine_like,3ph,2.0,0.002,10000,50.0,5.98,6.04,5.999844005414363,1.0387893873474028,0.01,866.6666666666666,0.33,,,,,,,,,,
7,case_00007_induction_machine_like_3ph_scr2.0_n0.005_r1.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00007_induction_machine_like_3ph_scr2.0_n0.005_r1.csv,induction_machine_like,3ph,2.0,0.005,10000,50.0,5.98,6.04,6.0002374291085765,1.0338364907830544,0.01,866.6666666666666,0.33,,,,,,,,,,
8,case_00008_induction_machine_like_3ph_scr2.0_n0.005_r2.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00008_induction_machine_like_3ph_scr2.0_n0.005_r2.csv,induction_machine_like,3ph,2.0,0.005,10000,50.0,5.98,6.04,5.997712905358686,1.072752123237838,0.01,866.6666666666666,0.33,,,,,,,,,,
9,case_00009_induction_machine_like_3ph_scr2.0_n0.005_r3.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00009_induction_machine_like_3ph_scr2.0_n0.005_r3.csv,induction_machine_like,3ph,2.0,0.005,10000,50.0,5.98,6.04,5.999505836143497,1.0645672167154523,0.01,866.6666666666666,0.33,,,,,,,,,,
10,case_00010_induction_machine_like_3ph_scr2.0_n0.005_r4.csv,/root/phd_thesis/Z_Synthetic_Family_Library/waveforms/case_00010_induction_machine_like_3ph_scr2.0_n0.005_r4.csv,induction_machine_like,3ph,2.0,0.005,10000,50.0,5.98,6.04,6.000078785992705,1.0398201447358615,0.01,866.6666666666666,0.33,,,,,,,,,,
