config,fault_type,alpha,TPR_conv,TPR_sambp,charge_rms_mean
A_baseline,ag,0.03,1.0,0.0,0.11786520842871154
A_baseline,ag,0.05,1.0,0.0,0.19639645135665432
A_baseline,ag,0.07,1.0,1.0,0.2748036752912353
A_baseline,ag,0.1,1.0,1.0,0.3919971349183448
A_baseline,ag,0.15,1.0,1.0,0.5880586030832287
A_baseline,ag,0.2,1.0,1.0,0.78218909404914
A_baseline,ag,0.3,1.0,1.0,1.1757461974007082
A_baseline,ag,0.5,1.0,1.0,1.9594322567883162
A_baseline,ag,0.7,1.0,1.0,2.7497613862631045
A_baseline,ag,1.0,1.0,1.0,3.914972570776267
A_baseline,3ph,0.03,1.0,0.0,0.15891317389301346
A_baseline,3ph,0.05,1.0,1.0,0.2650352923146195
A_baseline,3ph,0.07,1.0,1.0,0.3707139233024306
A_baseline,3ph,0.1,1.0,1.0,0.5287906284534316
A_baseline,3ph,0.15,1.0,1.0,0.7955320651504172
A_baseline,3ph,0.2,1.0,1.0,1.062098555118378
A_baseline,3ph,0.3,1.0,1.0,1.5909147342199872
A_baseline,3ph,0.5,1.0,1.0,2.654149573530252
A_baseline,3ph,0.7,1.0,1.0,3.7089472588123082
A_baseline,3ph,1.0,1.0,1.0,5.2885858861424655
B_pi_only,ag,0.03,1.0,0.0,0.0009461829489969803
B_pi_only,ag,0.05,1.0,1.0,0.0009290643701703207
B_pi_only,ag,0.07,1.0,1.0,0.0009221246868662889
B_pi_only,ag,0.1,1.0,1.0,0.000919979188684778
B_pi_only,ag,0.15,1.0,1.0,0.0009360274296054269
B_pi_only,ag,0.2,1.0,1.0,0.0009197536684504074
B_pi_only,ag,0.3,1.0,1.0,0.0009239597616154952
B_pi_only,ag,0.5,1.0,1.0,0.0009355273534103187
B_pi_only,ag,0.7,1.0,1.0,0.0009478125986961878
B_pi_only,ag,1.0,1.0,1.0,0.0009565400274829541
B_pi_only,3ph,0.03,1.0,0.0,0.0009360530395106148
B_pi_only,3ph,0.05,1.0,1.0,0.0009267212413657746
B_pi_only,3ph,0.07,1.0,1.0,0.0009275448821211446
B_pi_only,3ph,0.1,1.0,1.0,0.0009428496829316918
B_pi_only,3ph,0.15,1.0,1.0,0.0009640141392699459
B_pi_only,3ph,0.2,1.0,1.0,0.0009149412171791594
B_pi_only,3ph,0.3,1.0,1.0,0.0009643607894822553
B_pi_only,3ph,0.5,1.0,1.0,0.0009390874090414027
B_pi_only,3ph,0.7,1.0,1.0,0.0009201672767763133
B_pi_only,3ph,1.0,1.0,1.0,0.0009391200776769067
C_pi_override,ag,0.03,1.0,0.0,0.0009461829489969803
C_pi_override,ag,0.05,1.0,1.0,0.0009290643701703207
C_pi_override,ag,0.07,1.0,1.0,0.0009221246868662889
C_pi_override,ag,0.1,1.0,1.0,0.000919979188684778
C_pi_override,ag,0.15,1.0,1.0,0.0009360274296054269
C_pi_override,ag,0.2,1.0,1.0,0.0009197536684504074
C_pi_override,ag,0.3,1.0,1.0,0.0009239597616154952
C_pi_override,ag,0.5,1.0,1.0,0.0009355273534103187
C_pi_override,ag,0.7,1.0,1.0,0.0009478125986961878
C_pi_override,ag,1.0,1.0,1.0,0.0009565400274829541
C_pi_override,3ph,0.03,1.0,0.0,0.0009360530395106148
C_pi_override,3ph,0.05,1.0,1.0,0.0009267212413657746
C_pi_override,3ph,0.07,1.0,1.0,0.0009275448821211446
C_pi_override,3ph,0.1,1.0,1.0,0.0009428496829316918
C_pi_override,3ph,0.15,1.0,1.0,0.0009640141392699459
C_pi_override,3ph,0.2,1.0,1.0,0.0009149412171791594
C_pi_override,3ph,0.3,1.0,1.0,0.0009643607894822553
C_pi_override,3ph,0.5,1.0,1.0,0.0009390874090414027
C_pi_override,3ph,0.7,1.0,1.0,0.0009201672767763133
C_pi_override,3ph,1.0,1.0,1.0,0.0009391200776769067
