scenario,I_harm_3,I_fund_dft,I_fund_filt,H_ratio,network_type,rn_fixed,conf_fixed,rn_adapt,conf_adapt,trip_fixed,trip_adapt,correct_fixed,correct_adapt,conf_ok_fixed,conf_ok_adapt
no_fault,0.0,0.0030000000000000005,0.0030000000000000005,0.0,SG,4.922086518795116e-16,0.9999999999999994,4.922086518795116e-16,0.9999999999999994,False,False,True,True,True,True
no_fault,0.005,0.002999999999999999,0.003,1.3501543121683042,IBR,0.8858630612169692,0.41235812934835375,3.817546466162405e-15,0.9999999999999962,False,False,True,True,False,True
no_fault,0.01,0.0029999999999999983,0.003,2.7003086243366092,IBR,0.9673824874398687,0.3800765924702169,7.679291586971493e-15,0.9999999999999923,False,False,True,True,False,True
no_fault,0.03,0.002999999999999995,0.0029999999999999988,8.100925873009837,IBR,0.9962121075990956,0.3692755714373961,2.2303779848125717e-14,0.9999999999999777,False,False,True,True,False,True
no_fault,0.05,0.002999999999999991,0.002999999999999997,13.501543121683085,IBR,0.9986313862199865,0.36838327073941424,3.8828768226965637e-14,0.9999999999999611,False,False,True,True,False,True
no_fault,0.08,0.0029999999999999866,0.002999999999999998,21.602468994692952,IBR,0.9994647158149783,0.3680764139317946,6.416874982356383e-14,0.9999999999999358,False,False,True,True,False,True
no_fault,0.1,0.00299999999999998,0.002999999999999994,27.003086243366266,IBR,0.999657319082976,0.36800552803824493,7.74555318391739e-14,0.9999999999999225,False,False,True,True,False,True
int_fault,0.0,0.14999999999999997,0.14999999999999997,0.0,SG,5.264565420916316e-16,0.9999999999999994,5.264565420916316e-16,0.9999999999999994,True,True,True,True,True,True
int_fault,0.005,0.14999999999999997,0.14999999999999997,0.02700308624336601,SG,0.038160315698326785,0.9625586152645331,1.0099430757504164e-15,0.999999999999999,True,True,True,True,True,True
int_fault,0.01,0.15,0.14999999999999997,0.05400617248673208,mixed,0.07615446736568679,0.9266730547579046,1.0053042050956476e-15,0.999999999999999,True,True,True,True,True,True
int_fault,0.03,0.14999999999999997,0.15,0.16201851746019644,mixed,0.22334107359461294,0.7998419977806704,1.097544284764381e-15,0.9999999999999989,True,True,True,True,False,True
int_fault,0.05,0.15,0.14999999999999997,0.27003086243366065,IBR,0.356753034006338,0.699945339086941,1.3131216886191505e-15,0.9999999999999987,True,True,True,True,False,True
int_fault,0.08,0.14999999999999997,0.14999999999999997,0.4320493798938573,IBR,0.5213872459067012,0.5936963735720268,1.5737386810584914e-15,0.9999999999999984,True,True,True,True,False,True
int_fault,0.1,0.15,0.15,0.5400617248673213,IBR,0.6069769786668842,0.5449959155956497,1.9799063769925444e-15,0.999999999999998,True,True,True,True,False,True
ext_fault,0.0,0.0,0.0,0.0,SG,0.0,1.0,0.0,1.0,False,False,True,True,True,True
ext_fault,0.005,9.206855824685311e-19,2.647963119274376e-19,4050.4629365049122,IBR,1.0,0.36787944117144233,0.0,1.0,False,False,True,True,False,True
ext_fault,0.01,1.8413711649370622e-18,5.295926238548752e-19,8100.9258730098245,IBR,1.0,0.36787944117144233,0.0,1.0,False,False,True,True,False,True
ext_fault,0.03,5.844412182484501e-18,1.7031466041691348e-18,24302.77761902946,IBR,1.0,0.36787944117144233,0.0,1.0,False,False,True,True,False,True
ext_fault,0.05,1.0445994994721164e-17,3.9802512429558695e-18,40504.629365049135,IBR,0.9999999999999998,0.3678794411714424,0.0,1.0,False,False,True,True,False,True
ext_fault,0.08,1.4730969319496498e-17,4.2367409908390014e-18,64807.406984078596,IBR,1.0,0.36787944117144233,0.0,1.0,False,False,True,True,False,True
ext_fault,0.1,2.0891989989442328e-17,7.960502485911739e-18,81009.25873009827,IBR,0.9999999999999998,0.3678794411714424,0.0,1.0,False,False,True,True,False,True
